Name Of Stock,Symbol
ADITYA BIRLA NUVO LIMITED,ABIRLANUVO
ACC LIMITED,ACC
ADANI ENTERPRISES LIMITED,ADANIENT
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS
ADANI POWER LIMITED,ADANIPOWER
ALLAHABAD BANK,ALBK
AMBUJA CEMENTS LIMITED,AMBUJACEM
ANDHRA BANK,ANDHRABANK
APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP
APOLLO TYRES LIMITED,APOLLOTYRE
ARVIND LIMITED,ARVIND
ASHOK LEYLAND LIMITED,ASHOKLEY
ASIAN PAINTS LIMITED,ASIANPAINT
AUROBINDO PHARMA LIMITED,AUROPHARMA
AXIS BANK LIMITED,AXISBANK
BAJAJ AUTO LIMITED,BAJAJ-AUTO
BANK OF BARODA,BANKBARODA
BANK OF INDIA,BANKINDIA
BATA INDIA LIMITED,BATAINDIA
BHARAT FORGE LIMITED,BHARATFORG
BHARTI AIRTEL LIMITED,BHARTIARTL
BHARAT HEAVY ELECTRICALS LIMITED,BHEL
BIOCON LIMITED,BIOCON
BHARAT PETROLEUM CORPORATION LIMITED,BPCL
CAIRN INDIA LIMITED,CAIRN
CANARA BANK,CANBK
CENTURY TEXTILES & INDUSTRIES LIMITED,CENTURYTEX
CESC LIMITED,CESC
CHAMBAL FERTILIZERS & CHEMICALS LIMITED,CHAMBLFERT
CIPLA LIMITED,CIPLA
COAL INDIA LIMITED,COALINDIA
COLGATE PALMOLIVE (INDIA) LIMITED,COLPAL
CROMPTON GREAVES LIMITED,CROMPGREAV
DABUR INDIA LIMITED,DABUR
DISH TV INDIA LIMITED,DISHTV
DIVI'S LABORATORIES LIMITED,DIVISLAB
DLF LIMITED,DLF
DR. REDDY'S LABORATORIES LIMITED,DRREDDY
EXIDE INDUSTRIES LIMITED,EXIDEIND
THE FEDERAL BANK LIMITED,FEDERALBNK
FUTURE RETAIL LIMITED,FRL
GAIL (INDIA) LIMITED,GAIL
GLENMARK PHARMACEUTICALS LIMITED,GLENMARK
GMR INFRASTRUCTURE LIMITED,GMRINFRA
GODREJ INDUSTRIES LIMITED,GODREJIND
GRASIM INDUSTRIES LIMITED,GRASIM
GLAXOSMITHKLINE CONSUMER HEALTHCARE LIMITED,GSKCONS
HAVELLS INDIA LIMITED,HAVELLS
HCL TECHNOLOGIES LIMITED,HCLTECH
HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,HDFC
HDFC BANK LIMITED,HDFCBANK
HOUSING DEVELOPMENT AND INFRASTRUCTURE LIMITED,HDIL
HERO MOTOCORP LIMITED,HEROMOTOCO
HEXAWARE TECHNOLOGIES LIMITED,HEXAWARE
HINDALCO INDUSTRIES LIMITED,HINDALCO
HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDPETRO
HINDUSTAN UNILEVER LIMITED,HINDUNILVR
HINDUSTAN ZINC LIMITED,HINDZINC
INDIABULLS REAL ESTATE LIMITED,IBREALEST
ICICI BANK LIMITED,ICICIBANK
IDBI BANK LIMITED,IDBI
IDEA CELLULAR LIMITED,IDEA
IDFC LIMITED,IDFC
IFCI LIMITED,IFCI
