Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01072013,222652471,0001413
Trade Date <01-JUL-2013>,Settlement Type <D>,Settlement No <2013125>,Settlement Date <03-JUL-2013>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1000E14,GC,20,0,0.00
Trade Date <01-JUL-2013>,Settlement Type <N>,Settlement No <2013125>,Settlement Date <03-JUL-2013>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,20MICRONS,EQ,18840,6372,33.82
20,3,3IINFOTECH,EQ,496788,388979,78.30
20,4,3MINDIA,EQ,10611,10528,99.22
20,5,A2ZMES,EQ,88972,51461,57.84
20,6,AANJANEYA,EQ,25712,22477,87.42
20,7,AARTIDRUGS,EQ,586,310,52.90
20,8,AARTIIND,EQ,4642,4022,86.64
20,9,AARVEEDEN,EQ,1148,809,70.47
20,10,ABAN,EQ,199543,64570,32.36
20,11,ABB,EQ,60750,14877,24.49
20,12,ABBOTINDIA,EQ,750,601,80.13
20,13,ABCIL,EQ,1417,806,56.88
20,14,ABGSHIP,EQ,7893,4926,62.41
20,15,ABIRLANUVO,EQ,163616,82706,50.55
20,16,ACC,EQ,227092,130342,57.40
20,17,ACCELYA,EQ,4835,4135,85.52
20,18,ACE,EQ,292968,162417,55.44
20,19,ACROPETAL,EQ,6588,6585,99.95
20,20,ADANIENT,EQ,1150235,166000,14.43
20,21,ADANIPORTS,EQ,1196393,844117,70.56
20,22,ADANIPOWER,EQ,4452975,1615921,36.29
20,23,ADFFOODS,EQ,143,121,84.62
20,24,ADHUNIK,EQ,79259,59984,75.68
20,25,ADORWELD,EQ,1566,901,57.54
20,26,ADSL,EQ,14790,11850,80.12
20,27,ADVANIHOTR,EQ,500,500,100.00
20,28,ADVANTA,EQ,2689,1664,61.88
20,29,AEGISCHEM,EQ,6221,2648,42.57
20,30,AFL,EQ,2666,1517,56.90
20,31,AFTEK,EQ,29483,23066,78.23
20,32,AGCNET,EQ,9589,8517,88.82
20,33,AGRODUTCH,EQ,9342,6010,64.33
20,34,AHLWEST,EQ,212,202,95.28
20,35,AHMEDFORGE,EQ,11758,9481,80.63
20,36,AIAENG,EQ,1829,817,44.67
20,37,AIL,EQ,6055,3413,56.37
20,38,AJANTPHARM,EQ,40611,11054,27.22
20,39,AJMERA,EQ,1469,959,65.28
20,40,AKSHOPTFBR,EQ,27899,24318,87.16
20,41,AKZOINDIA,EQ,2332,1997,85.63
20,42,ALBK,EQ,2960162,1267155,42.81
20,43,ALCHEM,EQ,7309,6655,91.05
20,44,ALEMBICLTD,EQ,27939,21569,77.20
20,45,ALICON,EQ,100,100,100.00
20,46,ALKALI,EQ,2059,1069,51.92
20,47,ALKYLAMINE,EQ,88,88,100.00
20,48,ALLCARGO,EQ,1415,1064,75.19
20,49,ALLSEC,EQ,1,1,100.00
20,50,ALOKTEXT,EQ,7698210,4731003,61.46
20,51,ALPA,EQ,200,200,100.00
20,52,ALPHAGEO,EQ,1946,496,25.49
20,53,ALPSINDUS,EQ,978,978,100.00
20,54,ALSTOMT&D,EQ,5602,2491,44.47
20,55,AMAR,EQ,40615,35678,87.84
20,56,AMARAJABAT,EQ,50461,22935,45.45
20,57,AMBIKCO,EQ,1013,571,56.37
20,58,AMBUJACEM,EQ,2941099,2196815,74.69
20,59,AMDIND,EQ,1800,1000,55.56
20,60,AMRUTANJAN,EQ,21092,6848,32.47
20,61,AMTEKAUTO,EQ,195978,56776,28.97
20,62,AMTEKINDIA,EQ,72417,26471,36.55
20,63,AMTL,EQ,30875,30875,100.00
20,64,ANANTRAJ,EQ,804173,328806,40.89
20,65,ANDHRABANK,EQ,845980,255586,30.21
20,66,ANDHRACEMT,EQ,4806,3496,72.74
20,67,ANDHRSUGAR,EQ,2948,2547,86.40
20,68,ANIKINDS,EQ,5330,4505,84.52
20,69,ANKITMETAL,EQ,6469,4150,64.15
20,70,ANKURDRUGS,EQ,13892,8433,60.70
20,71,ANSALAPI,EQ,215397,147682,68.56
20,72,ANSALHSG,EQ,9399,6141,65.34
20,73,ANTGRAPHIC,EQ,6834,6784,99.27
20,74,APARINDS,EQ,13502,10001,74.07
20,75,APCOTEXIND,EQ,1493,1150,77.03
20,76,APLAPOLLO,EQ,423,250,59.10
20,77,APLLTD,EQ,244357,94794,38.79
20,78,APOLLOHOSP,EQ,241855,120094,49.66
20,79,APOLLOTYRE,EQ,10495962,2777167,26.46
20,80,APPAPER,EQ,169813,42370,24.95
20,81,APTECHT,EQ,180658,72866,40.33
20,82,AQUA,EQ,8116,6976,85.95
20,83,ARCHIDPLY,EQ,2822,2698,95.61
20,84,ARCHIES,EQ,85122,53657,63.04
20,85,ARIES,EQ,3238,2280,70.41
20,86,ARSHIYA,EQ,95899,58607,61.11
20,87,ARSSINFRA,EQ,99470,48723,48.98
20,88,ARVIND,EQ,857451,186313,21.73
20,89,ARVINDREM,EQ,44523,17940,40.29
20,90,ASAHIINDIA,EQ,1733,1138,65.67
20,91,ASAHISONG,EQ,603,556,92.21
20,92,ASAL,EQ,683,620,90.78
20,93,ASHAPURMIN,EQ,99197,64708,65.23
20,94,ASHCONIUL,EQ,88525,62461,70.56
20,95,ASHIANA,EQ,1673,1467,87.69
20,96,ASHOKA,EQ,7671,5476,71.39
20,97,ASHOKLEY,EQ,3693913,1502410,40.67
20,98,ASIANELEC,EQ,7152,6652,93.01
20,99,ASIANHOTNR,EQ,1546,1006,65.07
20,100,ASIANPAINT,EQ,102000,62146,60.93
20,101,ASIANTILES,EQ,22,2,9.09
20,102,ASSAMCO,EQ,317096,193751,61.10
20,103,ASTEC,EQ,1872,1335,71.31
20,104,ASTERSILI,EQ,4947,4507,91.11
20,105,ASTRAL,EQ,3231,2208,68.34
20,106,ASTRAMICRO,EQ,66185,40947,61.87
20,107,ASTRAZEN,EQ,62578,12452,19.90
20,108,ATFL,EQ,1501,1307,87.08
20,109,ATLANTA,EQ,8973,5832,64.99
20,110,ATLASCYCLE,EQ,23620,6096,25.81
20,111,ATUL,EQ,23307,6918,29.68
20,112,ATULAUTO,EQ,676,479,70.86
20,113,AURIONPRO,EQ,616,613,99.51
20,114,AUROPHARMA,EQ,1798582,629572,35.00
20,115,AUSTRAL,EQ,28075,27701,98.67
20,116,AUTOAXLES,EQ,1491,902,60.50
20,117,AUTOIND,EQ,62709,23698,37.79
20,118,AVTNPL,EQ,13058,10693,81.89
20,119,AXIS-IT&T,EQ,1619,1237,76.41
20,120,AXISBANK,EQ,1064799,526401,49.44
20,121,AXISGOLD,EQ,599,349,58.26
20,122,BAFNAPHARM,EQ,731,700,95.76
20,123,BAGFILMS,EQ,19604,17540,89.47
20,124,BAJAJ-AUTO,EQ,496573,335894,67.64
20,125,BAJAJCORP,EQ,23307,15992,68.61
20,126,BAJAJELEC,EQ,16442,12139,73.83
20,127,BAJAJFINSV,EQ,52604,36648,69.67
20,128,BAJAJHIND,EQ,951816,370993,38.98
20,129,BAJAJHLDNG,EQ,14280,10949,76.67
20,130,BAJFINANCE,EQ,18912,11858,62.70
20,131,BALAJITELE,EQ,45565,33728,74.02
20,132,BALAMINES,EQ,15611,9835,63.00
20,133,BALKRISIND,EQ,44433,37805,85.08
20,134,BALLARPUR,EQ,849989,567462,66.76
20,135,BALMLAWRIE,EQ,7540,7008,92.94
20,136,BALPHARMA,EQ,375,375,100.00
20,137,BALRAMCHIN,EQ,319197,265177,83.08
20,138,BANARISUG,EQ,26,26,100.00
20,139,BANCOINDIA,EQ,4448,2701,60.72
20,140,BANKBARODA,EQ,1226592,507637,41.39
20,141,BANKBEES,EQ,1487,1320,88.77
20,142,BANKINDIA,EQ,1003453,384935,38.36
20,143,BANSWRAS,EQ,100,100,100.00
20,144,BARTRONICS,EQ,28652,25917,90.45
20,145,BASF,EQ,8041,5044,62.73
20,146,BASML,EQ,250,250,100.00
20,147,BATAINDIA,EQ,111763,19600,17.54
20,148,BAYERCROP,EQ,12850,10241,79.70
20,149,BBL,EQ,1088,638,58.64
20,150,BBTC,EQ,22318,8147,36.50
20,151,BEDMUTHA,EQ,9946,9489,95.41
20,152,BEL,EQ,5003,3090,61.76
20,153,BEML,EQ,228158,34855,15.28
20,154,BEPL,EQ,1295,1295,100.00
20,155,BERGEPAINT,EQ,280290,37250,13.29
20,156,BFINVEST,EQ,3196,2156,67.46
20,157,BFUTILITIE,EQ,633614,74617,11.78
20,158,BGRENERGY,EQ,200065,64403,32.19
20,159,BHAGYNAGAR,EQ,2941,2439,82.93
20,160,BHARATFORG,EQ,182760,95331,52.16
20,161,BHARATGEAR,EQ,1683,1174,69.76
20,162,BHARTIARTL,EQ,3167392,1821853,57.52
20,163,BHARTISHIP,EQ,51029,20560,40.29
20,164,BHEL,EQ,2548335,967905,37.98
20,165,BHUSANSTL,EQ,37063,5490,14.81
20,166,BIL,EQ,66066,23742,35.94
20,167,BILENERGY,EQ,4520,4520,100.00
20,168,BILPOWER,EQ,3202,2444,76.33
20,169,BIMETAL,EQ,72,72,100.00
20,170,BINANIIND,EQ,5522,3528,63.89
20,171,BINDALAGRO,EQ,128208,56845,44.34
20,172,BIOCON,EQ,92749,43002,46.36
20,173,BIRLACORPN,EQ,3205,2357,73.54
20,174,BIRLACOT,EQ,467813,250360,53.52
20,175,BIRLAERIC,EQ,100,100,100.00
20,176,BIRLAMONEY,EQ,13193,8543,64.75
20,177,BIRLAPOWER,EQ,497518,308772,62.06
20,178,BLISSGVS,EQ,48003,44110,91.89
20,179,BLKASHYAP,EQ,72209,67960,94.12
20,180,BLUECHIP,EQ,5801,5801,100.00
20,181,BLUEDART,EQ,834,744,89.21
20,182,BLUESTARCO,EQ,8428,7188,85.29
20,183,BLUESTINFO,EQ,2722,2668,98.02
20,184,BODALCHEM,EQ,500,500,100.00
20,185,BOMDYEING,EQ,242255,74985,30.95
20,186,BOSCHLTD,EQ,1688,1087,64.40
20,187,BPCL,EQ,1155869,671509,58.10
20,188,BPL,EQ,19576,14469,73.91
20,189,BRANDHOUSE,EQ,4294,4292,99.95
20,190,BRFL,EQ,7972,6250,78.40
20,191,BRIGADE,EQ,67240,22116,32.89
20,192,BRITANNIA,EQ,155535,116886,75.15
20,193,BROOKS,EQ,9908,7916,79.90
20,194,BSELINFRA,EQ,23654,18811,79.53
20,195,BSL,EQ,2293,1347,58.74
20,196,BSLGOLDETF,EQ,128,67,52.34
20,197,BSLIMITED,EQ,51058,283,0.55
20,198,BSLNIFTY,EQ,457,457,100.00
20,199,BVCL,EQ,3405,1337,39.27
20,200,CADILAHC,EQ,49808,41164,82.65
20,201,CAIRN,EQ,1622448,1019869,62.86
20,202,CANBK,EQ,1057849,442243,41.81
20,203,CANDC,EQ,6328,4696,74.21
20,204,CANFINHOME,EQ,14291,9187,64.29
20,205,CANTABIL,EQ,806,724,89.83
20,206,CAPF,EQ,2728,1758,64.44
20,207,CARBORUNIV,EQ,8382,4400,52.49
20,208,CAREERP,EQ,918,570,62.09
20,209,CARERATING,EQ,48165,46035,95.58
20,210,CASTROL,EQ,188419,167835,89.08
20,211,CCCL,EQ,25905,21639,83.53
20,212,CCL,EQ,9089,6594,72.55
20,213,CEATLTD,EQ,55412,38112,68.78
20,214,CEBBCO,EQ,49265,25384,51.53
20,215,CELESTIAL,EQ,18452,16962,91.92
20,216,CENTENKA,EQ,8899,6464,72.64
20,217,CENTEXT,EQ,2062,1102,53.44
20,218,CENTRALBK,EQ,250265,86122,34.41
20,219,CENTURYPLY,EQ,7059,4445,62.97
20,220,CENTURYTEX,EQ,695873,263417,37.85
