Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01082013,276967255,0001315
Trade Date <01-AUG-2013>,Settlement Type <D>,Settlement No <2013148>,Settlement Date <05-AUG-2013>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1000E14,GC,10,10,100.00
Trade Date <01-AUG-2013>,Settlement Type <N>,Settlement No <2013148>,Settlement Date <05-AUG-2013>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,20MICRONS,EQ,121061,53692,44.35
20,3,3IINFOTECH,EQ,678779,356670,52.55
20,4,3MINDIA,EQ,94,74,78.72
20,5,A2ZMES,EQ,67146,51339,76.46
20,6,AANJANEYA,EQ,67689,31802,46.98
20,7,AARTIDRUGS,EQ,5718,4265,74.59
20,8,AARTIIND,EQ,2600,1582,60.85
20,9,AARVEEDEN,EQ,3981,2697,67.75
20,10,ABAN,EQ,440622,86544,19.64
20,11,ABB,EQ,24998,7539,30.16
20,12,ABBOTINDIA,EQ,992,528,53.23
20,13,ABCIL,EQ,13915,6920,49.73
20,14,ABGSHIP,EQ,19692,10512,53.38
20,15,ABIRLANUVO,EQ,422577,263173,62.28
20,16,ACC,EQ,1072257,984368,91.80
20,17,ACCELYA,EQ,13259,7301,55.06
20,18,ACE,EQ,152902,104890,68.60
20,19,ACROPETAL,EQ,33153,21607,65.17
20,20,ADANIENT,EQ,2282381,1392511,61.01
20,21,ADANIPORTS,EQ,6475235,2322503,35.87
20,22,ADANIPOWER,EQ,4605249,530941,11.53
20,23,ADFFOODS,EQ,890,551,61.91
20,24,ADHUNIK,EQ,88348,64091,72.54
20,25,ADORWELD,EQ,2729,2268,83.11
20,26,ADVANIHOTR,EQ,500,500,100.00
20,27,ADVANTA,EQ,20049,12652,63.11
20,28,AEGISCHEM,EQ,26151,20995,80.28
20,29,AFL,EQ,7889,7169,90.87
20,30,AFTEK,EQ,50284,32409,64.45
20,31,AHMEDFORGE,EQ,16382,10638,64.94
20,32,AIAENG,EQ,3078,1615,52.47
20,33,AIL,EQ,8756,5429,62.00
20,34,AJANTPHARM,EQ,83956,25224,30.04
20,35,AJMERA,EQ,2714,1596,58.81
20,36,AKSHOPTFBR,EQ,89360,40261,45.05
20,37,AKZOINDIA,EQ,2817,1853,65.78
20,38,ALBK,EQ,2704221,726461,26.86
20,39,ALCHEM,EQ,2935,1650,56.22
20,40,ALEMBICLTD,EQ,29806,22188,74.44
20,41,ALICON,EQ,349,349,100.00
20,42,ALKALI,EQ,16432,7635,46.46
20,43,ALLCARGO,EQ,3037,1866,61.44
20,44,ALLSEC,EQ,62,62,100.00
20,45,ALOKTEXT,EQ,5415587,2932037,54.14
20,46,ALPA,EQ,1011,1011,100.00
20,47,ALPHAGEO,EQ,2190,1714,78.26
20,48,ALSTOMT&D,EQ,5978,3131,52.38
20,49,AMAR,EQ,133984,131869,98.42
20,50,AMARAJABAT,EQ,72347,32602,45.06
20,51,AMBIKCO,EQ,1000,1000,100.00
20,52,AMBUJACEM,EQ,5122210,2186802,42.69
20,53,AMRUTANJAN,EQ,11896,6428,54.03
