Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04102011,223167043,0001485
Trade Date <04-OCT-2011>,Settlement Type <N>,Settlement No <2011189>,Settlement Date <07-OCT-2011>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,97029,38947,40.14
20,2,3IINFOTECH,EQ,518071,198719,38.36
20,3,3MINDIA,EQ,88,71,80.68
20,4,A2ZMES,EQ,45581,9265,20.33
20,5,AANJANEYA,EQ,94810,64000,67.50
20,6,AARTIDRUGS,EQ,447,372,83.22
20,7,AARTIIND,EQ,15317,7178,46.86
20,8,AARVEEDEN,EQ,92,78,84.78
20,9,ABAN,EQ,530531,66569,12.55
20,10,ABB,EQ,60249,9908,16.45
20,11,ABBOTINDIA,EQ,3771,2560,67.89
20,12,ABCIL,EQ,3168,1522,48.04
20,13,ABGSHIP,EQ,217130,88095,40.57
20,14,ABHISHEK,EQ,2420,1500,61.98
20,15,ABIRLANUVO,EQ,87540,50335,57.50
20,16,ACC,EQ,271077,123412,45.53
20,17,ACE,EQ,41246,22326,54.13
20,18,ACKRUTI,EQ,7153,3641,50.90
20,19,ACROPETAL,EQ,71909,46910,65.24
20,20,ADANIENT,BL,988000,988000,100.00
20,21,ADANIENT,EQ,457586,255994,55.94
20,22,ADANIPOWER,EQ,307245,139697,45.47
20,23,ADFFOODS,EQ,875,671,76.69
20,24,ADHUNIK,EQ,176919,115574,65.33
20,25,ADORWELD,EQ,3350,1738,51.88
20,26,ADSL,EQ,114368,89714,78.44
20,27,ADVANIHOTR,EQ,5,5,100.00
20,28,ADVANTA,EQ,32172,14036,43.63
20,29,AEGISCHEM,EQ,9959,3846,38.62
20,30,AFL,EQ,17901,11744,65.61
20,31,AFTEK,EQ,76758,46932,61.14
20,32,AGCNET,EQ,3318,3022,91.08
20,33,AGRE,EQ,2935,2658,90.56
20,34,AGRODUTCH,EQ,16845,11651,69.17
20,35,AHLEAST,EQ,5204,5060,97.23
20,36,AHLUCONT,EQ,2635,2325,88.24
20,37,AHLWEST,EQ,11,10,90.91
20,38,AHMEDFORGE,EQ,5193,3006,57.89
20,39,AIAENG,EQ,20614,19293,93.59
20,40,AJANTPHARM,EQ,7472,3429,45.89
20,41,AJMERA,EQ,8181,4404,53.83
20,42,AKSHOPTFBR,EQ,231365,129325,55.90
20,43,AKZOINDIA,EQ,7143,5361,75.05
20,44,ALBK,EQ,1551963,825111,53.17
20,45,ALCHEM,EQ,98452,38497,39.10
20,46,ALEMBICLTD,EQ,18346,15342,83.63
20,47,ALFALAVAL,EQ,1735,1383,79.71
20,48,ALKALI,EQ,3282,2415,73.58
20,49,ALKYLAMINE,EQ,200,0,0.00
20,50,ALLCARGO,EQ,6287,2878,45.78
20,51,ALLSEC,EQ,1410,783,55.53
20,52,ALMONDZ,EQ,2545,2254,88.57
20,53,ALOKTEXT,EQ,5885917,1737685,29.52
20,54,ALPA,EQ,2183,2129,97.53
20,55,ALPHAGEO,EQ,1947,1393,71.55
20,56,AMAR,EQ,36027,15477,42.96
20,57,AMARAJABAT,EQ,11846,7532,63.58
20,58,AMARJOTHI,EQ,87,82,94.25
20,59,AMBIKCO,EQ,1952,1593,81.61
20,60,AMBUJACEM,EQ,1828735,936571,51.21
20,61,AMDIND,EQ,877,626,71.38
20,62,AMLSTEEL,EQ,6380,5790,90.75
20,63,AMRUTANJAN,EQ,46134,8675,18.80
20,64,AMTEKAUTO,EQ,1464736,632502,43.18
20,65,AMTEKINDIA,EQ,2084954,1021362,48.99
20,66,ANANTRAJ,EQ,189389,123314,65.11
20,67,ANDHRABANK,EQ,638968,340093,53.23
20,68,ANDHRSUGAR,EQ,8033,5937,73.91
20,69,ANGIND,EQ,680,630,92.65
20,70,ANIKINDS,EQ,452,427,94.47
20,71,ANSALAPI,EQ,65141,38748,59.48
20,72,ANSALHSG,EQ,6750,3919,58.06
20,73,APARINDS,EQ,1095,914,83.47
20,74,APCOTEXIND,EQ,327,198,60.55
20,75,APIL,EQ,32405,8875,27.39
20,76,APLAB,EQ,782,632,80.82
20,77,APLLTD,EQ,68054,43518,63.95
20,78,APOLLOHOSP,EQ,18934,12848,67.86
20,79,APOLLOTYRE,EQ,1291608,515804,39.94
20,80,APPAPER,EQ,16449,3481,21.16
20,81,APTECHT,EQ,425362,111658,26.25
20,82,AQUA,EQ,97357,70418,72.33
20,83,ARCHIES,EQ,16735,11829,70.68
20,84,AREVAT&D,EQ,46760,24217,51.79
20,85,ARIES,EQ,6240,5067,81.20
20,86,ARL,EQ,49292,24998,50.71
20,87,AROGRANITE,EQ,847,550,64.94
20,88,ARROWTEX,EQ,6414,4841,75.48
20,89,ARSHIYA,EQ,440549,276585,62.78
20,90,ARSSINFRA,EQ,401584,77586,19.32
20,91,ARVIND,EQ,4437220,683596,15.41
20,92,ASAHIINDIA,EQ,7856,6931,88.23
20,93,ASAHISONG,EQ,8835,7446,84.28
20,94,ASAL,EQ,2518,2487,98.77
20,95,ASHAPURMIN,EQ,20574,12728,61.86
20,96,ASHCONIUL,EQ,5742,4845,84.38
20,97,ASHIANA,EQ,890,865,97.19
20,98,ASHIMASYN,EQ,2612,2500,95.71
20,99,ASHOKA,EQ,572,358,62.59
20,100,ASHOKLEY,EQ,4418595,2258227,51.11
20,101,ASIANHOTNR,EQ,555,355,63.96
