Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06022012,380699113,0001429
Trade Date <06-FEB-2012>,Settlement Type <N>,Settlement No <2012025>,Settlement Date <08-FEB-2012>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,124607,25087,20.13
20,2,3IINFOTECH,EQ,5661369,2104108,37.17
20,3,3MINDIA,EQ,811,512,63.13
20,4,A2ZMES,EQ,740279,189184,25.56
20,5,AANJANEYA,EQ,174358,65211,37.40
20,6,AARTIDRUGS,EQ,5898,3656,61.99
20,7,AARTIIND,EQ,94881,81072,85.45
20,8,AARVEEDEN,EQ,2684,2281,84.99
20,9,ABAN,EQ,1688167,169097,10.02
20,10,ABB,EQ,109647,36138,32.96
20,11,ABBOTINDIA,EQ,1839,1322,71.89
20,12,ABCIL,EQ,5402,4728,87.52
20,13,ABGSHIP,EQ,437305,188083,43.01
20,14,ABHISHEK,EQ,14161,11298,79.78
20,15,ABIRLANUVO,EQ,46773,23263,49.74
20,16,ACC,EQ,787628,486489,61.77
20,17,ACE,EQ,146224,84200,57.58
20,18,ACROPETAL,EQ,720500,259101,35.96
20,19,ADANIENT,EQ,2527332,1814522,71.80
20,20,ADANIPORTS,EQ,1518103,550880,36.29
20,21,ADANIPOWER,EQ,6697075,1122484,16.76
20,22,ADFFOODS,EQ,2134,1831,85.80
20,23,ADHUNIK,EQ,557633,211828,37.99
20,24,ADORWELD,EQ,42405,17613,41.54
20,25,ADSL,EQ,174860,112959,64.60
20,26,ADVANIHOTR,EQ,1420,1420,100.00
20,27,ADVANTA,EQ,159489,113975,71.46
20,28,AEGISCHEM,EQ,47855,26105,54.55
20,29,AFL,EQ,2248,1590,70.73
20,30,AFTEK,EQ,251605,151597,60.25
20,31,AGCNET,EQ,1240,1082,87.26
20,32,AGRE,EQ,8513,4278,50.25
20,33,AHLEAST,EQ,568,556,97.89
20,34,AHLUCONT,EQ,21504,19739,91.79
20,35,AHLWEST,EQ,777,541,69.63
20,36,AHMEDFORGE,EQ,32736,22470,68.64
20,37,AIAENG,EQ,26855,13493,50.24
20,38,AJANTPHARM,EQ,307938,76083,24.71
20,39,AJMERA,EQ,143151,47637,33.28
20,40,AKSHOPTFBR,EQ,81602,70479,86.37
20,41,AKZOINDIA,EQ,63776,29370,46.05
20,42,ALBK,EQ,1381689,639056,46.25
20,43,ALCHEM,EQ,34618,19266,55.65
20,44,ALEMBICLTD,EQ,91607,58006,63.32
20,45,ALFALAVAL,EQ,18446,16296,88.34
20,46,ALICON,EQ,509,475,93.32
20,47,ALKALI,EQ,13699,6797,49.62
20,48,ALKYLAMINE,EQ,921,910,98.81
20,49,ALLCARGO,EQ,150563,148243,98.46
20,50,ALMONDZ,EQ,30138,26957,89.45
20,51,ALOKTEXT,EQ,8288174,2363427,28.52
20,52,ALPA,EQ,9586,7597,79.25
20,53,ALPSINDUS,EQ,28509,26007,91.22
20,54,AMAR,EQ,99153,84881,85.61
20,55,AMARAJABAT,EQ,72034,52478,72.85
20,56,AMARJOTHI,EQ,2,2,100.00
20,57,AMBIKCO,EQ,6141,3489,56.81
20,58,AMBUJACEM,EQ,5023299,3611478,71.89
20,59,AMDIND,EQ,7144,5767,80.73
20,60,AMLSTEEL,EQ,2316,2226,96.11
20,61,AMRUTANJAN,EQ,98832,13060,13.21
20,62,AMTEKAUTO,EQ,414947,283888,68.42
20,63,AMTEKINDIA,EQ,272765,59446,21.79
20,64,ANANTRAJ,EQ,900508,411591,45.71
20,65,ANDHRABANK,EQ,720259,310212,43.07
20,66,ANDHRSUGAR,EQ,18582,13817,74.36
20,67,ANGIND,EQ,693,468,67.53
20,68,ANIKINDS,EQ,239,239,100.00
20,69,ANKURDRUGS,EQ,43194,31635,73.24
20,70,ANSALAPI,EQ,657242,456831,69.51
20,71,ANSALHSG,EQ,37248,15858,42.57
20,72,ANTGRAPHIC,EQ,35143,28242,80.36
20,73,APARINDS,EQ,7788,5607,72.00
20,74,APCOTEXIND,EQ,1210,655,54.13
20,75,APIL,EQ,159188,63292,39.76
20,76,APLAB,EQ,150,150,100.00
20,77,APLAPOLLO,EQ,18726,18700,99.86
20,78,APLLTD,EQ,47202,36424,77.17
20,79,APOLLOHOSP,EQ,98369,38526,39.16
20,80,APOLLOTYRE,EQ,4349254,2546133,58.54
20,81,APPAPER,EQ,85852,57467,66.94
20,82,AQUA,EQ,767024,715363,93.26
20,83,ARCHIES,EQ,204542,114792,56.12
20,84,AREVAT&D,EQ,112716,58681,52.06
20,85,ARIES,EQ,33825,17309,51.17
20,86,ARIHANT,EQ,191,191,100.00
20,87,ARL,EQ,362427,206741,57.04
