Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06092016,416985944,0001645
Trade Date <06-SEP-2016>,Settlement Type <N>,Settlement No <2016168>,Settlement Date <08-SEP-2016>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,218574,199904,91.46
20,2,3IINFOTECH,EQ,856728,452989,52.87
20,3,3MINDIA,EQ,675,389,57.63
20,4,8KMILES,EQ,10792,4964,46.00
20,5,A2ZINFRA,EQ,411905,155809,37.83
20,6,AARTIDRUGS,EQ,11423,9168,80.26
20,7,AARTIIND,EQ,24095,10986,45.59
20,8,AARVEEDEN,EQ,14809,11321,76.45
20,9,ABAN,EQ,691827,164305,23.75
20,10,ABB,EQ,74672,55148,73.85
20,11,ABBOTINDIA,EQ,4837,3428,70.87
20,12,ABFRL,EQ,564114,323755,57.39
20,13,ABGSHIP,EQ,141033,80736,57.25
20,14,ABIRLANUVO,EQ,422141,117586,27.85
20,15,ACC,EQ,283811,149668,52.74
20,16,ACCELYA,EQ,3675,3131,85.20
20,17,ACE,EQ,111835,68843,61.56
20,18,ADANIENT,EQ,2209617,477178,21.60
20,19,ADANIPORTS,EQ,4376626,2859613,65.34
20,20,ADANIPOWER,EQ,3321212,1288692,38.80
20,21,ADANITRANS,EQ,555354,363304,65.42
20,22,ADFFOODS,EQ,73336,46673,63.64
20,23,ADHUNIK,EQ,116858,98248,84.07
20,24,ADHUNIKIND,EQ,13069,1445,11.06
20,25,ADI,EQ,49908,46824,93.82
20,26,ADLABS,EQ,54648,30010,54.92
20,27,ADORWELD,EQ,2388,1897,79.44
20,28,ADSL,EQ,157875,55572,35.20
20,29,ADVANIHOTR,EQ,1236,951,76.94
20,30,ADVENZYMES,EQ,167084,68853,41.21
20,31,AEGISCHEM,EQ,2771501,1452737,52.42
20,32,AFL,EQ,10056,8572,85.24
20,33,AGARIND,EQ,41418,26105,63.03
20,34,AGCNET,EQ,4434,2891,65.20
20,35,AGRODUTCH,EQ,11362,10232,90.05
20,36,AHLEAST,EQ,4537,2440,53.78
20,37,AHLUCONT,EQ,426369,77422,18.16
20,38,AHLWEST,EQ,7071,5538,78.32
20,39,AIAENG,EQ,48465,23242,47.96
20,40,AIFL,EQ,73181,31427,42.94
20,41,AIL,EQ,15897,10741,67.57
20,42,AJANTPHARM,EQ,89066,38483,43.21
20,43,AJMERA,EQ,517182,117789,22.78
20,44,AKSHOPTFBR,EQ,5972369,2975427,49.82
20,45,AKZOINDIA,EQ,12311,6461,52.48
20,46,ALANKIT,EQ,355114,141830,39.94
20,47,ALBERTDAVD,EQ,2564,1588,61.93
20,48,ALBK,EQ,4003239,981841,24.53
20,49,ALCHEM,EQ,3882,2900,74.70
20,50,ALEMBICLTD,EQ,134411,91225,67.87
20,51,ALICON,EQ,5391,4243,78.71
20,52,ALKALI,EQ,11831,9446,79.84
20,53,ALKEM,EQ,54267,19849,36.58
20,54,ALKYLAMINE,EQ,3358,3126,93.09
20,55,ALLCARGO,EQ,239334,144736,60.47
20,56,ALLSEC,EQ,40027,22407,55.98
20,57,ALMONDZ,EQ,7723,4690,60.73
20,58,ALOKTEXT,EQ,5829746,2680981,45.99
20,59,ALPHAGEO,EQ,34097,12424,36.44
20,60,ALPSINDUS,EQ,33235,22805,68.62
20,61,ALSTOMT&D,EQ,117588,93419,79.45
20,62,AMARAJABAT,EQ,1351729,237202,17.55
20,63,AMBIKCO,EQ,5589,3280,58.69
20,64,AMBUJACEM,EQ,1601423,808967,50.52
20,65,AMDIND,EQ,17311,14648,84.62
20,66,AMRUTANJAN,EQ,1816,1342,73.90
20,67,AMTEKAUTO,EQ,1101767,431243,39.14
20,68,AMTL,EQ,6759,4876,72.14
20,69,ANANDAMRUB,EQ,146,146,100.00
20,70,ANANTRAJ,EQ,1249709,511913,40.96
20,71,ANDHRABANK,EQ,2006935,733296,36.54
20,72,ANDHRACEMT,EQ,412199,317492,77.02
20,73,ANDHRSUGAR,EQ,73613,32173,43.71
20,74,ANGIND,EQ,88804,61696,69.47
20,75,ANKITMETAL,EQ,385802,180929,46.90
20,76,ANSALAPI,EQ,70095,54732,78.08
20,77,ANSALHSG,EQ,66548,57629,86.60
20,78,APARINDS,EQ,38322,36427,95.06
20,79,APCOTEXIND,EQ,8390,6219,74.12
20,80,APLAPOLLO,EQ,21161,19098,90.25
20,81,APLLTD,EQ,116850,97289,83.26
20,82,APOLLOHOSP,EQ,244571,150214,61.42
20,83,APOLLOTYRE,EQ,6547672,1897043,28.97
20,84,APOLSINHOT,EQ,25,25,100.00
20,85,APTECHT,EQ,5705810,1384881,24.27
20,86,ARCHIDPLY,EQ,94359,57386,60.82
20,87,ARCHIES,EQ,70360,43909,62.41
20,88,ARCOTECH,EQ,109490,10377,9.48
20,89,ARIES,EQ,14125,10252,72.58
20,90,ARIHANT,EQ,1227,877,71.48
20,91,ARMANFIN,EQ,8763,6916,78.92
20,92,AROGRANITE,EQ,169331,82418,48.67
20,93,ARROWGREEN,EQ,3926,2486,63.32
20,94,ARROWTEX,EQ,9226,5485,59.45
20,95,ARSHIYA,EQ,21023,14658,69.72
20,96,ARSSINFRA,EQ,427002,107308,25.13
20,97,ARVIND,EQ,1471955,496386,33.72
20,98,ARVINFRA,EQ,131708,74047,56.22
