Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07062012,229477327,0001453
Trade Date <07-JUN-2012>,Settlement Type <D>,Settlement No <2012108>,Settlement Date <11-JUN-2012>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0833F36,GC,100000,100000,100.00
Trade Date <07-JUN-2012>,Settlement Type <N>,Settlement No <2012108>,Settlement Date <11-JUN-2012>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,20MICRONS,EQ,99043,46098,46.54
20,3,3IINFOTECH,EQ,1078768,517873,48.01
20,4,3MINDIA,EQ,55,45,81.82
20,5,A2ZMES,EQ,243205,70693,29.07
20,6,AANJANEYA,EQ,247924,125594,50.66
20,7,AARTIDRUGS,EQ,9488,9269,97.69
20,8,AARTIIND,EQ,35662,29017,81.37
20,9,AARVEEDEN,EQ,245,159,64.90
20,10,ABAN,EQ,609807,97746,16.03
20,11,ABB,EQ,22597,6470,28.63
20,12,ABBOTINDIA,EQ,1642,1304,79.42
20,13,ABCIL,EQ,2859,2481,86.78
20,14,ABGSHIP,EQ,38515,29008,75.32
20,15,ABHISHEK,EQ,539,315,58.44
20,16,ABIRLANUVO,EQ,117039,57497,49.13
20,17,ACC,EQ,293072,123427,42.11
20,18,ACE,EQ,23621,13623,57.67
20,19,ACROPETAL,EQ,40628,33692,82.93
20,20,ADANIENT,EQ,1894265,520427,27.47
20,21,ADANIPORTS,EQ,745015,281174,37.74
20,22,ADANIPOWER,EQ,1354299,411610,30.39
20,23,ADFFOODS,EQ,2058,1400,68.03
20,24,ADHUNIK,EQ,64634,34642,53.60
20,25,ADORWELD,EQ,3050,1729,56.69
20,26,ADSL,EQ,36782,17570,47.77
20,27,ADVANTA,EQ,70595,35643,50.49
20,28,AEGISCHEM,EQ,6672,3915,58.68
20,29,AFL,EQ,1155,700,60.61
20,30,AFTEK,EQ,203628,120254,59.06
20,31,AGCNET,EQ,3598,3102,86.21
20,32,AGRODUTCH,EQ,4764,3916,82.20
20,33,AHLEAST,EQ,70,60,85.71
20,34,AHLUCONT,EQ,1275,1023,80.24
20,35,AHLWEST,EQ,622,584,93.89
20,36,AHMEDFORGE,EQ,2293,1669,72.79
20,37,AIAENG,EQ,339,260,76.70
20,38,AJANTPHARM,EQ,108401,10926,10.08
20,39,AJMERA,EQ,10390,8224,79.15
20,40,AKZOINDIA,EQ,2053,1352,65.85
20,41,ALBK,EQ,1900083,689966,36.31
20,42,ALCHEM,EQ,110,108,98.18
20,43,ALEMBICLTD,EQ,31775,22328,70.27
20,44,ALICON,EQ,445,420,94.38
20,45,ALKALI,EQ,2732,1785,65.34
20,46,ALKYLAMINE,EQ,74,68,91.89
20,47,ALLCARGO,EQ,5002,4799,95.94
20,48,ALMONDZ,EQ,156,152,97.44
20,49,ALOKTEXT,EQ,1675953,779012,46.48
20,50,ALPA,EQ,17277,16400,94.92
20,51,ALPHAGEO,EQ,1852,1348,72.79
20,52,ALPINEHOU,EQ,1,0,0.00
20,53,ALPSINDUS,EQ,39605,32738,82.66
20,54,ALSTOMT&D,EQ,46105,29860,64.77
20,55,AMAR,EQ,61156,47796,78.15
20,56,AMARAJABAT,EQ,117212,95412,81.40
20,57,AMARJOTHI,EQ,5189,5039,97.11
20,58,AMBIKCO,EQ,7011,4035,57.55
20,59,AMBUJACEM,EQ,1032405,468192,45.35
20,60,AMDIND,EQ,2500,1885,75.40
20,61,AMLSTEEL,EQ,100,100,100.00
20,62,AMRUTANJAN,EQ,24436,3414,13.97
20,63,AMTEKAUTO,EQ,62765,31258,49.80
20,64,AMTEKINDIA,EQ,251556,16986,6.75
20,65,ANANTRAJ,EQ,158452,75222,47.47
20,66,ANDHRABANK,EQ,647437,289096,44.65
20,67,ANDHRACEMT,EQ,9616,5662,58.88
20,68,ANDHRSUGAR,EQ,6254,5301,84.76
20,69,ANIKINDS,EQ,68641,28637,41.72
20,70,ANKURDRUGS,EQ,8452,5946,70.35
20,71,ANSALAPI,EQ,71735,40932,57.06
20,72,ANSALHSG,EQ,7023,3748,53.37
20,73,ANTGRAPHIC,EQ,92179,92177,100.00
20,74,APARINDS,EQ,2676,1964,73.39
20,75,APCOTEXIND,EQ,1794,833,46.43
20,76,APIL,EQ,133363,71221,53.40
20,77,APLAB,EQ,150,150,100.00
20,78,APLAPOLLO,EQ,2530,2329,92.06
20,79,APLLTD,EQ,15768,12012,76.18
20,80,APOLLOHOSP,EQ,143442,84580,58.96
20,81,APOLLOTYRE,EQ,2172828,498207,22.93
20,82,APPAPER,EQ,105159,28649,27.24
20,83,APTECHT,EQ,191999,50463,26.28
