Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07062018,512217327,0001714
Trade Date <07-JUN-2018>,Settlement Type <N>,Settlement No <2018108>,Settlement Date <11-JUN-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,97025,50296,51.84
20,2,21STCENMGM,EQ,6005,5918,98.55
20,3,3IINFOTECH,EQ,2634841,1451512,55.09
20,4,3MINDIA,EQ,1348,839,62.24
20,5,3PLAND,EQ,1505,1400,93.02
20,6,5PAISA,EQ,1914,1782,93.10
20,7,63MOONS,EQ,93179,39184,42.05
20,8,8KMILES,EQ,317180,69917,22.04
20,9,A2ZINFRA,EQ,592885,254796,42.98
20,10,AARTIDRUGS,EQ,3286,2721,82.81
20,11,AARTIIND,EQ,128853,96296,74.73
20,12,AARVEEDEN,EQ,5345,3965,74.18
20,13,AARVI,SM,28000,26000,92.86
20,14,ABAN,EQ,1148311,245869,21.41
20,15,ABB,EQ,107919,40246,37.29
20,16,ABBOTINDIA,EQ,2378,1728,72.67
20,17,ABCAPITAL,EQ,1199321,681263,56.80
20,18,ABFRL,EQ,173195,81045,46.79
20,19,ACC,EQ,428248,143411,33.49
20,20,ACCELYA,EQ,16649,15633,93.90
20,21,ACCORD,SM,2000,2000,100.00
20,22,ACE,EQ,1105375,447773,40.51
20,23,ADANIENT,EQ,11000722,1565644,14.23
20,24,ADANIPORTS,EQ,1770108,686769,38.80
20,25,ADANIPOWER,EQ,19446368,2175647,11.19
20,26,ADANITRANS,EQ,922097,236610,25.66
20,27,ADFFOODS,EQ,54784,19218,35.08
20,28,ADHUNIK,EQ,61292,37273,60.81
20,29,ADHUNIKIND,EQ,24392,1941,7.96
20,30,ADLABS,EQ,118092,52520,44.47
20,31,ADORWELD,EQ,21637,14807,68.43
20,32,ADROITINFO,EQ,2901,1166,40.19
20,33,ADSL,EQ,35682,22978,64.40
20,34,ADVANIHOTR,EQ,15959,7792,48.83
20,35,ADVENZYMES,EQ,309962,143457,46.28
20,36,AEGISCHEM,EQ,192013,106416,55.42
20,37,AFL,EQ,1729,1185,68.54
20,38,AGARIND,EQ,815,697,85.52
20,39,AGCNET,EQ,22334,11487,51.43
20,40,AGLSL,EQ,9358,9266,99.02
20,41,AGRITECH,EQ,145771,53788,36.90
20,42,AGROPHOS,SM,42000,18000,42.86
20,43,AHLEAST,EQ,1474,1000,67.84
20,44,AHLUCONT,EQ,9224,6210,67.32
20,45,AIAENG,EQ,98324,51460,52.34
20,46,AIFL,EQ,76460,47473,62.09
20,47,AIRAN,SM,10500,7000,66.67
20,48,AIROLAM,SM,6000,6000,100.00
20,49,AISL,SM,7200,7200,100.00
20,50,AJANTPHARM,EQ,345236,141633,41.02
20,51,AJMERA,EQ,409747,91654,22.37
20,52,AJOONI,SM,8000,8000,100.00
20,53,AKASH,SM,1000,1000,100.00
20,54,AKSHARCHEM,EQ,2900,2003,69.07
20,55,AKSHOPTFBR,EQ,1363332,524496,38.47
20,56,AKZOINDIA,EQ,4813,2641,54.87
20,57,ALANKIT,EQ,524184,175321,33.45
20,58,ALBERTDAVD,EQ,11952,9677,80.97
20,59,ALBK,EQ,6230004,459091,7.37
20,60,ALEMBICLTD,EQ,294914,169876,57.60
20,61,ALICON,EQ,1772,1204,67.95
20,62,ALKALI,EQ,4881,2806,57.49
20,63,ALKEM,EQ,27212,23017,84.58
20,64,ALKYLAMINE,EQ,7159,5824,81.35
20,65,ALLCARGO,EQ,383027,294368,76.85
20,66,ALLSEC,EQ,6106,5605,91.79
20,67,ALPA,EQ,22952,16003,69.72
20,68,ALPHAGEO,EQ,22325,8602,38.53
20,69,AMARAJABAT,EQ,404599,221673,54.79
20,70,AMBER,EQ,14642,8268,56.47
20,71,AMBIKCO,EQ,2186,1732,79.23
20,72,AMBUJACEM,EQ,4036226,3106361,76.96
20,73,AMDIND,EQ,9174,5266,57.40
20,74,AMJLAND,EQ,16107,12520,77.73
20,75,AMJUMBO,SM,2000,2000,100.00
20,76,AMRUTANJAN,EQ,8783,6451,73.45
20,77,ANANTRAJ,EQ,875528,341899,39.05
20,78,ANDHRABANK,EQ,3614313,641970,17.76
20,79,ANDHRACEMT,EQ,98686,70932,71.88
20,80,ANDHRSUGAR,EQ,47515,24664,51.91
20,81,ANSALAPI,EQ,94658,59246,62.59
20,82,ANSALHSG,EQ,69095,31644,45.80
20,83,APARINDS,EQ,5777,3828,66.26
20,84,APCL,EQ,1364,852,62.46
20,85,APCOTEXIND,EQ,7993,5165,64.62
20,86,APEX,EQ,127436,53490,41.97
20,87,APLAPOLLO,EQ,13326,7491,56.21
20,88,APLLTD,EQ,21988,11627,52.88
20,89,APOLLO,EQ,36228,15992,44.14
20,90,APOLLOHOSP,EQ,513903,246725,48.01
20,91,APOLLOTYRE,EQ,3335231,1787684,53.60
20,92,APOLSINHOT,EQ,294,181,61.56
20,93,APTECHT,EQ,1331804,243300,18.27
20,94,ARCHIDPLY,EQ,25716,15697,61.04
20,95,ARCOTECH,EQ,714773,325245,45.50
20,96,ARIES,EQ,59810,40063,66.98
20,97,ARIHANT,EQ,31,30,96.77
20,98,ARIHANTSUP,EQ,49994,48233,96.48
20,99,AROGRANITE,EQ,11978,5223,43.60
20,100,ARROWGREEN,EQ,2916,2916,100.00
20,101,ARROWTEX,EQ,10198,6688,65.58
20,102,ARSHIYA,EQ,39535,21279,53.82
20,103,ARVIND,EQ,2260627,656988,29.06
20,104,ARVSMART,EQ,42770,25728,60.15
20,105,ASAHIINDIA,EQ,10576,8936,84.49
20,106,ASAHISONG,EQ,2798,2468,88.21
20,107,ASAL,EQ,8269,4140,50.07
20,108,ASHAPURMIN,EQ,188368,94227,50.02
20,109,ASHIANA,EQ,2408601,1927915,80.04
20,110,ASHIMASYN,EQ,81892,55382,67.63
20,111,ASHOKA,EQ,144820,74170,51.22
20,112,ASHOKLEY,EQ,9139684,2380094,26.04
20,113,ASIANHOTNR,EQ,1466,1084,73.94
20,114,ASIANPAINT,EQ,701247,299895,42.77
20,115,ASIANTILES,EQ,122793,84520,68.83
20,116,ASLIND,SM,12000,4000,33.33
20,117,ASPINWALL,EQ,8299,7973,96.07
20,118,ASSAMCO,EQ,683799,480693,70.30
20,119,ASTEC,EQ,15215,7799,51.26
20,120,ASTERDM,EQ,384226,359464,93.56
20,121,ASTRAL,EQ,45767,24685,53.94
20,122,ASTRAMICRO,EQ,516065,190689,36.95
20,123,ASTRAZEN,EQ,12529,11695,93.34
20,124,ASTRON,EQ,131466,77775,59.16
20,125,ATFL,EQ,8750,5884,67.25
20,126,ATLANTA,EQ,556135,216182,38.87
20,127,ATUL,EQ,16796,13914,82.84
