Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08092011,222739871,0001494
Trade Date <08-SEP-2011>,Settlement Type <D>,Settlement No <2011171>,Settlement Date <12-SEP-2011>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1000E14,GC,10,0,0.00
Trade Date <08-SEP-2011>,Settlement Type <N>,Settlement No <2011171>,Settlement Date <12-SEP-2011>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,20MICRONS,EQ,66411,24756,37.28
20,3,3IINFOTECH,EQ,1262176,402239,31.87
20,4,3MINDIA,EQ,119,83,69.75
20,5,A2ZMES,EQ,272288,52203,19.17
20,6,AANJANEYA,EQ,180680,72533,40.14
20,7,AARTIDRUGS,EQ,4155,2287,55.04
20,8,AARTIIND,EQ,20124,13428,66.73
20,9,AARVEEDEN,EQ,968,864,89.26
20,10,ABAN,EQ,928576,105777,11.39
20,11,ABB,EQ,49110,15039,30.62
20,12,ABBOTINDIA,EQ,1190,696,58.49
20,13,ABCIL,EQ,3850,2867,74.47
20,14,ABGSHIP,EQ,234799,141618,60.31
20,15,ABHISHEK,EQ,3370,2870,85.16
20,16,ABIRLANUVO,EQ,69583,39816,57.22
20,17,ACC,EQ,309492,119019,38.46
20,18,ACE,EQ,24623,17448,70.86
20,19,ACKRUTI,EQ,6844,2962,43.28
20,20,ACROPETAL,EQ,1251146,247001,19.74
20,21,ADANIENT,EQ,339146,77657,22.90
20,22,ADANIPOWER,EQ,840740,267418,31.81
20,23,ADFFOODS,EQ,23993,18023,75.12
20,24,ADHUNIK,EQ,129370,80044,61.87
20,25,ADORWELD,EQ,1615,1538,95.23
20,26,ADSL,EQ,674673,367549,54.48
20,27,ADVANIHOTR,EQ,120,110,91.67
20,28,ADVANTA,EQ,37182,13244,35.62
20,29,AEGISCHEM,EQ,7690,3707,48.21
20,30,AFL,EQ,22814,21324,93.47
20,31,AFTEK,EQ,163820,61945,37.81
20,32,AGCNET,EQ,12561,9302,74.05
20,33,AGRE,EQ,2598,2207,84.95
20,34,AGRODUTCH,EQ,41178,21117,51.28
20,35,AHLEAST,EQ,44563,44269,99.34
20,36,AHLUCONT,EQ,1424,941,66.08
20,37,AHLWEST,EQ,305,184,60.33
20,38,AHMEDFORGE,EQ,13038,9537,73.15
20,39,AIAENG,EQ,3057,1766,57.77
20,40,AJANTPHARM,EQ,25305,10587,41.84
20,41,AJMERA,EQ,113100,20953,18.53
20,42,AKSHOPTFBR,EQ,325027,288001,88.61
20,43,AKZOINDIA,EQ,10064,9337,92.78
20,44,ALBK,EQ,725520,338409,46.64
20,45,ALCHEM,EQ,111576,31719,28.43
20,46,ALEMBICLTD,EQ,40890,26870,65.71
20,47,ALFALAVAL,EQ,834,570,68.35
20,48,ALKALI,EQ,10678,4939,46.25
20,49,ALKYLAMINE,EQ,4046,1971,48.71
20,50,ALLCARGO,EQ,5977,4636,77.56
20,51,ALLSEC,EQ,2257,1262,55.91
20,52,ALMONDZ,EQ,11329,2280,20.13
20,53,ALOKTEXT,EQ,5791922,1421815,24.55
20,54,ALPA,EQ,600,600,100.00
20,55,ALPHAGEO,EQ,609,447,73.40
20,56,ALPSINDUS,EQ,64718,49121,75.90
20,57,AMAR,EQ,329027,117051,35.57
20,58,AMARAJABAT,EQ,59973,53224,88.75
20,59,AMBIKCO,EQ,310,282,90.97
20,60,AMBUJACEM,EQ,2318338,1295913,55.90
20,61,AMDIND,EQ,8334,6434,77.20
20,62,AMLSTEEL,EQ,1676,1375,82.04
20,63,AMRUTANJAN,EQ,287647,20703,7.20
20,64,AMTEKAUTO,EQ,382687,201003,52.52
20,65,AMTEKINDIA,EQ,386519,102689,26.57
20,66,ANANTRAJ,EQ,549378,308038,56.07
20,67,ANDHRABANK,EQ,812110,338510,41.68
20,68,ANDHRSUGAR,EQ,63901,40089,62.74
20,69,ANGIND,EQ,7075,4402,62.22
20,70,ANIKINDS,EQ,430,430,100.00
20,71,ANKURDRUGS,EQ,459595,144860,31.52
20,72,ANSALAPI,EQ,168218,99279,59.02
20,73,ANSALHSG,EQ,8339,6055,72.61
20,74,APARINDS,EQ,5877,4302,73.20
20,75,APCOTEXIND,EQ,402,398,99.00
20,76,APIL,EQ,76152,15567,20.44
20,77,APLAB,EQ,50,50,100.00
20,78,APOLLOHOSP,EQ,21431,11775,54.94
20,79,APOLLOTYRE,EQ,1447143,515693,35.64
20,80,APPAPER,EQ,42295,34870,82.44
20,81,APTECHT,EQ,1686887,356135,21.11
20,82,AQUA,EQ,29547,19202,64.99
20,83,ARCHIDPLY,EQ,1156,454,39.27
20,84,ARCHIES,EQ,227908,46191,20.27
20,85,AREVAT&D,EQ,24182,8750,36.18
20,86,ARIES,EQ,9903,3405,34.38
20,87,ARIHANT,EQ,100,100,100.00
20,88,ARL,EQ,516500,437351,84.68
20,89,AROGRANITE,EQ,51,50,98.04
20,90,ARROWTEX,EQ,2826,2239,79.23
20,91,ARSHIYA,EQ,12586,8212,65.25
