Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,09012012,182575549,0001491
Trade Date <09-JAN-2012>,Settlement Type <D>,Settlement No <2012006>,Settlement Date <11-JAN-2012>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1000E14,GC,10,10,100.00
Trade Date <09-JAN-2012>,Settlement Type <N>,Settlement No <2012006>,Settlement Date <11-JAN-2012>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,20MICRONS,EQ,79006,27253,34.49
20,3,3IINFOTECH,EQ,3201221,822165,25.68
20,4,3MINDIA,EQ,104,71,68.27
20,5,A2ZMES,EQ,227499,65696,28.88
20,6,AANJANEYA,EQ,258193,59166,22.92
20,7,AARTIDRUGS,EQ,2190,1635,74.66
20,8,AARTIIND,EQ,27120,17781,65.56
20,9,AARVEEDEN,EQ,1983,1525,76.90
20,10,ABAN,EQ,582200,90715,15.58
20,11,ABB,EQ,43249,10557,24.41
20,12,ABBOTINDIA,EQ,255,197,77.25
20,13,ABCIL,EQ,1814,1729,95.31
20,14,ABGSHIP,EQ,181540,117742,64.86
20,15,ABHISHEK,EQ,308,194,62.99
20,16,ABIRLANUVO,EQ,49732,23355,46.96
20,17,ACC,EQ,222539,120133,53.98
20,18,ACE,EQ,51856,29964,57.78
20,19,ACROPETAL,EQ,156457,121895,77.91
20,20,ADANIENT,EQ,1149831,715074,62.19
20,21,ADANIPOWER,EQ,2682805,2550681,95.08
20,22,ADFFOODS,EQ,14491,9900,68.32
20,23,ADHUNIK,EQ,79436,44366,55.85
20,24,ADORWELD,EQ,34339,11359,33.08
20,25,ADSL,EQ,70689,47123,66.66
20,26,ADVANTA,EQ,420401,134580,32.01
20,27,AEGISCHEM,EQ,12121,6446,53.18
20,28,AFL,EQ,1208,816,67.55
20,29,AFTEK,EQ,300820,154477,51.35
20,30,AGCNET,EQ,48,27,56.25
20,31,AGRE,EQ,23229,22011,94.76
20,32,AGRODUTCH,EQ,10616,8675,81.72
20,33,AHLEAST,EQ,223,108,48.43
20,34,AHLUCONT,EQ,150600,148837,98.83
20,35,AHLWEST,EQ,45,42,93.33
20,36,AHMEDFORGE,EQ,129849,56399,43.43
20,37,AIAENG,EQ,205508,202302,98.44
