Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,14032014,226473505,0001473
Trade Date <14-MAR-2014>,Settlement Type <D>,Settlement No <2014052>,Settlement Date <19-MAR-2014>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1000E14,GC,20,0,0.00
Trade Date <14-MAR-2014>,Settlement Type <N>,Settlement No <2014052>,Settlement Date <19-MAR-2014>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,20MICRONS,EQ,102715,39323,38.28
20,3,3IINFOTECH,EQ,714224,312805,43.80
20,4,3MINDIA,EQ,497,309,62.17
20,5,8KMILES,EQ,4276,2718,63.56
20,6,A2ZMES,EQ,71245,50556,70.96
20,7,AARTIDRUGS,EQ,4782,3358,70.22
20,8,AARTIIND,EQ,129891,62987,48.49
20,9,AARVEEDEN,EQ,697,507,72.74
20,10,ABAN,EQ,786101,120715,15.36
20,11,ABB,EQ,354225,115369,32.57
20,12,ABBOTINDIA,EQ,914,478,52.30
20,13,ABCIL,EQ,31211,11645,37.31
20,14,ABGSHIP,EQ,158747,53321,33.59
20,15,ABIRLANUVO,EQ,122149,77987,63.85
20,16,ACC,EQ,301970,76939,25.48
20,17,ACCELYA,EQ,12408,9458,76.23
20,18,ACE,EQ,279330,122622,43.90
20,19,ACROPETAL,EQ,11057,8654,78.27
20,20,ADANIENT,EQ,3575727,632224,17.68
20,21,ADANIPORTS,EQ,1715374,901012,52.53
20,22,ADANIPOWER,EQ,2827776,499327,17.66
20,23,ADFFOODS,EQ,4283,3494,81.58
20,24,ADHUNIK,EQ,331487,187285,56.50
20,25,ADORWELD,EQ,2540,1092,42.99
20,26,ADSL,EQ,25136,18683,74.33
20,27,ADVANIHOTR,EQ,252,250,99.21
20,28,ADVANTA,EQ,42609,23310,54.71
20,29,AEGISCHEM,EQ,17214,10738,62.38
20,30,AFL,EQ,943,820,86.96
