Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17012018,824139242,0001601
Trade Date <17-JAN-2018>,Settlement Type <N>,Settlement No <2018013>,Settlement Date <19-JAN-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,134450,61240,45.55
20,2,3IINFOTECH,EQ,1595296,1595254,100.00
20,3,3MINDIA,EQ,1151,861,74.80
20,4,5PAISA,EQ,10938,6736,61.58
20,5,63MOONS,EQ,243439,88273,36.26
20,6,8KMILES,EQ,79267,32197,40.62
20,7,A2ZINFRA,EQ,2348033,914453,38.95
20,8,AARTIDRUGS,EQ,44036,30988,70.37
20,9,AARTIIND,EQ,16516,11149,67.50
20,10,AARVEEDEN,EQ,38396,21548,56.12
20,11,AARVI,SM,2000,2000,100.00
20,12,ABAN,EQ,3753188,643538,17.15
20,13,ABB,EQ,91330,46628,51.05
20,14,ABBOTINDIA,EQ,2018,1379,68.33
20,15,ABCAPITAL,EQ,2587497,1462587,56.53
20,16,ABFRL,EQ,413104,233724,56.58
20,17,ACC,EQ,179153,70342,39.26
20,18,ACCELYA,EQ,4451,3069,68.95
20,19,ACCORD,SM,2000,2000,100.00
20,20,ACE,EQ,623230,199699,32.04
20,21,ADANIENT,EQ,9472531,1146811,12.11
20,22,ADANIPORTS,EQ,6715953,2437442,36.29
20,23,ADANIPOWER,EQ,28185993,2971564,10.54
20,24,ADANITRANS,EQ,1750126,491294,28.07
20,25,ADFFOODS,EQ,195508,60841,31.12
20,26,ADORWELD,EQ,200195,65265,32.60
20,27,ADVANIHOTR,EQ,182343,46509,25.51
20,28,ADVENZYMES,EQ,444565,352253,79.24
20,29,AEGISCHEM,EQ,170709,93193,54.59
20,30,AFL,EQ,14975,10415,69.55
20,31,AGLSL,EQ,35323,28014,79.31
20,32,AGRITECH,EQ,15869,8366,52.72
20,33,AGROPHOS,SM,36000,12000,33.33
20,34,AHLEAST,EQ,14898,8086,54.28
20,35,AHLUCONT,EQ,7272,5294,72.80
20,36,AIAENG,EQ,30441,21109,69.34
20,37,AIFL,EQ,70220,28687,40.85
20,38,AIRAN,SM,3000,3000,100.00
20,39,AIROLAM,SM,63000,51000,80.95
20,40,AISL,SM,8400,6000,71.43
20,41,AJANTPHARM,EQ,170156,40777,23.96
20,42,AJMERA,EQ,125218,48864,39.02
20,43,AJOONI,SM,92000,72000,78.26
20,44,AKASH,SM,6000,6000,100.00
20,45,AKSHARCHEM,EQ,12656,8514,67.27
20,46,AKZOINDIA,EQ,54280,51953,95.71
20,47,ALANKIT,EQ,882777,411862,46.66
20,48,ALBERTDAVD,EQ,26412,15099,57.17
20,49,ALBK,EQ,3438656,807821,23.49
20,50,ALEMBICLTD,EQ,2054370,674122,32.81
20,51,ALICON,EQ,7821,5015,64.12
20,52,ALKALI,EQ,51371,27329,53.20
20,53,ALKEM,EQ,9667,5163,53.41
20,54,ALKYLAMINE,EQ,10300,6583,63.91
20,55,ALLCARGO,EQ,681399,323054,47.41
20,56,ALLSEC,EQ,3954,2343,59.26
20,57,ALPA,EQ,65835,39817,60.48
20,58,ALPHAGEO,EQ,30067,18926,62.95
20,59,AMARAJABAT,EQ,393219,169205,43.03
20,60,AMBIKCO,EQ,3822,1916,50.13
20,61,AMBUJACEM,EQ,2384660,1563226,65.55
20,62,AMDIND,EQ,31663,19321,61.02
20,63,AMRUTANJAN,EQ,12952,9862,76.14
20,64,ANANTRAJ,EQ,2311693,780366,33.76
20,65,ANDHRABANK,EQ,2749025,450955,16.40
20,66,ANDHRACEMT,EQ,669095,391540,58.52
20,67,ANDHRSUGAR,EQ,164762,78618,47.72
20,68,ANIKINDS,EQ,14446,8465,58.60
20,69,ANSALAPI,EQ,647419,478587,73.92
20,70,ANSALHSG,EQ,234725,64481,27.47
20,71,APARINDS,EQ,16885,10043,59.48
20,72,APCL,EQ,2956,2188,74.02
20,73,APCOTEXIND,EQ,14127,8806,62.33
20,74,APEX,EQ,502641,192748,38.35
20,75,APLAPOLLO,EQ,50535,35471,70.19
20,76,APLLTD,EQ,50383,38188,75.80
20,77,APOLLOHOSP,EQ,219833,94515,42.99
20,78,APOLLOTYRE,EQ,2010538,724335,36.03
20,79,APOLSINHOT,EQ,1461,1231,84.26
20,80,APTECHT,EQ,272730,63929,23.44
20,81,ARCHIDPLY,EQ,128548,62034,48.26
20,82,ARCHIES,EQ,466638,181414,38.88
20,83,ARCOTECH,EQ,1573934,714834,45.42
20,84,ARIHANTSUP,EQ,254731,35897,14.09
20,85,AROGRANITE,EQ,205376,70163,34.16
20,86,ARROWGREEN,EQ,25174,11834,47.01
20,87,ARROWTEX,EQ,34894,25317,72.55
20,88,ARSHIYA,EQ,71874,38864,54.07
20,89,ARVIND,EQ,1667369,323083,19.38
20,90,ARVSMART,EQ,80523,45091,56.00
20,91,ASAHIINDIA,EQ,44803,26321,58.75
20,92,ASAHISONG,EQ,8133,4608,56.66
20,93,ASAL,EQ,22289,13209,59.26
20,94,ASHAPURMIN,EQ,712242,245749,34.50
20,95,ASHIANA,EQ,565627,320929,56.74
20,96,ASHIMASYN,EQ,1544264,1033665,66.94
20,97,ASHOKA,EQ,648335,602193,92.88
20,98,ASHOKLEY,EQ,10469892,2939864,28.08
20,99,ASIANHOTNR,EQ,280814,67780,24.14
20,100,ASIANPAINT,EQ,506648,327361,64.61
20,101,ASIANTILES,EQ,127341,56892,44.68
20,102,ASPINWALL,EQ,3814,2717,71.24
20,103,ASTEC,EQ,35476,13612,38.37
20,104,ASTRAL,EQ,29255,17771,60.75
20,105,ASTRAMICRO,EQ,355021,162157,45.68
20,106,ASTRAZEN,EQ,9881,7201,72.88
20,107,ASTRON,EQ,4423171,1092417,24.70
20,108,ATFL,EQ,65622,22434,34.19
20,109,ATLANTA,EQ,534380,248297,46.46
20,110,ATUL,EQ,13115,7276,55.48
20,111,ATULAUTO,EQ,29769,14825,49.80
20,112,AUBANK,EQ,107325,48965,45.62
20,113,AURDIS,SM,2000,2000,100.00
20,114,AURIONPRO,EQ,125131,67194,53.70
20,115,AUROPHARMA,EQ,2653386,982807,37.04
20,116,AUSOMENT,EQ,26677,14388,53.93
20,117,AUTOAXLES,EQ,24958,12775,51.19
20,118,AUTOLITIND,EQ,11792,6487,55.01
20,119,AVADHSUGAR,EQ,20925,12282,58.70
20,120,AVANTIFEED,EQ,51485,26486,51.44
20,121,AVTNPL,EQ,241221,96000,39.80
20,122,AXISBANK,EQ,8453944,3576554,42.31
20,123,AXISCADES,EQ,316910,89510,28.24
20,124,AXISGOLD,EQ,278,179,64.39
20,125,AXISNIFTY,EQ,104,104,100.00
20,126,AYMSYNTEX,EQ,66111,43186,65.32
20,127,BAFNAPHARM,EQ,35259,27888,79.09
20,128,BAJAJ-AUTO,EQ,224799,114446,50.91
20,129,BAJAJCORP,EQ,49999,24504,49.01
20,130,BAJAJELEC,EQ,321299,181465,56.48
20,131,BAJAJFINSV,EQ,140637,75233,53.49
20,132,BAJAJHIND,EQ,4208801,2172188,51.61
20,133,BAJAJHLDNG,EQ,6300,4270,67.78
20,134,BAJFINANCE,EQ,1199501,719106,59.95
20,135,BALAJITELE,EQ,174031,95356,54.79
