Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17082011,255159803,0001457
Trade Date <17-AUG-2011>,Settlement Type <N>,Settlement No <2011157>,Settlement Date <22-AUG-2011>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,83902,27333,32.58
20,2,3IINFOTECH,EQ,1212576,309842,25.55
20,3,3MINDIA,EQ,752,658,87.50
20,4,A2ZMES,EQ,140691,38383,27.28
20,5,AANJANEYA,EQ,333505,102184,30.64
20,6,AARTIDRUGS,EQ,1326,1169,88.16
20,7,AARTIIND,EQ,49195,30535,62.07
20,8,AARVEEDEN,EQ,2487,287,11.54
20,9,ABAN,EQ,764066,98983,12.95
20,10,ABB,EQ,46889,18580,39.63
20,11,ABBOTINDIA,EQ,2958,2404,81.27
20,12,ABCIL,EQ,2727,1980,72.61
20,13,ABGSHIP,EQ,222654,108584,48.77
20,14,ABHISHEK,EQ,6666,6071,91.07
20,15,ABIRLANUVO,EQ,83780,39074,46.64
20,16,ACC,EQ,188142,87119,46.30
20,17,ACE,EQ,62139,48542,78.12
20,18,ACKRUTI,EQ,10470,7109,67.90
20,19,ACROPETAL,EQ,102584,49425,48.18
20,20,ADANIENT,EQ,326670,157571,48.24
20,21,ADANIPOWER,EQ,1618695,969474,59.89
20,22,ADFFOODS,EQ,6501,4512,69.40
20,23,ADHUNIK,EQ,477322,318930,66.82
20,24,ADORWELD,EQ,4981,2833,56.88
20,25,ADSL,EQ,360309,195367,54.22
20,26,ADVANIHOTR,EQ,1397,1397,100.00
20,27,ADVANTA,EQ,32338,8278,25.60
20,28,AEGISCHEM,EQ,5255,2800,53.28
20,29,AFL,EQ,7804,5463,70.00
20,30,AFTEK,EQ,111808,79715,71.30
20,31,AGCNET,EQ,474,420,88.61
20,32,AGRE,EQ,10096,9690,95.98
20,33,AGRODUTCH,EQ,26605,19425,73.01
20,34,AHLEAST,EQ,165,117,70.91
20,35,AHLUCONT,EQ,34564,29947,86.64
20,36,AHLWEST,EQ,323,235,72.76
20,37,AHMEDFORGE,EQ,6256,4174,66.72
20,38,AIAENG,EQ,31792,26775,84.22
20,39,AJANTPHARM,EQ,9881,5130,51.92
20,40,AJMERA,EQ,19591,11999,61.25
20,41,AKSHOPTFBR,EQ,241709,128981,53.36
20,42,AKZOINDIA,EQ,11363,9285,81.71
20,43,ALBK,EQ,770169,436153,56.63
20,44,ALCHEM,EQ,113534,42602,37.52
20,45,ALEMBICLTD,EQ,55802,37636,67.45
20,46,ALFALAVAL,EQ,332,328,98.80
20,47,ALKALI,EQ,10102,5290,52.37
20,48,ALKYLAMINE,EQ,2151,200,9.30
20,49,ALLCARGO,EQ,24751,9139,36.92
20,50,ALLSEC,EQ,1165,839,72.02
20,51,ALMONDZ,EQ,1928,568,29.46
20,52,ALOKTEXT,EQ,7472982,2301535,30.80
20,53,ALPA,EQ,1458,1413,96.91
20,54,ALPSINDUS,EQ,18901,13890,73.49
20,55,AMAR,EQ,34470,15857,46.00
20,56,AMARAJABAT,EQ,27972,12981,46.41
20,57,AMARJOTHI,EQ,46,36,78.26
20,58,AMBIKCO,EQ,5510,3201,58.09
20,59,AMBUJACEM,EQ,4561437,3512277,77.00
20,60,AMDIND,EQ,6282,5153,82.03
20,61,AMLSTEEL,EQ,520,260,50.00
20,62,AMRUTANJAN,EQ,82539,9337,11.31
20,63,AMTEKAUTO,EQ,697067,401108,57.54
20,64,AMTEKINDIA,EQ,52059,28768,55.26
20,65,ANANTRAJ,EQ,1135295,903411,79.57
20,66,ANDHRABANK,EQ,551640,283685,51.43
20,67,ANDHRACEMT,EQ,53416,40105,75.08
20,68,ANDHRSUGAR,EQ,10890,7476,68.65
20,69,ANGIND,EQ,1837,939,51.12
20,70,ANIKINDS,EQ,1478,1247,84.37
20,71,ANKURDRUGS,EQ,28830,19418,67.35
20,72,ANSALAPI,EQ,137998,86444,62.64
20,73,ANSALHSG,EQ,13340,7950,59.60
20,74,ANTGRAPHIC,EQ,99442,96842,97.39
20,75,APARINDS,EQ,29639,28126,94.90
20,76,APCOTEXIND,EQ,465,435,93.55
20,77,APIL,EQ,129948,48064,36.99
20,78,APOLLOHOSP,EQ,90047,71231,79.10
20,79,APOLLOTYRE,EQ,6019561,2302751,38.25
20,80,APPAPER,EQ,36460,22803,62.54
20,81,APTECHT,EQ,729913,150021,20.55
20,82,AQUA,EQ,249489,239627,96.05
20,83,ARCHIDPLY,EQ,4218,2337,55.41
20,84,ARCHIES,EQ,65174,18413,28.25
20,85,AREVAT&D,EQ,74924,47377,63.23
20,86,ARIES,EQ,3929,2730,69.48
20,87,ARL,EQ,132638,95733,72.18
20,88,ARROWTEX,EQ,1825,1771,97.04
20,89,ARSHIYA,EQ,4780,2395,50.10
20,90,ARSSINFRA,EQ,94889,37599,39.62
20,91,ARVIND,EQ,1430891,444118,31.04
20,92,ASAHIINDIA,EQ,32184,13152,40.87
20,93,ASAL,EQ,1455,1302,89.48
20,94,ASHAPURMIN,EQ,28831,21408,74.25
20,95,ASHCONIUL,EQ,20295,13410,66.08
20,96,ASHIANA,EQ,3719,3224,86.69
20,97,ASHOKA,EQ,1716,1169,68.12
20,98,ASHOKLEY,EQ,6005444,2204642,36.71
20,99,ASIANELEC,EQ,56531,49777,88.05
20,100,ASIANHOTNR,EQ,5167,4033,78.05
20,101,ASIANPAINT,EQ,118529,72283,60.98
20,102,ASIANTILES,EQ,1315,908,69.05
20,103,ASSAMCO,EQ,307504,167705,54.54
20,104,ASTEC,EQ,36781,27723,75.37
20,105,ASTERSILI,EQ,8138,5315,65.31
20,106,ASTRAL,EQ,22358,21470,96.03
20,107,ASTRAMICRO,EQ,39834,28662,71.95
20,108,ASTRAZEN,EQ,3111,3104,99.77
20,109,ATFL,EQ,3053,2496,81.76
20,110,ATLANTA,EQ,209551,76692,36.60
20,111,ATNINTER,EQ,5047,4002,79.29
20,112,ATUL,EQ,25179,19651,78.05
20,113,AURIONPRO,EQ,52,39,75.00
20,114,AUROPHARMA,EQ,1782006,734799,41.23
20,115,AUSTRAL,EQ,382883,225266,58.83
20,116,AUTOAXLES,EQ,2501,1242,49.66
20,117,AUTOIND,EQ,47687,23807,49.92
20,118,AUTOLITIND,EQ,1997,1627,81.47
20,119,AVANTI,EQ,4518,3002,66.45
20,120,AVENTIS,EQ,1072,500,46.64
20,121,AVTNPL,EQ,5063,2421,47.82
20,122,AXISBANK,EQ,2164821,1005727,46.46
20,123,AXISGOLD,EQ,436,329,75.46
20,124,BAGFILMS,EQ,179569,84337,46.97
20,125,BAJAJ-AUTO,EQ,236156,109212,46.25
20,126,BAJAJCORP,EQ,6986,4778,68.39
20,127,BAJAJELEC,EQ,38173,33922,88.86
20,128,BAJAJFINSV,EQ,18911,6907,36.52
20,129,BAJAJHIND,EQ,1109844,232153,20.92
20,130,BAJAJHLDNG,EQ,829665,805265,97.06
20,131,BAJFINANCE,EQ,24868,15705,63.15
20,132,BALAJITELE,EQ,29099,15483,53.21
20,133,BALAMINES,EQ,1975,1555,78.73
20,134,BALKRISIND,EQ,15565,8814,56.63
20,135,BALLARPUR,EQ,200099,128220,64.08
20,136,BALMLAWRIE,EQ,9376,6471,69.02
20,137,BALPHARMA,EQ,3294,2732,82.94
20,138,BALRAMCHIN,EQ,1803411,677586,37.57
20,139,BANARISUG,EQ,634,627,98.90
20,140,BANCOINDIA,EQ,7078,4464,63.07
20,141,BANG,EQ,393,305,77.61
20,142,BANKBARODA,EQ,548760,280254,51.07
20,143,BANKBEES,EQ,1430,1226,85.73
20,144,BANKINDIA,EQ,473076,108340,22.90
20,145,BANSWRAS,EQ,6886,1380,20.04
20,146,BARTRONICS,EQ,66373,36105,54.40
20,147,BASF,EQ,3603,2863,79.46
20,148,BASML,EQ,162103,158094,97.53
20,149,BATAINDIA,EQ,624413,65974,10.57
20,150,BATLIBOI,EQ,912,692,75.88
20,151,BAYERCROP,EQ,11380,6290,55.27
20,152,BBL,EQ,1742,1075,61.71
20,153,BBTC,EQ,2092,1604,76.67
20,154,BEARDSELL,EQ,125,125,100.00
20,155,BECREL,EQ,440,440,100.00
20,156,BEDMUTHA,EQ,149964,57051,38.04
20,157,BEL,EQ,100257,80831,80.62
20,158,BELLCERATL,EQ,1739,1536,88.33
20,159,BEML,EQ,127682,61238,47.96
20,160,BEPL,EQ,13880,13876,99.97
20,161,BERGEPAINT,EQ,239583,69416,28.97
20,162,BFINVEST,EQ,38499,19558,50.80
20,163,BFUTILITIE,EQ,3014757,173372,5.75
20,164,BGLOBAL,EQ,167853,56687,33.77
20,165,BGRENERGY,EQ,228157,41233,18.07
20,166,BHAGWATIHO,EQ,17417,7811,44.85
