Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17112011,262971020,0001475
Trade Date <17-NOV-2011>,Settlement Type <N>,Settlement No <2011217>,Settlement Date <21-NOV-2011>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,80463,15258,18.96
20,2,3IINFOTECH,EQ,1831487,884848,48.31
20,3,3MINDIA,EQ,561,522,93.05
20,4,A2ZMES,EQ,254768,43018,16.89
20,5,AANJANEYA,EQ,133099,18656,14.02
20,6,AARTIDRUGS,EQ,1738,1094,62.95
20,7,AARTIIND,EQ,86139,45131,52.39
20,8,AARVEEDEN,EQ,2552,2363,92.59
20,9,ABAN,EQ,755029,71241,9.44
20,10,ABB,EQ,72226,13603,18.83
20,11,ABBOTINDIA,EQ,1270,920,72.44
20,12,ABCIL,EQ,4348,3439,79.09
20,13,ABGSHIP,EQ,53566,15660,29.23
20,14,ABHISHEK,EQ,2246,1148,51.11
20,15,ABIRLANUVO,EQ,90577,60612,66.92
20,16,ACC,EQ,262560,132446,50.44
20,17,ACE,EQ,202719,120156,59.27
20,18,ACROPETAL,EQ,181441,112970,62.26
20,19,ADANIENT,EQ,1948782,866129,44.44
20,20,ADANIPOWER,EQ,531829,207158,38.95
20,21,ADFFOODS,EQ,2776,2645,95.28
20,22,ADHUNIK,EQ,363579,263878,72.58
20,23,ADORWELD,EQ,4017,3218,80.11
20,24,ADSL,EQ,86657,53090,61.26
20,25,ADVANIHOTR,EQ,1,1,100.00
20,26,ADVANTA,EQ,288287,33164,11.50
20,27,AEGISCHEM,EQ,6845,5118,74.77
20,28,AFL,EQ,12369,4544,36.74
20,29,AFTEK,EQ,98762,46407,46.99
20,30,AGCNET,EQ,2,2,100.00
20,31,AGRE,EQ,923,706,76.49
20,32,AGRODUTCH,EQ,17493,8860,50.65
20,33,AHLEAST,EQ,221,196,88.69
20,34,AHLUCONT,EQ,1863,1553,83.36
20,35,AHLWEST,EQ,396,152,38.38
20,36,AHMEDFORGE,EQ,9093,6853,75.37
20,37,AIAENG,EQ,67293,65962,98.02
20,38,AJANTPHARM,EQ,11808,8211,69.54
20,39,AJMERA,EQ,11284,5538,49.08
20,40,AKSHOPTFBR,EQ,25263,18485,73.17
20,41,AKZOINDIA,EQ,432,263,60.88
20,42,ALBK,EQ,1020769,424704,41.61
20,43,ALCHEM,EQ,93732,25037,26.71
20,44,ALEMBICLTD,EQ,31566,24551,77.78
20,45,ALFALAVAL,EQ,5861,4554,77.70
20,46,ALKALI,EQ,6792,3906,57.51
20,47,ALKYLAMINE,EQ,67,67,100.00
20,48,ALLCARGO,EQ,9408,6040,64.20
20,49,ALLSEC,EQ,2207,1807,81.88
20,50,ALMONDZ,EQ,7631,3294,43.17
20,51,ALOKTEXT,EQ,4379928,874244,19.96
20,52,ALPA,EQ,2801,1900,67.83
20,53,ALPHAGEO,EQ,1438,1036,72.04
20,54,AMAR,EQ,209910,102927,49.03
20,55,AMARAJABAT,EQ,218550,175207,80.17
20,56,AMARJOTHI,EQ,131,131,100.00
20,57,AMBIKCO,EQ,1485,643,43.30
20,58,AMBUJACEM,EQ,2090094,1476532,70.64
20,59,AMDIND,EQ,1115,1050,94.17
20,60,AMRUTANJAN,EQ,240172,11591,4.83
20,61,AMTEKAUTO,EQ,271847,152050,55.93
20,62,AMTEKINDIA,EQ,23146,17537,75.77
20,63,ANANTRAJ,EQ,294981,227070,76.98
20,64,ANDHRABANK,EQ,781262,277030,35.46
20,65,ANDHRSUGAR,EQ,5578,4314,77.34
20,66,ANGIND,EQ,732,662,90.44
20,67,ANIKINDS,EQ,3070,2680,87.30
20,68,ANSALAPI,EQ,41249,24305,58.92
20,69,ANSALHSG,EQ,3403,2987,87.78
20,70,APARINDS,EQ,17099,15945,93.25
20,71,APCOTEXIND,EQ,123,106,86.18
20,72,APIL,EQ,349169,118771,34.02
20,73,APLAB,EQ,255,40,15.69
20,74,APLLTD,EQ,33582,23338,69.50
20,75,APOLLOHOSP,EQ,21265,10202,47.98
20,76,APOLLOTYRE,EQ,1477768,664465,44.96
