Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17122013,214206916,0001343
Trade Date <17-DEC-2013>,Settlement Type <N>,Settlement No <2013240>,Settlement Date <19-DEC-2013>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,53624,29503,55.02
20,2,3IINFOTECH,EQ,931249,469791,50.45
20,3,3MINDIA,EQ,450,424,94.22
20,4,A2ZMES,EQ,187100,119573,63.91
20,5,AARTIDRUGS,EQ,3136,2770,88.33
20,6,AARTIIND,EQ,21445,9791,45.66
20,7,AARVEEDEN,EQ,79603,48687,61.16
20,8,ABAN,EQ,835080,98121,11.75
20,9,ABB,EQ,165265,64665,39.13
20,10,ABBOTINDIA,EQ,3589,2892,80.58
20,11,ABCIL,EQ,1553,1277,82.23
20,12,ABGSHIP,EQ,16589,7609,45.87
20,13,ABIRLANUVO,EQ,107847,64353,59.67
20,14,ACC,EQ,162409,88322,54.38
20,15,ACCELYA,EQ,11493,7937,69.06
20,16,ACE,EQ,144556,78757,54.48
20,17,ACROPETAL,EQ,10133,6459,63.74
20,18,ADANIENT,EQ,1750122,177661,10.15
20,19,ADANIPORTS,EQ,1182370,656097,55.49
20,20,ADANIPOWER,EQ,4080186,741099,18.16
20,21,ADFFOODS,EQ,6369,4328,67.95
20,22,ADHUNIK,EQ,62414,52116,83.50
20,23,ADORWELD,EQ,12879,5816,45.16
20,24,ADSL,EQ,12212,10980,89.91
20,25,ADVANTA,EQ,8944,4505,50.37
20,26,AEGISCHEM,EQ,130836,33585,25.67
20,27,AGCNET,EQ,3869,2213,57.20
20,28,AGRODUTCH,EQ,12,12,100.00
20,29,AHLUCONT,EQ,2414,1892,78.38
20,30,AHLWEST,EQ,524,524,100.00
20,31,AHMEDFORGE,EQ,8243,5200,63.08
20,32,AIAENG,EQ,26580,21457,80.73
20,33,AIL,EQ,5379,3496,64.99
20,34,AJANTPHARM,EQ,72400,32037,44.25
20,35,AJMERA,EQ,5298,3229,60.95
20,36,AKSHOPTFBR,EQ,126328,102447,81.10
20,37,AKZOINDIA,EQ,4916,3022,61.47
20,38,ALBK,EQ,2207077,836065,37.88
20,39,ALCHEM,EQ,2580,2000,77.52
20,40,ALEMBICLTD,EQ,124510,93838,75.37
20,41,ALICON,EQ,26,25,96.15
20,42,ALKALI,EQ,3433,2770,80.69
20,43,ALKYLAMINE,EQ,339,339,100.00
20,44,ALLCARGO,EQ,661,383,57.94
20,45,ALMONDZ,EQ,2000,2000,100.00
20,46,ALOKTEXT,EQ,1005485,536264,53.33
20,47,ALPHAGEO,EQ,3023,2422,80.12
20,48,ALPINEHOU,EQ,500,500,100.00
20,49,ALPSINDUS,EQ,1200,1200,100.00
20,50,ALSTOMT&D,EQ,228224,193875,84.95
20,51,AMARAJABAT,EQ,238264,146639,61.54
20,52,AMARJOTHI,EQ,100,100,100.00
20,53,AMBIKCO,EQ,527,477,90.51
20,54,AMBUJACEM,EQ,1141212,550290,48.22
20,55,AMDIND,EQ,1001,1001,100.00
20,56,AMRUTANJAN,EQ,19092,12944,67.80
20,57,AMTEKAUTO,EQ,466743,422815,90.59
