Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18122012,316679997,0001495
Trade Date <18-DEC-2012>,Settlement Type <D>,Settlement No <2012239>,Settlement Date <20-DEC-2012>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1000E14,GC,10,10,100.00
Trade Date <18-DEC-2012>,Settlement Type <N>,Settlement No <2012239>,Settlement Date <20-DEC-2012>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,20MICRONS,EQ,891050,229259,25.73
20,3,3IINFOTECH,EQ,1784108,940834,52.73
20,4,3MINDIA,EQ,719,715,99.44
20,5,A2ZMES,EQ,337656,139635,41.35
20,6,AANJANEYA,EQ,33697,11890,35.29
20,7,AARTIIND,EQ,17979,13758,76.52
20,8,AARVEEDEN,EQ,1310,1143,87.25
20,9,ABAN,EQ,354350,77712,21.93
20,10,ABB,EQ,23200,10789,46.50
20,11,ABBOTINDIA,EQ,1399,1183,84.56
20,12,ABCIL,EQ,23268,14027,60.28
20,13,ABGSHIP,EQ,13712,8251,60.17
20,14,ABHISHEK,EQ,2813,2715,96.52
20,15,ABIRLANUVO,EQ,229073,136592,59.63
20,16,ACC,EQ,174560,67004,38.38
20,17,ACE,EQ,2531871,1067642,42.17
20,18,ACROPETAL,EQ,28094,17437,62.07
20,19,ADANIENT,EQ,2524383,653128,25.87
20,20,ADANIPORTS,EQ,1908629,745305,39.05
20,21,ADANIPOWER,EQ,3237614,1130346,34.91
20,22,ADFFOODS,EQ,8191,6630,80.94
20,23,ADHUNIK,EQ,1103531,293430,26.59
20,24,ADORWELD,EQ,2835,1989,70.16
20,25,ADSL,EQ,71271,64097,89.93
20,26,ADVANIHOTR,EQ,6064,2855,47.08
20,27,ADVANTA,EQ,16830,2983,17.72
20,28,AEGISCHEM,EQ,30902,16777,54.29
20,29,AFL,EQ,21880,1325,6.06
20,30,AFTEK,EQ,117145,62100,53.01
20,31,AGCNET,EQ,9469,7677,81.08
20,32,AGRODUTCH,EQ,31645,23953,75.69
20,33,AHLEAST,EQ,583,433,74.27
20,34,AHLUCONT,EQ,6169,4257,69.01
20,35,AHLWEST,EQ,414,359,86.71
20,36,AHMEDFORGE,EQ,8505,6788,79.81
20,37,AIAENG,EQ,10130,9307,91.88
20,38,AIL,EQ,21984,15197,69.13
20,39,AJANTPHARM,EQ,19437,7831,40.29
20,40,AJMERA,EQ,6606,4383,66.35
20,41,AKSHOPTFBR,EQ,100334,81010,80.74
20,42,AKZOINDIA,EQ,3970,3163,79.67
20,43,ALBK,EQ,3372202,849560,25.19
20,44,ALCHEM,EQ,390279,107793,27.62
20,45,ALEMBICLTD,EQ,45105,38342,85.01
20,46,ALICON,EQ,9515,7266,76.36
20,47,ALKALI,EQ,1766,1187,67.21
20,48,ALKYLAMINE,EQ,457,402,87.96
20,49,ALLCARGO,EQ,1532,878,57.31
20,50,ALMONDZ,EQ,5,3,60.00
20,51,ALOKTEXT,EQ,3400081,2020378,59.42
20,52,ALPA,EQ,12651,9287,73.41
20,53,ALPHAGEO,EQ,301,200,66.45
20,54,ALPINEHOU,EQ,773,773,100.00
20,55,ALPSINDUS,EQ,530839,281098,52.95
20,56,ALSTOMT&D,EQ,17245,11572,67.10
20,57,AMAR,EQ,47184,37802,80.12
20,58,AMARAJABAT,EQ,74469,42779,57.45
20,59,AMARJOTHI,EQ,320,320,100.00
20,60,AMBIKCO,EQ,290,200,68.97
20,61,AMBUJACEM,EQ,2421972,1424554,58.82
20,62,AMDIND,EQ,5073,2785,54.90
20,63,AMLSTEEL,EQ,46,23,50.00
20,64,AMRUTANJAN,EQ,32195,9178,28.51
20,65,AMTEKAUTO,EQ,460651,300777,65.29
20,66,AMTEKINDIA,EQ,813428,399563,49.12
20,67,AMTL,EQ,9533,9533,100.00
20,68,ANANTRAJ,EQ,2078107,427498,20.57
20,69,ANDHRABANK,EQ,1785452,516184,28.91
20,70,ANDHRACEMT,EQ,8415,6398,76.03
20,71,ANDHRSUGAR,EQ,10897,9248,84.87
20,72,ANGIND,EQ,11822,6315,53.42
20,73,ANIKINDS,EQ,133473,66274,49.65
20,74,ANKURDRUGS,EQ,12771,10076,78.90
