Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,20052015,280258629,0001523
Trade Date <20-MAY-2015>,Settlement Type <N>,Settlement No <2015093>,Settlement Date <22-MAY-2015>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,85420,73185,85.68
20,2,3IINFOTECH,EQ,2468766,1457505,59.04
20,3,3MINDIA,EQ,474,236,49.79
20,4,8KMILES,EQ,9744,3898,40.00
20,5,A2ZINFRA,EQ,194208,105189,54.16
20,6,AARTIDRUGS,EQ,166178,77607,46.70
20,7,AARTIIND,EQ,38513,13061,33.91
20,8,AARVEEDEN,EQ,666,615,92.34
20,9,ABAN,EQ,373342,92541,24.79
20,10,ABB,EQ,24276,8376,34.50
20,11,ABBOTINDIA,EQ,982,450,45.82
20,12,ABCIL,EQ,9016,7929,87.94
20,13,ABGSHIP,EQ,279735,159866,57.15
20,14,ABIRLANUVO,EQ,115704,56243,48.61
20,15,ACC,EQ,197605,56823,28.76
20,16,ACCELYA,EQ,3716,2588,69.64
20,17,ACE,EQ,1249128,435971,34.90
20,18,ACROPETAL,EQ,8677,6421,74.00
20,19,ADANIENT,EQ,2212376,767047,34.67
20,20,ADANIPORTS,EQ,1660453,637500,38.39
20,21,ADANIPOWER,EQ,2005494,475081,23.69
20,22,ADFFOODS,EQ,62426,31279,50.11
20,23,ADHUNIK,EQ,30537,18099,59.27
20,24,ADI,EQ,3441,2269,65.94
20,25,ADLABS,EQ,766031,263235,34.36
20,26,ADORWELD,EQ,1445,1368,94.67
20,27,ADSL,EQ,84811,42338,49.92
20,28,ADVANIHOTR,EQ,5140,2640,51.36
20,29,ADVANTA,EQ,10015,2853,28.49
20,30,AEGISCHEM,EQ,24749,9989,40.36
20,31,AFL,EQ,6086,3869,63.57
20,32,AGARIND,EQ,8070,7305,90.52
20,33,AGCNET,EQ,130978,54154,41.35
20,34,AGRITECH,EQ,480,480,100.00
20,35,AGRODUTCH,EQ,21447,20643,96.25
20,36,AHLEAST,EQ,921,594,64.50
20,37,AHLUCONT,EQ,23317,14963,64.17
20,38,AHLWEST,EQ,1407,1212,86.14
20,39,AHMEDFORGE,EQ,164573,67979,41.31
20,40,AIAENG,EQ,85657,43838,51.18
20,41,AIL,EQ,12461,5813,46.65
20,42,AJANTPHARM,EQ,71115,31572,44.40
20,43,AJMERA,EQ,310913,88937,28.61
20,44,AKSHOPTFBR,EQ,233528,144083,61.70
20,45,AKZOINDIA,EQ,4459,2286,51.27
20,46,ALBK,EQ,1453225,377495,25.98
20,47,ALCHEM,EQ,3849,3379,87.79
20,48,ALEMBICLTD,EQ,227461,99632,43.80
20,49,ALICON,EQ,1092,670,61.36
20,50,ALKALI,EQ,8363,4332,51.80
20,51,ALKYLAMINE,EQ,7163,6472,90.35
20,52,ALLCARGO,EQ,42104,26836,63.74
20,53,ALLSEC,EQ,2923,1825,62.44
20,54,ALMONDZ,EQ,7001,6401,91.43
20,55,ALOKTEXT,EQ,2873518,1044126,36.34
20,56,ALPHAGEO,EQ,2580,1806,70.00
20,57,ALPSINDUS,EQ,800,800,100.00
20,58,ALSTOMT&D,EQ,167224,135483,81.02
20,59,AMARAJABAT,EQ,58051,44397,76.48
20,60,AMBIKCO,EQ,4622,2614,56.56
20,61,AMBUJACEM,EQ,1327514,611442,46.06
20,62,AMDIND,EQ,1297,1295,99.85
20,63,AMRUTANJAN,EQ,16475,6150,37.33
20,64,AMTEKAUTO,EQ,3107772,1050527,33.80
20,65,AMTEKINDIA,EQ,2049014,882567,43.07
20,66,AMTL,EQ,4735,2412,50.94
20,67,ANANTRAJ,EQ,374748,173843,46.39
20,68,ANDHRABANK,EQ,2063032,832392,40.35
20,69,ANDHRACEMT,EQ,5477,5405,98.69
20,70,ANDHRSUGAR,EQ,1924,1615,83.94
20,71,ANGIND,EQ,170017,78086,45.93
20,72,ANKITMETAL,EQ,1994,1437,72.07
20,73,ANSALAPI,EQ,23774,15703,66.05
20,74,ANSALHSG,EQ,21119,12881,60.99
20,75,APARINDS,EQ,1791,1048,58.51
20,76,APCOTEXIND,EQ,5771,4233,73.35
20,77,APLAPOLLO,EQ,19771,17795,90.01
20,78,APLLTD,EQ,230264,103129,44.79
20,79,APOLLOHOSP,EQ,195341,95639,48.96
20,80,APOLLOTYRE,EQ,2651828,874524,32.98
20,81,APTECHT,EQ,102687,46341,45.13
20,82,ARCHIDPLY,EQ,187672,80195,42.73
20,83,ARCHIES,EQ,687610,167621,24.38
20,84,ARCOTECH,EQ,59483,9036,15.19
20,85,ARIES,EQ,24244,10557,43.54
20,86,AROGRANITE,EQ,5757,4162,72.29
20,87,ARROWTEX,EQ,23357,17614,75.41
20,88,ARSHIYA,EQ,135252,59223,43.79
20,89,ARSSINFRA,EQ,49970,34774,69.59
20,90,ARVIND,EQ,2488969,805562,32.37
20,91,ARVINDREM,EQ,108472,106807,98.47
20,92,ASAHIINDIA,EQ,64829,45636,70.39
20,93,ASAHISONG,EQ,12204,8456,69.29
20,94,ASAL,EQ,2739,2706,98.80
20,95,ASHAPURMIN,EQ,33627,23570,70.09
20,96,ASHIANA,EQ,30189,22998,76.18
20,97,ASHIMASYN,EQ,4625,4125,89.19
20,98,ASHOKA,EQ,115718,78811,68.11
20,99,ASHOKLEY,EQ,7226688,1736061,24.02
20,100,ASIANHOTNR,EQ,1856,1643,88.52
20,101,ASIANPAINT,EQ,1793967,922506,51.42
20,102,ASIANTILES,EQ,9038,6352,70.28
20,103,ASSAMCO,EQ,186869,142030,76.01
20,104,ASTEC,EQ,548013,180118,32.87
20,105,ASTRAL,EQ,53554,45556,85.07
20,106,ASTRAMICRO,EQ,403802,169097,41.88
20,107,ASTRAZEN,EQ,1446,793,54.84
20,108,ATFL,EQ,1395,1063,76.20
20,109,ATLANTA,EQ,217799,112891,51.83
20,110,ATLASCYCLE,EQ,9586,2422,25.27
20,111,ATUL,EQ,3652,2179,59.67
20,112,ATULAUTO,EQ,75623,32375,42.81
20,113,AURIONPRO,EQ,32275,21525,66.69
20,114,AUROPHARMA,EQ,1102780,278867,25.29
20,115,AUSOMENT,EQ,146,146,100.00
20,116,AUSTRAL,EQ,74565,42068,56.42
20,117,AUTOAXLES,EQ,1552,850,54.77
20,118,AUTOIND,EQ,61006,26712,43.79
20,119,AUTOLITIND,EQ,15212,7277,47.84
20,120,AVANTIFEED,EQ,2086,1886,90.41
20,121,AVTNPL,EQ,15057,12477,82.87
20,122,AXISBANK,EQ,4763209,2194683,46.08
20,123,AXISCADES,EQ,12612,12612,100.00
20,124,AXISGOLD,EQ,111,58,52.25
20,125,BAFNAPHARM,EQ,182927,109582,59.90
20,126,BAGFILMS,EQ,97199,91051,93.67
20,127,BAJAJ-AUTO,EQ,399901,173753,43.45
20,128,BAJAJCORP,EQ,38866,22161,57.02
20,129,BAJAJELEC,EQ,150309,56558,37.63
20,130,BAJAJFINSV,EQ,57779,12152,21.03
20,131,BAJAJHIND,EQ,589554,221862,37.63
20,132,BAJAJHLDNG,EQ,47121,45089,95.69
20,133,BAJFINANCE,EQ,82763,22629,27.34
20,134,BALAJITELE,EQ,80731,49709,61.57
20,135,BALAMINES,EQ,15608,12404,79.47
20,136,BALKRISIND,EQ,35522,28803,81.08
20,137,BALLARPUR,EQ,123270,70938,57.55
20,138,BALMLAWRIE,EQ,14317,8150,56.93
20,139,BALPHARMA,EQ,11778,8782,74.56
20,140,BALRAMCHIN,EQ,116918,58912,50.39
20,141,BANARBEADS,EQ,454,303,66.74
20,142,BANARISUG,EQ,26,11,42.31
20,143,BANCOINDIA,EQ,23521,17432,74.11
20,144,BANKBARODA,EQ,6020396,3382874,56.19
20,145,BANKBARODA,IL,6529800,6529800,100.00
20,146,BANKBEES,EQ,1708,972,56.91
20,147,BANKINDIA,EQ,1551748,223943,14.43
20,148,BANSWRAS,EQ,994,968,97.38
20,149,BARTRONICS,EQ,31281,23801,76.09
20,150,BASF,EQ,5782,3025,52.32
20,151,BASML,EQ,156,89,57.05
