Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21072017,645761198,0001643
Trade Date <21-JUL-2017>,Settlement Type <N>,Settlement No <2017138>,Settlement Date <25-JUL-2017>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,30519,16742,54.86
20,2,3IINFOTECH,EQ,5996165,3458180,57.67
20,3,3MINDIA,EQ,1470,1152,78.37
20,4,63MOONS,EQ,18230,10648,58.41
20,5,8KMILES,EQ,85509,28411,33.23
20,6,A2ZINFRA,EQ,2726327,1382075,50.69
20,7,AARTIDRUGS,EQ,6623,4982,75.22
20,8,AARTIIND,EQ,17752,12209,68.78
20,9,AARVEEDEN,EQ,10239,8079,78.90
20,10,ABAN,EQ,548437,105123,19.17
20,11,ABB,EQ,158719,43136,27.18
20,12,ABBOTINDIA,EQ,3302,2824,85.52
20,13,ABFRL,EQ,307299,211893,68.95
20,14,ACC,EQ,352413,81360,23.09
20,15,ACCELYA,EQ,4043,2518,62.28
20,16,ACCORD,SM,12000,12000,100.00
20,17,ACE,EQ,190957,86566,45.33
20,18,ACEINTEG,SM,18000,18000,100.00
20,19,ADANIENT,EQ,3543548,545817,15.40
20,20,ADANIPORTS,EQ,6613707,5341660,80.77
20,21,ADANIPOWER,EQ,25510747,7126014,27.93
20,22,ADANITRANS,EQ,757079,425892,56.25
20,23,ADFFOODS,EQ,157209,60587,38.54
20,24,ADHUNIK,EQ,45834,44432,96.94
20,25,ADHUNIKIND,EQ,205934,102596,49.82
20,26,ADLABS,EQ,203731,86273,42.35
20,27,ADORWELD,EQ,6057,4317,71.27
20,28,ADVANIHOTR,EQ,53692,24739,46.08
20,29,ADVENZYMES,EQ,175784,103708,59.00
20,30,AEGISCHEM,EQ,292326,130371,44.60
20,31,AGRITECH,EQ,8566,6110,71.33
20,32,AHLEAST,EQ,96,48,50.00
20,33,AHLUCONT,EQ,7254,3579,49.34
20,34,AHLWEST,EQ,1877,820,43.69
20,35,AIAENG,EQ,9744,6651,68.26
20,36,AIFL,EQ,51058,28578,55.97
20,37,AIRAN,SM,33000,33000,100.00
20,38,AJANTPHARM,EQ,69296,21181,30.57
20,39,AJMERA,EQ,45938,30485,66.36
20,40,AKASH,SM,5000,1000,20.00
20,41,AKSHARCHEM,EQ,11979,7290,60.86
20,42,AKSHOPTFBR,EQ,12548148,4651804,37.07
20,43,AKZOINDIA,EQ,4897,3781,77.21
20,44,ALBERTDAVD,EQ,4079,3140,76.98
20,45,ALBK,EQ,1736490,309331,17.81
20,46,ALCHEM,EQ,5936,4170,70.25
20,47,ALEMBICLTD,EQ,370263,190531,51.46
20,48,ALICON,EQ,18631,6017,32.30
20,49,ALKALI,EQ,9288,3049,32.83
20,50,ALKEM,EQ,36638,21493,58.66
20,51,ALKYLAMINE,EQ,13489,9592,71.11
20,52,ALLCARGO,EQ,187773,133638,71.17
20,53,ALLSEC,EQ,27027,21290,78.77
20,54,ALMONDZ,EQ,19199,11772,61.32
20,55,ALOKTEXT,EQ,3219481,1767449,54.90
20,56,ALPHAGEO,EQ,9547,5760,60.33
20,57,ALPSINDUS,EQ,35465,18617,52.49
20,58,AMARAJABAT,EQ,269636,95651,35.47
20,59,AMBIKCO,EQ,2837,1887,66.51
20,60,AMBUJACEM,EQ,1399985,547889,39.14
20,61,AMDIND,EQ,27748,18759,67.60
20,62,AMRUTANJAN,EQ,2660,1903,71.54
20,63,AMTEKAUTO,EQ,862012,398946,46.28
20,64,ANANTRAJ,EQ,1447793,709468,49.00
20,65,ANDHRABANK,EQ,1118164,269047,24.06
20,66,ANDHRACEMT,EQ,281051,220097,78.31
20,67,ANDHRSUGAR,EQ,52791,30347,57.49
20,68,ANGIND,EQ,48530,40635,83.73
20,69,ANKITMETAL,EQ,43160,34159,79.15
20,70,ANSALAPI,EQ,174172,77488,44.49
20,71,ANSALHSG,EQ,80438,54526,67.79
20,72,APARINDS,EQ,20012,11019,55.06
20,73,APCL,EQ,1728,1262,73.03
20,74,APCOTEXIND,EQ,6017,4125,68.56
20,75,APLAPOLLO,EQ,4962,3523,71.00
20,76,APLLTD,EQ,152084,92896,61.08
20,77,APOLLOHOSP,EQ,383795,192955,50.28
20,78,APOLLOTYRE,EQ,2795175,886681,31.72
20,79,APOLSINHOT,EQ,57,52,91.23
20,80,APTECHT,EQ,384908,83322,21.65
20,81,ARCHIDPLY,EQ,85286,50868,59.64
20,82,ARCHIES,EQ,121036,85013,70.24
20,83,ARCOTECH,EQ,6593115,1338630,20.30
20,84,ARIES,EQ,90088,75995,84.36
20,85,ARIHANTSUP,EQ,472082,96033,20.34
20,86,ARMANFIN,EQ,11172,10172,91.05
20,87,AROGRANITE,EQ,71741,40214,56.05
20,88,ARROWGREEN,EQ,55535,32987,59.40
20,89,ARROWTEX,EQ,15922,11562,72.62
20,90,ARSHIYA,EQ,136349,119145,87.38
20,91,ARSSINFRA,EQ,133338,44003,33.00
20,92,ARVIND,EQ,1200942,543022,45.22
20,93,ARVSMART,EQ,46395,29585,63.77
20,94,ASAHIINDIA,EQ,35496,23773,66.97
20,95,ASAHISONG,EQ,5600,4545,81.16
20,96,ASAL,EQ,41941,28538,68.04
20,97,ASHAPURMIN,EQ,28959,16967,58.59
20,98,ASHIANA,EQ,31228,22782,72.95
20,99,ASHIMASYN,EQ,3361992,1687414,50.19
20,100,ASHOKA,EQ,57480,38732,67.38
20,101,ASHOKLEY,EQ,23377063,4815459,20.60
20,102,ASIANHOTNR,EQ,486,406,83.54
20,103,ASIANPAINT,EQ,2017663,1465678,72.64
20,104,ASIANTILES,EQ,32298,19098,59.13
20,105,ASIL,EQ,149,149,100.00
20,106,ASLIND,SM,12000,4000,33.33
20,107,ASSAMCO,EQ,381091,242009,63.50
20,108,ASTEC,EQ,216570,43345,20.01
20,109,ASTRAL,EQ,22513,12967,57.60
20,110,ASTRAMICRO,EQ,145616,74950,51.47
20,111,ASTRAZEN,EQ,2607,1590,60.99
20,112,ATFL,EQ,19776,7806,39.47
20,113,ATLANTA,EQ,688751,248888,36.14
20,114,ATUL,EQ,102623,51019,49.71
20,115,ATULAUTO,EQ,21861,12700,58.09
20,116,AUBANK,EQ,1438938,413833,28.76
20,117,AURDIS,SM,2000,2000,100.00
20,118,AURIONPRO,EQ,23992,15530,64.73
20,119,AUROPHARMA,EQ,2340391,554763,23.70
20,120,AUSOMENT,EQ,1170,935,79.91
20,121,AUTOAXLES,EQ,6096,3399,55.76
20,122,AUTOIND,EQ,64723,34402,53.15
20,123,AUTOLITIND,EQ,49306,30762,62.39
20,124,AVANTIFEED,EQ,52016,26549,51.04
20,125,AVTNPL,EQ,53818,36580,67.97
20,126,AXISBANK,EQ,5567645,1782212,32.01
20,127,AXISCADES,EQ,52504,32748,62.37
20,128,AXISGOLD,EQ,239,165,69.04
20,129,AXISNIFTY,EQ,670,670,100.00
20,130,AYMSYNTEX,EQ,15080,10571,70.10
20,131,BAFNAPHARM,EQ,18611,12457,66.93
20,132,BAGFILMS,EQ,1736114,721967,41.59
20,133,BAJAJ-AUTO,EQ,319397,170166,53.28
20,134,BAJAJCORP,EQ,193752,58337,30.11
20,135,BAJAJELEC,EQ,173055,102522,59.24
20,136,BAJAJFINSV,EQ,516203,136324,26.41
20,137,BAJAJHIND,EQ,19147381,6683865,34.91
20,138,BAJAJHLDNG,EQ,66361,29678,44.72
20,139,BAJFINANCE,EQ,1380541,459973,33.32
20,140,BALAJITELE,EQ,10626645,3176880,29.90
20,141,BALAMINES,EQ,22208,11230,50.57
20,142,BALKRISHNA,EQ,5748,3772,65.62
20,143,BALKRISIND,EQ,122670,71377,58.19
20,144,BALLARPUR,EQ,783855,519378,66.26
20,145,BALMLAWRIE,EQ,232519,134595,57.89
20,146,BALPHARMA,EQ,120533,48892,40.56
20,147,BALRAMCHIN,EQ,2022183,833617,41.22
20,148,BANARBEADS,EQ,14606,12251,83.88
20,149,BANARISUG,EQ,1616,987,61.08
20,150,BANCOINDIA,EQ,60156,24748,41.14
20,151,BANG,EQ,4937,4071,82.46
20,152,BANKBARODA,EQ,6359475,2436629,38.31
20,153,BANKBEES,EQ,2386,2245,94.09
