Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22042014,295658258,0001415
Trade Date <22-APR-2014>,Settlement Type <N>,Settlement No <2014075>,Settlement Date <25-APR-2014>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,94809,27302,28.80
20,2,3IINFOTECH,EQ,670367,358871,53.53
20,3,3MINDIA,EQ,551,531,96.37
20,4,8KMILES,EQ,5872,5862,99.83
20,5,A2ZMES,EQ,173040,124003,71.66
20,6,AARTIDRUGS,EQ,39624,17993,45.41
20,7,AARTIIND,EQ,101187,55085,54.44
20,8,AARVEEDEN,EQ,5526,4376,79.19
20,9,ABAN,EQ,845132,167422,19.81
20,10,ABB,EQ,75097,20793,27.69
20,11,ABBOTINDIA,EQ,2586,1619,62.61
20,12,ABCIL,EQ,40215,22013,54.74
20,13,ABGSHIP,EQ,140984,62871,44.59
20,14,ABIRLANUVO,EQ,127935,71395,55.81
20,15,ACC,EQ,212152,77439,36.50
20,16,ACCELYA,EQ,23565,14862,63.07
20,17,ACE,EQ,508191,294513,57.95
20,18,ACROPETAL,EQ,73128,66437,90.85
20,19,ADANIENT,EQ,4597819,398446,8.67
20,20,ADANIPORTS,EQ,3848936,1013352,26.33
20,21,ADANIPOWER,EQ,7079533,2526121,35.68
20,22,ADFFOODS,EQ,6109,5119,83.79
20,23,ADHUNIK,EQ,102441,73230,71.49
20,24,ADORWELD,EQ,10462,8478,81.04
20,25,ADSL,EQ,33948,28128,82.86
20,26,ADVANIHOTR,EQ,320,320,100.00
20,27,ADVANTA,EQ,177772,62308,35.05
20,28,AEGISCHEM,EQ,32246,13100,40.63
20,29,AFL,EQ,1629,1628,99.94
20,30,AFTEK,EQ,164946,156601,94.94
20,31,AGCNET,EQ,5489,4222,76.92
20,32,AGRODUTCH,EQ,2346,2346,100.00
20,33,AHLEAST,EQ,1420,1400,98.59
20,34,AHLUCONT,EQ,45484,28437,62.52
20,35,AHLWEST,EQ,184,52,28.26
20,36,AHMEDFORGE,EQ,70037,31521,45.01
20,37,AIAENG,EQ,75121,40166,53.47
20,38,AIL,EQ,20521,14009,68.27
20,39,AJANTPHARM,EQ,70807,67446,95.25
20,40,AKZOINDIA,EQ,5879,4236,72.05
20,41,ALBK,EQ,3093387,1451477,46.92
20,42,ALCHEM,EQ,2271,1564,68.87
20,43,ALEMBICLTD,EQ,1278318,679790,53.18
20,44,ALICON,EQ,45907,35475,77.28
20,45,ALKALI,EQ,10163,5689,55.98
20,46,ALKYLAMINE,EQ,484,330,68.18
20,47,ALLCARGO,EQ,9627,7896,82.02
20,48,ALLSEC,EQ,4808,4129,85.88
20,49,ALOKTEXT,EQ,3919035,2011563,51.33
20,50,ALPSINDUS,EQ,5190,5190,100.00
20,51,ALSTOMT&D,EQ,150187,138262,92.06
20,52,AMARAJABAT,EQ,64024,36741,57.39
20,53,AMARJOTHI,EQ,203,201,99.01
20,54,AMBIKCO,EQ,1250,1146,91.68
20,55,AMBUJACEM,EQ,1517550,648020,42.70
20,56,AMDIND,EQ,538,513,95.35
20,57,AMRUTANJAN,EQ,36294,21579,59.46
20,58,AMTEKAUTO,EQ,1619747,607936,37.53
20,59,AMTEKINDIA,EQ,127289,50202,39.44
20,60,AMTL,EQ,404,354,87.62
20,61,ANANTRAJ,EQ,780204,274420,35.17
20,62,ANDHRABANK,EQ,992608,345793,34.84
20,63,ANDHRACEMT,EQ,8720,8022,92.00
20,64,ANDHRSUGAR,EQ,14382,11887,82.65
