Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,25102017,1130264817,0001671
rade Date <25-OCT-2017>,Settlement Type <N>,Settlement No <2017202>,Settlement Date <27-OCT-2017>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,317453,210151,66.20
20,2,3IINFOTECH,EQ,1507952,803776,53.30
20,3,3MINDIA,EQ,888,551,62.05
20,4,63MOONS,EQ,764328,324899,42.51
20,5,8KMILES,EQ,161225,63026,39.09
20,6,A2ZINFRA,EQ,697504,377106,54.07
20,7,AARTIDRUGS,EQ,14863,13305,89.52
20,8,AARTIIND,EQ,15772,9581,60.75
20,9,AARVI,SM,4000,4000,100.00
20,10,ABAN,EQ,711018,219904,30.93
20,11,ABB,EQ,182208,115683,63.49
20,12,ABBOTINDIA,EQ,10498,10346,98.55
20,13,ABCAPITAL,EQ,5183142,3586078,69.19
20,14,ABFRL,EQ,843204,633287,75.10
20,15,ACC,EQ,395507,135921,34.37
20,16,ACCELYA,EQ,6816,5910,86.71
20,17,ACE,EQ,2895434,1347625,46.54
20,18,ACEINTEG,SM,12000,12000,100.00
20,19,ADANIENT,EQ,3208639,552527,17.22
20,20,ADANIPORTS,EQ,2475241,1412592,57.07
20,21,ADANIPOWER,EQ,9468323,3970627,41.94
20,22,ADANITRANS,EQ,2024637,681777,33.67
20,23,ADFFOODS,EQ,99644,53626,53.82
20,24,ADHUNIK,EQ,151398,93878,62.01
20,25,ADHUNIKIND,EQ,92443,51688,55.91
20,26,ADLABS,EQ,146788,78225,53.29
20,27,ADORWELD,EQ,23197,9048,39.01
20,28,ADSL,EQ,28615,20537,71.77
20,29,ADVANIHOTR,EQ,32272,22392,69.39
20,30,ADVENZYMES,EQ,168907,65683,38.89
20,31,AEGISCHEM,EQ,153510,69532,45.29
20,32,AGCNET,EQ,11415,10852,95.07
20,33,AGLSL,EQ,9620,7306,75.95
20,34,AGRITECH,EQ,81200,57651,71.00
20,35,AGROPHOS,SM,48000,48000,100.00
20,36,AHLEAST,EQ,554,362,65.34
20,37,AHLUCONT,EQ,62561,45914,73.39
20,38,AHLWEST,EQ,2988,2411,80.69
20,39,AIAENG,EQ,15336,12243,79.83
20,40,AIFL,EQ,55273,33950,61.42
20,41,AIRAN,SM,7000,7000,100.00
20,42,AIROLAM,SM,12000,12000,100.00
20,43,AJANTPHARM,EQ,200983,127182,63.28
20,44,AJMERA,EQ,171822,66627,38.78
20,45,AKSHARCHEM,EQ,11702,8035,68.66
20,46,AKSHOPTFBR,EQ,894229,524360,58.64
20,47,AKZOINDIA,EQ,7908,6675,84.41
20,48,ALANKIT,EQ,1690250,260498,15.41
20,49,ALBERTDAVD,EQ,3849,2806,72.90
20,50,ALBK,EQ,25237405,4578551,18.14
20,51,ALCHEM,EQ,17571,15871,90.32
20,52,ALEMBICLTD,EQ,359870,235760,65.51
20,53,ALICON,EQ,33474,17236,51.49
20,54,ALKEM,EQ,8161,4460,54.65
20,55,ALKYLAMINE,EQ,9495,6453,67.96
20,56,ALLCARGO,EQ,471055,399030,84.71
20,57,ALLSEC,EQ,76876,31951,41.56
20,58,ALMONDZ,EQ,10861,8049,74.11
20,59,ALOKTEXT,EQ,3078925,1659345,53.89
20,60,ALPA,EQ,45996,32441,70.53
20,61,ALPHAGEO,EQ,15223,7489,49.20
20,62,ALPSINDUS,EQ,64336,51646,80.28
20,63,AMARAJABAT,EQ,472545,206015,43.60
20,64,AMBIKCO,EQ,1674,1042,62.25
20,65,AMBUJACEM,EQ,2019634,576414,28.54
20,66,AMDIND,EQ,90115,68790,76.34
20,67,AMRUTANJAN,EQ,2291,1666,72.72
20,68,AMTEKAUTO,EQ,1687434,744548,44.12
20,69,ANANTRAJ,EQ,1590776,589621,37.06
20,70,ANDHRABANK,EQ,40074884,9162588,22.86
20,71,ANDHRSUGAR,EQ,313230,184738,58.98
20,72,ANIKINDS,EQ,71187,41924,58.89
20,73,ANSALAPI,EQ,357473,234134,65.50
20,74,ANSALHSG,EQ,202622,86441,42.66
20,75,APARINDS,EQ,12770,8082,63.29
20,76,APCL,EQ,37607,29179,77.59
20,77,APCOTEXIND,EQ,14752,9817,66.55
20,78,APEX,EQ,258301,125409,48.55
20,79,APLAPOLLO,EQ,4629,2586,55.87
20,80,APLLTD,EQ,22101,15549,70.35
20,81,APOLLOHOSP,EQ,324021,141839,43.77
20,82,APOLLOTYRE,EQ,1203040,370971,30.84
20,83,APOLSINHOT,EQ,928,702,75.65
20,84,APTECHT,EQ,320737,139559,43.51
20,85,ARCHIDPLY,EQ,1488937,505942,33.98
20,86,ARCHIES,EQ,97520,71054,72.86
20,87,ARCOTECH,EQ,662906,335925,50.67
20,88,ARIES,EQ,569032,149035,26.19
20,89,ARIHANTSUP,EQ,349125,95833,27.45
20,90,ARMANFIN,EQ,6354,4329,68.13
20,91,AROGRANITE,EQ,25947,15417,59.42
20,92,ARROWGREEN,EQ,15134,7040,46.52
20,93,ARROWTEX,EQ,235733,106904,45.35
20,94,ARSHIYA,EQ,233180,108977,46.74
20,95,ARSSINFRA,EQ,75143,42878,57.06
20,96,ARVIND,EQ,853672,362434,42.46
20,97,ARVSMART,EQ,70016,39340,56.19
20,98,ASAHIINDIA,EQ,18436,11897,64.53
20,99,ASAHISONG,EQ,6489,4054,62.47
20,100,ASAL,EQ,20551,10674,51.94
20,101,ASHAPURMIN,EQ,528809,463282,87.61
20,102,ASHIANA,EQ,77468,45760,59.07
20,103,ASHIMASYN,EQ,685967,322368,46.99
20,104,ASHOKA,EQ,1614986,869875,53.86
20,105,ASHOKLEY,EQ,8699873,3728968,42.86
20,106,ASIANHOTNR,EQ,5642,5354,94.90
20,107,ASIANPAINT,EQ,1015698,512347,50.44
20,108,ASIANTILES,EQ,35031,17752,50.68
