Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27022017,489650596,0001635
Trade Date <27-FEB-2017>,Settlement Type <N>,Settlement No <2017039>,Settlement Date <01-MAR-2017>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,37521,30881,82.30
20,2,3IINFOTECH,EQ,2475067,1927658,77.88
20,3,3MINDIA,EQ,696,584,83.91
20,4,63MOONS,EQ,54854,33662,61.37
20,5,8KMILES,EQ,27591,15788,57.22
20,6,A2ZINFRA,EQ,228769,101726,44.47
20,7,AARTIDRUGS,EQ,2088,1432,68.58
20,8,AARTIIND,EQ,24928,17593,70.58
20,9,AARVEEDEN,EQ,8238,5726,69.51
20,10,ABAN,EQ,624623,208745,33.42
20,11,ABB,EQ,50156,32227,64.25
20,12,ABBOTINDIA,EQ,68518,68106,99.40
20,13,ABFRL,EQ,1023733,906421,88.54
20,14,ABIRLANUVO,EQ,248394,103622,41.72
20,15,ACC,EQ,241883,132328,54.71
20,16,ACCELYA,EQ,913,668,73.17
20,17,ACE,EQ,189519,102984,54.34
20,18,ADANIENT,EQ,2478463,467921,18.88
20,19,ADANIPORTS,EQ,2116155,885577,41.85
20,20,ADANIPOWER,EQ,8398621,1728822,20.58
20,21,ADANITRANS,EQ,337999,186637,55.22
20,22,ADFFOODS,EQ,30550,14264,46.69
20,23,ADHUNIK,EQ,660920,258635,39.13
20,24,ADHUNIKIND,EQ,43640,1201,2.75
20,25,ADLABS,EQ,1414189,399188,28.23
20,26,ADORWELD,EQ,1937,1003,51.78
20,27,ADVANIHOTR,EQ,38213,6369,16.67
20,28,ADVENZYMES,EQ,100788,34979,34.71
20,29,AEGISCHEM,EQ,400700,182359,45.51
20,30,AFL,EQ,180250,78665,43.64
20,31,AGARIND,EQ,6720,5873,87.40
20,32,AGCNET,EQ,973,801,82.32
20,33,AGRITECH,EQ,3799,2329,61.31
20,34,AGROPHOS,SM,6000,6000,100.00
20,35,AHLEAST,EQ,588,498,84.69
20,36,AHLUCONT,EQ,14420,13286,92.14
20,37,AHLWEST,EQ,4174,4027,96.48
20,38,AIAENG,EQ,41174,31139,75.63
20,39,AIFL,EQ,98348,31042,31.56
20,40,AJANTPHARM,EQ,128802,35557,27.61
20,41,AJMERA,EQ,53863,32533,60.40
20,42,AKSHOPTFBR,EQ,1014805,574950,56.66
20,43,AKZOINDIA,EQ,7605,5524,72.64
20,44,ALANKIT,EQ,2285839,233422,10.21
20,45,ALBERTDAVD,EQ,4075,2849,69.91
20,46,ALBK,EQ,4668065,1273463,27.28
20,47,ALCHEM,EQ,3092,2356,76.20
20,48,ALEMBICLTD,EQ,676335,472891,69.92
20,49,ALICON,EQ,1483,1231,83.01
20,50,ALKALI,EQ,9891,5516,55.77
20,51,ALKEM,EQ,191498,107951,56.37
20,52,ALKYLAMINE,EQ,4641,3963,85.39
20,53,ALLCARGO,EQ,199518,188642,94.55
20,54,ALLSEC,EQ,11977,8596,71.77
20,55,ALMONDZ,EQ,2606,2305,88.45
20,56,ALOKTEXT,EQ,2696397,1884485,69.89
20,57,ALPHAGEO,EQ,10212,5185,50.77
20,58,ALPSINDUS,EQ,54669,48148,88.07
20,59,AMARAJABAT,EQ,340358,121416,35.67
20,60,AMBIKCO,EQ,7080,4390,62.01
20,61,AMBUJACEM,EQ,1944289,1104055,56.78
20,62,AMDIND,EQ,25691,13936,54.24
20,63,AMRUTANJAN,EQ,2006,1326,66.10
20,64,AMTEKAUTO,EQ,5249248,1811222,34.50
20,65,AMTL,EQ,20815,17487,84.01
20,66,ANANTRAJ,EQ,847997,232202,27.38
20,67,ANDHRABANK,EQ,3640083,1153506,31.69
20,68,ANDHRSUGAR,EQ,52151,31243,59.91
20,69,ANGIND,EQ,48857,40324,82.53
20,70,ANKITMETAL,EQ,43768,41764,95.42
20,71,ANSALAPI,EQ,124674,86592,69.45
20,72,ANSALHSG,EQ,29760,22704,76.29
20,73,APARINDS,EQ,9230,5030,54.50
20,74,APCOTEXIND,EQ,9345,7503,80.29
20,75,APLAPOLLO,EQ,451034,428382,94.98
20,76,APLLTD,EQ,32029,21420,66.88
20,77,APOLLOHOSP,EQ,274556,181239,66.01
20,78,APOLLOTYRE,EQ,2991680,908506,30.37
20,79,APTECHT,EQ,421994,90383,21.42
20,80,ARCHIDPLY,EQ,386590,158052,40.88
20,81,ARCHIES,EQ,35824,23510,65.63
20,82,ARCOTECH,EQ,290811,108085,37.17
20,83,ARIES,EQ,42566,21375,50.22
20,84,ARMANFIN,EQ,19358,13448,69.47
20,85,AROGRANITE,EQ,25501,17286,67.79
20,86,ARROWGREEN,EQ,9615,7371,76.66
20,87,ARROWTEX,EQ,24858,18700,75.23
20,88,ARSHIYA,EQ,627637,151420,24.13
20,89,ARSSINFRA,EQ,59573,26482,44.45
20,90,ARVIND,EQ,1201741,201951,16.80
20,91,ARVSMART,EQ,20540,16826,81.92
20,92,ASAHIINDIA,EQ,23880,15627,65.44
20,93,ASAHISONG,EQ,10965,7057,64.36
20,94,ASAL,EQ,5022,2871,57.17
20,95,ASHAPURMIN,EQ,75795,52968,69.88
20,96,ASHIANA,EQ,54745,40324,73.66
20,97,ASHIMASYN,EQ,97827,66059,67.53
20,98,ASHOKA,EQ,54678,32841,60.06
20,99,ASHOKLEY,EQ,10941288,5616629,51.33
20,100,ASIANHOTNR,EQ,2065,1926,93.27
20,101,ASIANPAINT,EQ,738246,464242,62.88
20,102,ASIANTILES,EQ,80416,27930,34.73
20,103,ASTEC,EQ,32003,10534,32.92
20,104,ASTRAL,EQ,211731,193789,91.53
20,105,ASTRAMICRO,EQ,214563,145979,68.04
20,106,ASTRAZEN,EQ,12773,8000,62.63
20,107,ATFL,EQ,6243,4498,72.05
20,108,ATLANTA,EQ,326842,76614,23.44
20,109,ATUL,EQ,8242,6064,73.57
20,110,ATULAUTO,EQ,41216,30587,74.21
20,111,AURIONPRO,EQ,77226,51494,66.68
20,112,AUROPHARMA,EQ,2479172,1003766,40.49
20,113,AUSOMENT,EQ,3986,2628,65.93
20,114,AUSTRAL,EQ,21132,15517,73.43
20,115,AUTOAXLES,EQ,3983,3118,78.28
20,116,AUTOIND,EQ,12600,9602,76.21
20,117,AUTOLITIND,EQ,2368,2071,87.46
20,118,AVANTIFEED,EQ,127483,46927,36.81
20,119,AVTNPL,EQ,210077,142298,67.74
20,120,AXISBANK,EQ,7372140,3578982,48.55
20,121,AXISCADES,EQ,39740,20929,52.66
20,122,AXISGOLD,EQ,903,532,58.91
20,123,AYMSYNTEX,EQ,34880,30511,87.47
20,124,BAFNAPHARM,EQ,48303,21684,44.89
20,125,BAGFILMS,EQ,169074,127980,75.69
20,126,BAJAJ-AUTO,EQ,318398,183426,57.61
20,127,BAJAJCORP,EQ,27886,20258,72.65
20,128,BAJAJELEC,EQ,58172,35820,61.58
20,129,BAJAJFINSV,EQ,107482,42836,39.85
20,130,BAJAJHIND,EQ,5205431,2314300,44.46
20,131,BAJAJHLDNG,EQ,11976,8464,70.67
20,132,BAJFINANCE,EQ,1223440,465981,38.09
20,133,BALAJITELE,EQ,84501,59223,70.09
20,134,BALAMINES,EQ,19035,16591,87.16
20,135,BALKRISHNA,EQ,18594,9853,52.99
20,136,BALKRISIND,EQ,200833,106079,52.82
20,137,BALLARPUR,EQ,1507285,1011420,67.10
20,138,BALMLAWRIE,EQ,47125,32146,68.21
20,139,BALPHARMA,EQ,115181,40816,35.44
20,140,BALRAMCHIN,EQ,370134,189430,51.18
20,141,BANARBEADS,EQ,33683,14053,41.72
20,142,BANARISUG,EQ,666,313,47.00
20,143,BANCOINDIA,EQ,63110,36233,57.41
20,144,BANG,EQ,29758,17732,59.59
20,145,BANKBARODA,EQ,7407568,3671986,49.57
20,146,BANKBEES,EQ,1188,830,69.87
20,147,BANKINDIA,EQ,2408075,411361,17.08
20,148,BANSWRAS,EQ,2214,1448,65.40
20,149,BASF,EQ,6538,4031,61.65
20,150,BASML,EQ,107,107,100.00
20,151,BATAINDIA,EQ,239262,88453,36.97
20,152,BAYERCROP,EQ,8898,6556,73.68
20,153,BBL,EQ,7290,2636,36.16
20,154,BBTC,EQ,233512,66274,28.38
20,155,BEARDSELL,EQ,676,468,69.23
20,156,BEDMUTHA,EQ,17554,10081,57.43
20,157,BEL,EQ,2356058,1653262,70.17
20,158,BEML,EQ,699352,106995,15.30
20,159,BEPL,EQ,406701,293060,72.06
20,160,BERGEPAINT,EQ,326414,183164,56.11
20,161,BFINVEST,EQ,36034,11845,32.87
20,162,BFUTILITIE,EQ,342841,102334,29.85
20,163,BGRENERGY,EQ,131125,62444,47.62
20,164,BHAGERIA,EQ,14368,7916,55.09
20,165,BHAGYNAGAR,EQ,26285,18650,70.95
20,166,BHANDARI,EQ,76445,68365,89.43
20,167,BHARATFIN,EQ,2602275,680368,26.15
20,168,BHARATFORG,EQ,428004,161090,37.64
20,169,BHARATGEAR,EQ,6199,4615,74.45
20,170,BHARATIDIL,EQ,24660,20357,82.55
20,171,BHARATRAS,EQ,34411,6550,19.03
20,172,BHARTIARTL,EQ,9082281,5176833,57.00
20,173,BHEL,EQ,2713293,482243,17.77
20,174,BHUSANSTL,EQ,216776,107554,49.62
20,175,BIGBLOC,EQ,26325,4674,17.75
20,176,BIL,EQ,16039,2389,14.89
20,177,BILENERGY,EQ,4084,4084,100.00
20,178,BILPOWER,EQ,800,800,100.00
20,179,BINANIIND,EQ,24417,14329,58.68
20,180,BINDALAGRO,EQ,44624,35446,79.43
20,181,BIOCON,EQ,495379,110894,22.39
20,182,BIRLACABLE,EQ,8857,7303,82.45
20,183,BIRLACORPN,EQ,47426,32606,68.75
20,184,BIRLAMONEY,EQ,19433,14631,75.29
20,185,BLBLIMITED,EQ,2012,2010,99.90
