Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28032013,411013520,0001551
Trade Date <28-MAR-2013>,Settlement Type <N>,Settlement No <2013062>,Settlement Date <03-APR-2013>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,37770,23312,61.72
20,2,3IINFOTECH,EQ,825849,466746,56.52
20,3,3MINDIA,EQ,8159,8099,99.26
20,4,A2ZMES,EQ,352547,259213,73.53
20,5,AANJANEYA,EQ,986,986,100.00
20,6,AARTIDRUGS,EQ,108,96,88.89
20,7,AARTIIND,EQ,16267,7747,47.62
20,8,AARVEEDEN,EQ,2278,2057,90.30
20,9,ABAN,EQ,140953,40495,28.73
20,10,ABB,EQ,37346,22976,61.52
20,11,ABBOTINDIA,EQ,988,524,53.04
20,12,ABCIL,EQ,2385,1894,79.41
20,13,ABGSHIP,EQ,64495,14502,22.49
20,14,ABIRLANUVO,EQ,170289,89919,52.80
20,15,ACC,EQ,224295,124388,55.46
20,16,ACCELYA,EQ,4992,3759,75.30
20,17,ACE,EQ,161378,110708,68.60
20,18,ACROPETAL,EQ,18407,14978,81.37
20,19,ADANIENT,EQ,1639008,403019,24.59
20,20,ADANIPORTS,EQ,1939645,1020346,52.60
20,21,ADANIPOWER,EQ,1919835,823560,42.90
20,22,ADFFOODS,EQ,1975,1109,56.15
20,23,ADHUNIK,EQ,961537,932673,97.00
20,24,ADORWELD,EQ,2442,1784,73.05
20,25,ADSL,EQ,28777,25815,89.71
20,26,ADVANIHOTR,EQ,505,505,100.00
20,27,ADVANTA,EQ,3160,2919,92.37
20,28,AEGISCHEM,EQ,14274,9858,69.06
20,29,AFL,EQ,9540,5404,56.65
20,30,AFTEK,EQ,232295,166708,71.77
20,31,AGCNET,EQ,2135,1422,66.60
20,32,AGRODUTCH,EQ,10050,9071,90.26
20,33,AHLEAST,EQ,4116,3487,84.72
20,34,AHLUCONT,EQ,4990,4960,99.40
20,35,AHLWEST,EQ,151,74,49.01
20,36,AHMEDFORGE,EQ,2372,2306,97.22
20,37,AIAENG,EQ,6887,6781,98.46
20,38,AIL,EQ,11493,5452,47.44
20,39,AJANTPHARM,EQ,17830,4285,24.03
20,40,AJMERA,EQ,1869,1119,59.87
20,41,AKSHOPTFBR,EQ,36999,24327,65.75
20,42,AKZOINDIA,EQ,9742,8116,83.31
20,43,ALBK,EQ,1161629,405857,34.94
20,44,ALCHEM,EQ,4229,3416,80.78
20,45,ALEMBICLTD,EQ,25539,17762,69.55
20,46,ALICON,EQ,1854,1399,75.46
20,47,ALKALI,EQ,1702,983,57.76
20,48,ALKYLAMINE,EQ,328,325,99.09
20,49,ALLCARGO,EQ,1388,694,50.00
20,50,ALLSEC,EQ,645,643,99.69
20,51,ALMONDZ,EQ,823,821,99.76
20,52,ALOKTEXT,EQ,3410856,1714251,50.26
20,53,ALPA,EQ,1683,1580,93.88
20,54,ALPHAGEO,EQ,1210,702,58.02
20,55,ALPSINDUS,EQ,7427,5523,74.36
20,56,ALSTOMT&D,EQ,7890,5522,69.99
20,57,AMAR,EQ,48743,37404,76.74
20,58,AMARAJABAT,EQ,107457,67435,62.76
20,59,AMARJOTHI,EQ,850,850,100.00
20,60,AMBIKCO,EQ,164,154,93.90
20,61,AMBUJACEM,EQ,5148861,3651011,70.91
