Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28042016,566429787,0001582
Trade Date <28-APR-2016>,Settlement Type <N>,Settlement No <2016078>,Settlement Date <02-MAY-2016>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,17759,10081,56.77
20,2,3IINFOTECH,EQ,848510,439930,51.85
20,3,3MINDIA,EQ,1044,832,79.69
20,4,8KMILES,EQ,63922,19513,30.53
20,5,A2ZINFRA,EQ,202801,110434,54.45
20,6,AARTIDRUGS,EQ,7297,6171,84.57
20,7,AARTIIND,EQ,21258,14054,66.11
20,8,AARVEEDEN,EQ,1390,1044,75.11
20,9,ABAN,EQ,5100577,851639,16.70
20,10,ABB,EQ,56616,19439,34.33
20,11,ABBOTINDIA,EQ,579,317,54.75
20,12,ABFRL,EQ,245237,167018,68.10
20,13,ABGSHIP,EQ,403965,204035,50.51
20,14,ABIRLANUVO,EQ,178210,101426,56.91
20,15,ACC,EQ,805376,186212,23.12
20,16,ACCELYA,EQ,2646,1130,42.71
20,17,ACE,EQ,75952,50209,66.11
20,18,ACROPETAL,EQ,9728,5103,52.46
20,19,ADANIENT,EQ,8585859,5777685,67.29
20,20,ADANIPORTS,EQ,5899252,4191385,71.05
20,21,ADANIPOWER,EQ,15106664,9302311,61.58
20,22,ADANITRANS,EQ,886684,572664,64.58
20,23,ADFFOODS,EQ,357648,118175,33.04
20,24,ADHUNIK,EQ,53413,33860,63.39
20,25,ADI,EQ,6789,5187,76.40
20,26,ADLABS,EQ,46479,20733,44.61
20,27,ADORWELD,EQ,1936,1034,53.41
20,28,ADSL,EQ,90977,54183,59.56
20,29,ADVANIHOTR,EQ,204,204,100.00
20,30,ADVANTA,EQ,13573,7221,53.20
20,31,AEGISCHEM,EQ,659953,272261,41.25
20,32,AFL,EQ,33131,21168,63.89
20,33,AGARIND,EQ,7931,3574,45.06
20,34,AGCNET,EQ,1164,795,68.30
20,35,AGRODUTCH,EQ,1301,1301,100.00
20,36,AHLEAST,EQ,522,280,53.64
20,37,AHLUCONT,EQ,12129,8700,71.73
20,38,AHLWEST,EQ,801,800,99.88
20,39,AIAENG,EQ,27466,15103,54.99
20,40,AIFL,EQ,11833,3180,26.87
20,41,AIL,EQ,33258,31244,93.94
20,42,AJANTPHARM,EQ,183751,68177,37.10
20,43,AJMERA,EQ,294121,91019,30.95
20,44,AKSHOPTFBR,EQ,644337,315258,48.93
20,45,AKZOINDIA,EQ,27310,23634,86.54
20,46,ALANKIT,EQ,417739,78021,18.68
20,47,ALBK,EQ,2184611,355441,16.27
20,48,ALCHEM,EQ,34208,18404,53.80
20,49,ALEMBICLTD,EQ,150270,82248,54.73
20,50,ALICON,EQ,4937,3167,64.15
20,51,ALKALI,EQ,22227,14626,65.80
20,52,ALKEM,EQ,74937,43465,58.00
20,53,ALKYLAMINE,EQ,689,537,77.94
20,54,ALLCARGO,EQ,58702,48414,82.47
20,55,ALLSEC,EQ,78739,54087,68.69
20,56,ALMONDZ,EQ,11594,10736,92.60
20,57,ALOKTEXT,EQ,2216250,681931,30.77
20,58,ALPHAGEO,EQ,13841,7662,55.36
