Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28052015,426917833,0001504
Trade Date <28-MAY-2015>,Settlement Type <N>,Settlement No <2015099>,Settlement Date <01-JUN-2015>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,33695,11519,34.19
20,2,3IINFOTECH,EQ,6963220,4346921,62.43
20,3,3MINDIA,EQ,173,109,63.01
20,4,8KMILES,EQ,8833,4944,55.97
20,5,A2ZINFRA,EQ,298792,212199,71.02
20,6,AARTIDRUGS,EQ,21099,13357,63.31
20,7,AARTIIND,EQ,44668,26744,59.87
20,8,AARVEEDEN,EQ,2319,1638,70.63
20,9,ABAN,EQ,851882,164186,19.27
20,10,ABB,EQ,22475,7518,33.45
20,11,ABBOTINDIA,EQ,6923,3090,44.63
20,12,ABCIL,EQ,9665,4871,50.40
20,13,ABGSHIP,EQ,269112,106999,39.76
20,14,ABIRLANUVO,EQ,221763,122084,55.05
20,15,ACC,EQ,249725,106234,42.54
20,16,ACCELYA,EQ,7115,6667,93.70
20,17,ACE,EQ,94056,53381,56.75
20,18,ACROPETAL,EQ,11939,9780,81.92
20,19,ADANIENT,EQ,5874505,2063852,35.13
20,20,ADANIPORTS,EQ,3394601,1304186,38.42
20,21,ADANIPOWER,EQ,6011485,2963565,49.30
20,22,ADFFOODS,EQ,35199,17854,50.72
20,23,ADHUNIK,EQ,19825,12831,64.72
20,24,ADI,EQ,85,75,88.24
20,25,ADLABS,EQ,201901,104741,51.88
20,26,ADORWELD,EQ,171452,171078,99.78
20,27,ADSL,EQ,49415,29668,60.04
20,28,ADVANIHOTR,EQ,8002,0,0.00
20,29,ADVANTA,EQ,20517,6557,31.96
20,30,AEGISCHEM,EQ,21238,11464,53.98
20,31,AFL,EQ,2504,2208,88.18
20,32,AGARIND,EQ,6055,3923,64.79
20,33,AGCNET,EQ,425064,87236,20.52
20,34,AGRITECH,EQ,280,280,100.00
20,35,AGRODUTCH,EQ,1057,1057,100.00
20,36,AHLEAST,EQ,838,709,84.61
20,37,AHLUCONT,EQ,50366,31623,62.79
20,38,AHLWEST,EQ,38,38,100.00
20,39,AHMEDFORGE,EQ,205221,53313,25.98
20,40,AIAENG,EQ,178735,150419,84.16
20,41,AIL,EQ,13616,10833,79.56
20,42,AJANTPHARM,EQ,100715,46166,45.84
20,43,AJMERA,EQ,539778,151263,28.02
20,44,AKSHOPTFBR,EQ,166450,70002,42.06
20,45,AKZOINDIA,EQ,11304,7388,65.36
20,46,ALBK,EQ,1939816,482333,24.86
20,47,ALCHEM,EQ,10236,6852,66.94
20,48,ALEMBICLTD,EQ,130836,57199,43.72
20,49,ALICON,EQ,8789,5911,67.25
20,50,ALKALI,EQ,1047,1033,98.66
20,51,ALKYLAMINE,EQ,534,400,74.91
20,52,ALLCARGO,EQ,61695,33472,54.25
20,53,ALLSEC,EQ,1125,719,63.91
20,54,ALMONDZ,EQ,24200,21648,89.45
20,55,ALOKTEXT,EQ,3442924,1230449,35.74
20,56,ALPHAGEO,EQ,1273,851,66.85
20,57,ALPSINDUS,EQ,1655,1605,96.98
20,58,ALSTOMT&D,EQ,153479,138924,90.52
20,59,AMARAJABAT,EQ,96636,32881,34.03
20,60,AMBIKCO,EQ,46579,40003,85.88
20,61,AMBUJACEM,EQ,1925339,974741,50.63
20,62,AMDIND,EQ,34392,32484,94.45
