Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28062012,304692697,0001493
Trade Date <28-JUN-2012>,Settlement Type <N>,Settlement No <2012123>,Settlement Date <03-JUL-2012>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,100672,36986,36.74
20,2,3IINFOTECH,EQ,1705020,780364,45.77
20,3,3MINDIA,EQ,88,79,89.77
20,4,A2ZMES,EQ,93151,19736,21.19
20,5,AANJANEYA,EQ,14354,4149,28.90
20,6,AARTIDRUGS,EQ,2682,1764,65.77
20,7,AARTIIND,EQ,19401,16069,82.83
20,8,AARVEEDEN,EQ,28,14,50.00
20,9,ABAN,EQ,2695728,338864,12.57
20,10,ABB,EQ,22747,8466,37.22
20,11,ABBOTINDIA,EQ,411,302,73.48
20,12,ABCIL,EQ,1647,1361,82.64
20,13,ABGSHIP,EQ,1507496,989342,65.63
20,14,ABHISHEK,EQ,197,150,76.14
20,15,ABIRLANUVO,EQ,88666,43862,49.47
20,16,ACC,EQ,388261,192602,49.61
20,17,ACE,EQ,27565,13692,49.67
20,18,ACROPETAL,EQ,238947,128064,53.60
20,19,ADANIENT,EQ,1718591,656754,38.21
20,20,ADANIPORTS,EQ,396097,198810,50.19
20,21,ADANIPOWER,EQ,3939842,1808806,45.91
20,22,ADFFOODS,EQ,8095,6265,77.39
20,23,ADHUNIK,EQ,28079,18587,66.20
20,24,ADORWELD,EQ,4568,2950,64.58
20,25,ADSL,EQ,118644,97104,81.84
20,26,ADVANIHOTR,EQ,10,10,100.00
20,27,ADVANTA,EQ,36250,21196,58.47
20,28,AEGISCHEM,EQ,4033,1357,33.65
20,29,AFL,EQ,32891,14124,42.94
20,30,AFTEK,EQ,227559,134329,59.03
20,31,AGCNET,EQ,3797,3017,79.46
20,32,AGRODUTCH,EQ,9823,7784,79.24
20,33,AHLEAST,EQ,228,143,62.72
20,34,AHLUCONT,EQ,7981,7492,93.87
20,35,AHLWEST,EQ,3480,1411,40.55
20,36,AHMEDFORGE,EQ,4227,2559,60.54
20,37,AIAENG,EQ,326,63,19.33
20,38,AJANTPHARM,EQ,43631,8091,18.54
20,39,AJMERA,EQ,5827,5517,94.68
20,40,AKSHOPTFBR,EQ,105182,94200,89.56
20,41,AKZOINDIA,EQ,6194,5747,92.78
20,42,ALBK,EQ,1195506,504904,42.23
20,43,ALCHEM,EQ,6921,1977,28.57
20,44,ALEMBICLTD,EQ,23686,17860,75.40
20,45,ALICON,EQ,3099,2999,96.77
20,46,ALKALI,EQ,171388,41726,24.35
20,47,ALKYLAMINE,EQ,46,46,100.00
20,48,ALLCARGO,EQ,1883,1377,73.13
20,49,ALMONDZ,EQ,500,500,100.00
20,50,ALOKTEXT,EQ,8636185,5359624,62.06
20,51,ALPA,EQ,4005,1002,25.02
20,52,ALPINEHOU,EQ,1,1,100.00
20,53,ALPSINDUS,EQ,2904,2553,87.91
20,54,ALSTOMT&D,EQ,70803,60069,84.84
20,55,AMAR,EQ,162587,93939,57.78
20,56,AMARAJABAT,EQ,40558,22141,54.59
20,57,AMARJOTHI,EQ,200,200,100.00
20,58,AMBIKCO,EQ,13,5,38.46
20,59,AMBUJACEM,EQ,2867631,1430802,49.89
20,60,AMDIND,EQ,1411,1411,100.00
20,61,AMRUTANJAN,EQ,83289,12391,14.88
20,62,AMTEKAUTO,EQ,381936,225157,58.95
20,63,AMTEKINDIA,EQ,235163,17421,7.41
20,64,ANANTRAJ,EQ,192505,127881,66.43
20,65,ANDHRABANK,EQ,916136,462715,50.51
20,66,ANDHRACEMT,EQ,1591,1316,82.72
20,67,ANDHRSUGAR,EQ,3657,2937,80.31
20,68,ANGIND,EQ,124,124,100.00
20,69,ANIKINDS,EQ,66040,34065,51.58
20,70,ANKURDRUGS,EQ,9707,6990,72.01
20,71,ANSALAPI,EQ,55481,39240,70.73
20,72,ANSALHSG,EQ,460,403,87.61
20,73,ANTGRAPHIC,EQ,16841,15761,93.59
20,74,APARINDS,EQ,2086,1213,58.15
20,75,APCOTEXIND,EQ,1417,892,62.95
20,76,APIL,EQ,141463,50539,35.73
20,77,APLAB,EQ,122,116,95.08
20,78,APLAPOLLO,EQ,455,355,78.02
20,79,APLLTD,EQ,19281,12897,66.89
20,80,APOLLOHOSP,EQ,38418,26879,69.96
20,81,APOLLOTYRE,EQ,1818649,552956,30.40
20,82,APPAPER,EQ,71391,24570,34.42
20,83,APTECHT,EQ,125543,49901,39.75
20,84,AQUA,EQ,291937,278559,95.42
20,85,ARCHIDPLY,EQ,1707,1217,71.29
20,86,ARCHIES,EQ,10749,7518,69.94
20,87,ARIES,EQ,2383,1926,80.82
20,88,AROGRANITE,EQ,62,50,80.65
20,89,ARROWTEX,EQ,681,678,99.56
20,90,ARSHIYA,EQ,44164,23794,53.88
20,91,ARSSINFRA,EQ,1296984,523704,40.38
20,92,ARVIND,EQ,1240212,377799,30.46
20,93,ARVINDREM,EQ,4895,3630,74.16
20,94,ASAHIINDIA,EQ,16310,11075,67.90
20,95,ASAHISONG,EQ,1355,1285,94.83
20,96,ASAL,EQ,479,479,100.00
20,97,ASHAPURMIN,EQ,15142,8317,54.93
20,98,ASHIANA,EQ,2172,1670,76.89
20,99,ASHIMASYN,EQ,6210,4000,64.41
20,100,ASHOKA,EQ,210,158,75.24
20,101,ASHOKLEY,EQ,6505715,3270769,50.28
20,102,ASIANHOTNR,EQ,178,115,64.61
20,103,ASIANPAINT,EQ,82504,40211,48.74
20,104,ASIANTILES,EQ,44,33,75.00
20,105,ASSAMCO,EQ,118495,78581,66.32
20,106,ASTEC,EQ,3178,1528,48.08
20,107,ASTERSILI,EQ,3853,3382,87.78
20,108,ASTRAL,EQ,2674,2169,81.11
20,109,ASTRAMICRO,EQ,32089,23120,72.05
20,110,ASTRAZEN,EQ,2906,1199,41.26
20,111,ATFL,EQ,2413,1099,45.54
20,112,ATLANTA,EQ,60114,15411,25.64
20,113,ATLASCYCLE,EQ,11564,3400,29.40
20,114,ATNINTER,EQ,1931,1931,100.00
20,115,ATUL,EQ,25250,17224,68.21
20,116,AURIONPRO,EQ,43,30,69.77
20,117,AUROPHARMA,EQ,536339,217079,40.47
20,118,AUTOAXLES,EQ,468,412,88.03
20,119,AUTOIND,EQ,13554,8365,61.72
20,120,AUTOLITIND,EQ,679,401,59.06
20,121,AVANTI,EQ,19447,10541,54.20
20,122,AVENTIS,EQ,394,195,49.49
20,123,AVTNPL,EQ,7737,5794,74.89
20,124,AXIS-IT&T,EQ,7934,5354,67.48
20,125,AXISBANK,EQ,5658988,1140639,20.16
20,126,AXISGOLD,EQ,113,57,50.44
20,127,BAGFILMS,EQ,41253,29699,71.99
20,128,BAJAJ-AUTO,EQ,330958,264250,79.84
20,129,BAJAJCORP,EQ,1570,1039,66.18
20,130,BAJAJELEC,EQ,152047,88347,58.11
20,131,BAJAJFINSV,EQ,392228,54067,13.78
20,132,BAJAJHIND,EQ,1056175,356761,33.78
20,133,BAJAJHLDNG,EQ,35830,26172,73.04
20,134,BAJFINANCE,EQ,13074,8609,65.85
20,135,BALAJITELE,EQ,1049249,400062,38.13
20,136,BALAMINES,EQ,3615,3533,97.73
20,137,BALKRISIND,EQ,9492893,9016674,94.98
20,138,BALLARPUR,EQ,142528,119459,83.81
20,139,BALMLAWRIE,EQ,661,491,74.28
20,140,BALPHARMA,EQ,1252,539,43.05
20,141,BALRAMCHIN,EQ,2107044,1349172,64.03
20,142,BANARISUG,EQ,1394,1219,87.45
20,143,BANCOINDIA,EQ,650,445,68.46
20,144,BANG,EQ,678,578,85.25
20,145,BANKBARODA,EQ,559900,350131,62.53
20,146,BANKBEES,EQ,197,148,75.13
20,147,BANKINDIA,EQ,484207,284604,58.78
20,148,BANSWRAS,EQ,55,55,100.00
20,149,BARTRONICS,EQ,188398,65811,34.93
20,150,BASF,EQ,1353,805,59.50
20,151,BASML,EQ,271,260,95.94
20,152,BATAINDIA,EQ,309194,76612,24.78
20,153,BAYERCROP,EQ,5576,4333,77.71
20,154,BBL,EQ,5102,2953,57.88
20,155,BBTC,EQ,2046,828,40.47
20,156,BEARDSELL,EQ,165,165,100.00
20,157,BECREL,EQ,4748,3138,66.09
20,158,BEL,EQ,14545,7862,54.05
20,159,BEML,EQ,152711,58551,38.34
20,160,BEPL,EQ,4332,312,7.20
20,161,BERGEPAINT,EQ,95855,44011,45.91
20,162,BFINVEST,EQ,3211,1400,43.60
20,163,BFUTILITIE,EQ,522528,88840,17.00
20,164,BGLOBAL,EQ,6558,6344,96.74
20,165,BGRENERGY,EQ,486390,101129,20.79
20,166,BHAGWATIHO,EQ,15941,15500,97.23
20,167,BHAGYNAGAR,EQ,2705,2452,90.65
20,168,BHARATFORG,EQ,542540,325904,60.07
20,169,BHARATGEAR,EQ,4657,3673,78.87
20,170,BHARATRAS,EQ,133,69,51.88
20,171,BHARTIARTL,EQ,2369225,1691955,71.41
20,172,BHARTISHIP,EQ,106928,30588,28.61
20,173,BHEL,EQ,7875136,4549008,57.76
20,174,BHUSANSTL,EQ,113471,26477,23.33
20,175,BIL,EQ,19805,18366,92.73
20,176,BILENERGY,EQ,1380,1158,83.91
20,177,BILPOWER,EQ,39656,13393,33.77
20,178,BIMETAL,EQ,189,175,92.59
20,179,BINANIIND,EQ,5672,3271,57.67
20,180,BINDALAGRO,EQ,86432,55075,63.72
20,181,BIOCON,EQ,930390,555759,59.73
20,182,BIRLACORPN,EQ,3409,2843,83.40
20,183,BIRLACOT,EQ,1533163,1258748,82.10
20,184,BIRLAERIC,EQ,17666,15756,89.19
20,185,BIRLAMONEY,EQ,1631,1200,73.57
20,186,BIRLAPOWER,EQ,502539,372195,74.06
20,187,BLBLIMITED,EQ,2,2,100.00
20,188,BLISSGVS,EQ,9059,4891,53.99
20,189,BLKASHYAP,EQ,81972,49886,60.86
20,190,BLUECHIP,EQ,7330,6951,94.83
20,191,BLUEDART,EQ,897,688,76.70
20,192,BLUESTARCO,EQ,5578,4072,73.00
20,193,BLUESTINFO,EQ,1866,1231,65.97
20,194,BOC,EQ,6493,2502,38.53
20,195,BOMDYEING,EQ,512564,49861,9.73
20,196,BOSCHLTD,EQ,9649,5109,52.95
20,197,BPCL,EQ,572584,258871,45.21
20,198,BPL,EQ,303404,103471,34.10
20,199,BRANDHOUSE,EQ,644652,264588,41.04
20,200,BRFL,EQ,636863,577186,90.63
20,201,BRIGADE,EQ,942878,111182,11.79
20,202,BRITANNIA,EQ,11616,7745,66.68
20,203,BRITANNIA,N1,150,150,100.00
20,204,BROADCAST,EQ,1025,750,73.17
20,205,BROOKS,EQ,14977,9802,65.45
20,206,BSELINFRA,EQ,7211,5131,71.16
20,207,BSL,EQ,1431,1305,91.19
20,208,BSLGOLDETF,EQ,14,14,100.00
20,209,BSLNIFTY,EQ,56,56,100.00
20,210,BSTRANSCOM,EQ,17508,6839,39.06
20,211,BURNPUR,EQ,9999,6395,63.96
20,212,BVCL,EQ,2665,1554,58.31
20,213,CADILAHC,EQ,16161,12020,74.38
20,214,CAIRN,EQ,1125872,696109,61.83
20,215,CALSOFT,EQ,41,41,100.00
20,216,CANBK,EQ,558564,363719,65.12
20,217,CANDC,EQ,11660,6400,54.89
20,218,CANFINHOME,EQ,6251,4029,64.45
20,219,CANTABIL,EQ,55797,31593,56.62
20,220,CARBORUNIV,EQ,16359,13567,82.93
20,221,CAREERP,EQ,2685,1285,47.86
20,222,CASTROL,EQ,59196,45045,76.09
20,223,CCCL,EQ,33914,32214,94.99
20,224,CCL,EQ,5947,3713,62.43
20,225,CEATLTD,EQ,300677,55499,18.46
20,226,CEBBCO,EQ,220964,87030,39.39
20,227,CELEBRITY,EQ,739,736,99.59
20,228,CENTENKA,EQ,3164,1415,44.72
20,229,CENTEXT,EQ,2201,1311,59.56
20,230,CENTRALBK,EQ,548210,272092,49.63
20,231,CENTUM,EQ,1885,1483,78.67
20,232,CENTURYPLY,EQ,494,395,79.96
20,233,CENTURYTEX,EQ,1044321,215913,20.67
20,234,CERA,EQ,3538,2324,65.69
20,235,CESC,EQ,167346,98804,59.04
20,236,CHAMBLFERT,EQ,1508375,654030,43.36
20,237,CHEMFALKAL,EQ,966,625,64.70
20,238,CHENNPETRO,EQ,20821,14944,71.77
20,239,CHESLINTEX,EQ,650,650,100.00
20,240,CHETTINAD,EQ,1061,715,67.39
20,241,CHOLAFIN,EQ,1111,1058,95.23
20,242,CHROMATIC,EQ,49332,24100,48.85
20,243,CILNOVA,EQ,1900,1900,100.00
20,244,CIMMCO,EQ,116,101,87.07
20,245,CINEPRO,EQ,145357,41918,28.84
20,246,CIPLA,EQ,1037836,729299,70.27
20,247,CLASSIC,EQ,7092,4212,59.39
20,248,CLNINDIA,EQ,3901,3044,78.03
20,249,CMAHENDRA,EQ,5227,3523,67.40
20,250,CMC,EQ,2147,1703,79.32
20,251,COALINDIA,EQ,1551058,786854,50.73
20,252,COLPAL,EQ,111711,84620,75.75
20,253,COMPUSOFT,EQ,62197,56844,91.39
20,254,CONCOR,EQ,9343,7862,84.15
20,255,CONSOFINVT,EQ,532,532,100.00
20,256,CORDSCABLE,EQ,4119,3268,79.34
20,257,COREEDUTEC,EQ,478929,348806,72.83
20,258,COROMANDEL,EQ,17717,12628,71.28
20,259,CORPBANK,EQ,28193,16246,57.62
20,260,COSMOFILMS,EQ,103302,40705,39.40
20,261,COX&KINGS,EQ,92248,32628,35.37
20,262,CREATIVEYE,EQ,5645,2196,38.90
20,263,CRESTANI,EQ,20268,8690,42.88
20,264,CREWBOS,EQ,51072,15030,29.43
20,265,CRISIL,EQ,2168,1367,63.05
20,266,CROMPGREAV,EQ,725717,222714,30.69
20,267,CTE,EQ,657,221,33.64
20,268,CUB,EQ,2439297,2287994,93.80
20,269,CUBEXTUB,EQ,136,130,95.59
20,270,CUMMINSIND,EQ,124027,72883,58.76
20,271,CURATECH,EQ,2135,1577,73.86
20,272,CYBERMEDIA,EQ,199,192,96.48
20,273,CYBERTECH,EQ,18487,10620,57.45
20,274,DAAWAT,EQ,45787,30705,67.06
20,275,DABUR,EQ,650015,510265,78.50
20,276,DALMIABEL,EQ,2240,2215,98.88
20,277,DALMIASUG,EQ,7624,7621,99.96
20,278,DATAMATICS,EQ,1437,1429,99.44
20,279,DBCORP,EQ,6609,5518,83.49
20,280,DBSTOCKBRO,EQ,72498,0,0.00
20,281,DCB,EQ,1748440,781920,44.72
20,282,DCHL,EQ,278958,135839,48.70
20,283,DCM,EQ,40968,19595,47.83
20,284,DCMSRMCONS,EQ,6807,5350,78.60
20,285,DCW,EQ,222449,149687,67.29
20,286,DECCANCE,EQ,141,100,70.92
20,287,DECOLIGHT,EQ,4626,3599,77.80
20,288,DEEPAKFERT,EQ,15249,10133,66.45
20,289,DEEPAKNTR,EQ,50,50,100.00
20,290,DEEPIND,EQ,3103,2211,71.25
20,291,DELTACORP,EQ,2593602,632177,24.37
20,292,DEN,EQ,91992,56896,61.85
20,293,DENABANK,EQ,4458740,2281435,51.17
20,294,DENORA,EQ,879,554,63.03
20,295,DENSO,EQ,219,219,100.00
20,296,DHAMPURSUG,EQ,87726,42630,48.59
20,297,DHANBANK,EQ,205845,98492,47.85
20,298,DHANUKA,EQ,3259,2834,86.96
20,299,DHARSUGAR,EQ,13000,8916,68.58
20,300,DHFL,EQ,210495,162579,77.24
20,301,DIAPOWER,EQ,10366,9005,86.87
20,302,DICIND,EQ,1168,117,10.02
20,303,DIGJAM,EQ,16510,12163,73.67
20,304,DISHMAN,EQ,449789,150919,33.55
20,305,DISHTV,EQ,3110110,1548185,49.78
20,306,DIVISLAB,EQ,223480,101153,45.26
20,307,DLF,EQ,3836135,1179395,30.74
20,308,DLINKINDIA,EQ,12491,8787,70.35
20,309,DOLPHINOFF,EQ,2715,1321,48.66
20,310,DONEAR,EQ,598,598,100.00
20,311,DPSCLTD,EQ,10500,10000,95.24
20,312,DPTL,EQ,1350,1348,99.85
20,313,DQE,EQ,54813,33994,62.02
20,314,DREDGECORP,EQ,52764,9663,18.31
20,315,DRREDDY,EQ,330655,234095,70.80
20,316,DRREDDY,N1,133211,133210,100.00
20,317,DSKULKARNI,EQ,8029,4401,54.81
20,318,DSSL,EQ,7,7,100.00
20,319,DUNCANSIND,EQ,62694,56765,90.54
20,320,DWARKESH,EQ,2555,2029,79.41
20,321,DYNAMATECH,EQ,122,100,81.97
20,322,EASTSILK,EQ,16395,12430,75.82
20,323,EASUNREYRL,EQ,17675,16244,91.90
20,324,ECEIND,EQ,769,731,95.06
20,325,ECLERX,EQ,128068,120934,94.43
20,326,EDELWEISS,EQ,139859,71632,51.22
20,327,EDL,EQ,218776,52249,23.88
20,328,EDUCOMP,EQ,5157018,731725,14.19
20,329,EICHERMOT,EQ,2349,1532,65.22
20,330,EIDPARRY,EQ,16935,10624,62.73
20,331,EIHAHOTELS,EQ,445,350,78.65
20,332,EIHOTEL,EQ,15887,9248,58.21
20,333,EIMCOELECO,EQ,85,85,100.00
20,334,EKC,EQ,114034,40731,35.72
20,335,ELDERPHARM,EQ,24435,9808,40.14
20,336,ELECON,EQ,1737644,1637459,94.23
20,337,ELECTCAST,EQ,115460,83952,72.71
20,338,ELFORGE,EQ,402,400,99.50
20,339,ELGIEQUIP,EQ,11588,10479,90.43
