Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28122017,965689198,0001605
Trade Date <28-DEC-2017>,Settlement Type <N>,Settlement No <2017247>,Settlement Date <01-JAN-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,190557,98896,51.90
20,2,3IINFOTECH,EQ,23731406,12804756,53.96
20,3,3MINDIA,EQ,5225,1881,36.00
20,4,5PAISA,EQ,83353,36967,44.35
20,5,63MOONS,EQ,1093203,304968,27.90
20,6,8KMILES,EQ,116372,30486,26.20
20,7,A2ZINFRA,EQ,1214897,484831,39.91
20,8,AARTIDRUGS,EQ,16544,9045,54.67
20,9,AARTIIND,EQ,75455,53200,70.51
20,10,AARVEEDEN,EQ,62524,37992,60.76
20,11,ABAN,EQ,1367345,251200,18.37
20,12,ABB,EQ,95923,51098,53.27
20,13,ABBOTINDIA,EQ,1498,1193,79.64
20,14,ABCAPITAL,EQ,2067830,1184913,57.30
20,15,ABFRL,EQ,1036759,892274,86.06
20,16,ACC,EQ,542581,283375,52.23
20,17,ACCELYA,EQ,901,748,83.02
20,18,ACE,EQ,412044,198471,48.17
20,19,ADANIENT,EQ,3753225,715190,19.06
20,20,ADANIPORTS,EQ,4180605,2341918,56.02
20,21,ADANIPOWER,EQ,19253735,7217975,37.49
20,22,ADANITRANS,EQ,1305203,568638,43.57
20,23,ADFFOODS,EQ,313448,140446,44.81
20,24,ADHUNIK,EQ,589738,403060,68.35
20,25,ADORWELD,EQ,28735,11133,38.74
20,26,ADVANIHOTR,EQ,26643,20280,76.12
20,27,ADVENZYMES,EQ,71831,46869,65.25
20,28,AEGISCHEM,EQ,222534,139476,62.68
20,29,AGLSL,EQ,3234,2641,81.66
20,30,AGRITECH,EQ,12156,7867,64.72
20,31,AGROPHOS,SM,78000,24000,30.77
20,32,AHLEAST,EQ,4093,431,10.53
20,33,AHLUCONT,EQ,26568,15076,56.74
20,34,AIAENG,EQ,62512,54954,87.91
20,35,AIFL,EQ,156425,105317,67.33
20,36,AIRAN,SM,3000,3000,100.00
20,37,AIROLAM,SM,33000,24000,72.73
20,38,AISL,SM,19200,16800,87.50
20,39,AJANTPHARM,EQ,268683,83509,31.08
20,40,AJMERA,EQ,172251,56696,32.91
20,41,AKSHARCHEM,EQ,53867,36453,67.67
20,42,AKZOINDIA,EQ,12189,5500,45.12
20,43,ALANKIT,EQ,414666,293519,70.78
20,44,ALBERTDAVD,EQ,5222,4232,81.04
20,45,ALBK,EQ,1942404,621852,32.01
20,46,ALEMBICLTD,EQ,9756440,2827681,28.98
20,47,ALICON,EQ,157725,55658,35.29
20,48,ALKALI,EQ,11522,9306,80.77
20,49,ALKEM,EQ,96591,69695,72.15
20,50,ALKYLAMINE,EQ,5764,3646,63.25
20,51,ALLCARGO,EQ,729962,372773,51.07
20,52,ALLSEC,EQ,11198,5901,52.70
20,53,ALPA,EQ,93266,59565,63.87
20,54,ALPHAGEO,EQ,9237,5484,59.37
20,55,AMARAJABAT,EQ,576304,183246,31.80
20,56,AMBIKCO,EQ,1301,975,74.94
20,57,AMBUJACEM,EQ,1463113,594832,40.66
20,58,AMDIND,EQ,37014,19504,52.69
20,59,AMRUTANJAN,EQ,50045,19435,38.84
20,60,ANANTRAJ,EQ,3690986,1010512,27.38
20,61,ANDHRABANK,EQ,3120082,1555168,49.84
20,62,ANDHRACEMT,EQ,1061899,806318,75.93
20,63,ANDHRSUGAR,EQ,40380,25000,61.91
20,64,ANGIND,EQ,19875,19875,100.00
20,65,ANIKINDS,EQ,24165,16021,66.30
20,66,ANSALAPI,EQ,255721,147399,57.64
20,67,ANSALHSG,EQ,172650,96838,56.09
20,68,APARINDS,EQ,13089,8026,61.32
20,69,APCL,EQ,6363,3361,52.82
20,70,APCOTEXIND,EQ,2354,1912,81.22
20,71,APEX,EQ,677317,201461,29.74
20,72,APLAPOLLO,EQ,8541,6576,76.99
20,73,APLLTD,EQ,27857,12267,44.04
20,74,APOLLOHOSP,EQ,706961,234524,33.17
20,75,APOLLOTYRE,EQ,2972180,858041,28.87
20,76,APOLSINHOT,EQ,4418,2164,48.98
20,77,APTECHT,EQ,332095,59585,17.94
20,78,ARCHIDPLY,EQ,135651,95644,70.51
20,79,ARCHIES,EQ,410837,196910,47.93
20,80,ARCOTECH,EQ,1233860,578282,46.87
20,81,ARIHANTSUP,EQ,103766,36843,35.51
20,82,AROGRANITE,EQ,186709,78248,41.91
20,83,ARROWGREEN,EQ,21242,13472,63.42
20,84,ARROWTEX,EQ,39949,29100,72.84
20,85,ARSHIYA,EQ,132555,66699,50.32
20,86,ARVIND,EQ,1625911,250153,15.39
20,87,ARVSMART,EQ,777881,289772,37.25
20,88,ASAHIINDIA,EQ,11530,6135,53.21
20,89,ASAHISONG,EQ,10032,6419,63.99
20,90,ASAL,EQ,211232,125042,59.20
20,91,ASHAPURMIN,EQ,480052,195305,40.68
20,92,ASHIANA,EQ,729163,310229,42.55
20,93,ASHIMASYN,EQ,179312,110198,61.46
20,94,ASHOKA,EQ,158873,76313,48.03
20,95,ASHOKLEY,EQ,5166001,1492567,28.89
20,96,ASIANHOTNR,EQ,16877,6993,41.44
20,97,ASIANPAINT,EQ,536350,357992,66.75
20,98,ASIANTILES,EQ,402944,169071,41.96
20,99,ASPINWALL,EQ,28085,14283,50.86
20,100,ASTEC,EQ,8787,5713,65.02
20,101,ASTRAL,EQ,11561,8963,77.53
20,102,ASTRAMICRO,EQ,107439,61555,57.29
20,103,ASTRAZEN,EQ,6629,4199,63.34
20,104,ATFL,EQ,13206,4801,36.35
20,105,ATLANTA,EQ,666671,262423,39.36
20,106,ATUL,EQ,78261,75274,96.18
20,107,ATULAUTO,EQ,16086,10574,65.73
20,108,AUBANK,EQ,82217,35279,42.91
20,109,AURDIS,SM,10000,6000,60.00
20,110,AURIONPRO,EQ,867508,240692,27.75
20,111,AUROPHARMA,EQ,2928626,688930,23.52
20,112,AUSOMENT,EQ,21249,11992,56.44
20,113,AUTOAXLES,EQ,18343,5465,29.79
20,114,AUTOLITIND,EQ,13174,10232,77.67
20,115,AVADHSUGAR,EQ,79108,57306,72.44
20,116,AVANTIFEED,EQ,48882,28400,58.10
20,117,AVTNPL,EQ,657573,293638,44.65
20,118,AXISBANK,EQ,8433564,4454410,52.82
20,119,AXISCADES,EQ,313139,96445,30.80
20,120,AXISGOLD,EQ,99,98,98.99
20,121,AXISNIFTY,EQ,249,246,98.80
20,122,AYMSYNTEX,EQ,18588,11664,62.75
20,123,BAFNAPHARM,EQ,97224,67668,69.60
20,124,BAJAJ-AUTO,EQ,251949,104909,41.64
20,125,BAJAJCORP,EQ,16397,8995,54.86
20,126,BAJAJELEC,EQ,842554,214659,25.48
20,127,BAJAJFINSV,EQ,137276,48069,35.02
20,128,BAJAJHIND,EQ,1822990,1177007,64.56
20,129,BAJAJHLDNG,EQ,14606,7761,53.14
20,130,BAJFINANCE,EQ,886376,522092,58.90
20,131,BALAJITELE,EQ,170024,72150,42.44
20,132,BALAMINES,EQ,34404,15933,46.31
20,133,BALKRISHNA,EQ,1557272,346061,22.22
20,134,BALKRISIND,EQ,885389,367438,41.50
20,135,BALLARPUR,EQ,10147530,4688785,46.21
20,136,BALMLAWRIE,EQ,273908,121662,44.42
