Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29092011,292826651,0001480
Trade Date <29-SEP-2011>,Settlement Type <N>,Settlement No <2011186>,Settlement Date <04-OCT-2011>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,109070,22903,21.00
20,2,3IINFOTECH,EQ,601989,248182,41.23
20,3,3MINDIA,EQ,71,61,85.92
20,4,A2ZMES,EQ,67738,8366,12.35
20,5,AANJANEYA,EQ,100774,27676,27.46
20,6,AARTIDRUGS,EQ,1961,1838,93.73
20,7,AARTIIND,EQ,171961,132455,77.03
20,8,AARVEEDEN,EQ,742,619,83.42
20,9,ABAN,EQ,556217,63135,11.35
20,10,ABB,EQ,137684,64073,46.54
20,11,ABBOTINDIA,EQ,1642,1365,83.13
20,12,ABCIL,EQ,1698,1027,60.48
20,13,ABGSHIP,EQ,403050,134214,33.30
20,14,ABHISHEK,EQ,412,390,94.66
20,15,ABIRLANUVO,EQ,153656,111989,72.88
20,16,ACC,EQ,439666,272406,61.96
20,17,ACE,EQ,230161,128855,55.98
20,18,ACKRUTI,EQ,2052,1291,62.91
20,19,ACROPETAL,EQ,85310,57464,67.36
20,20,ADANIENT,EQ,533096,330818,62.06
20,21,ADANIPOWER,EQ,1169103,649167,55.53
20,22,ADFFOODS,EQ,2449,1542,62.96
20,23,ADHUNIK,EQ,99004,53238,53.77
20,24,ADORWELD,EQ,4666,3472,74.41
20,25,ADSL,EQ,93861,57151,60.89
20,26,ADVANIHOTR,EQ,751,651,86.68
20,27,ADVANTA,EQ,39027,21216,54.36
20,28,AEGISCHEM,EQ,9074,6259,68.98
20,29,AFL,EQ,3814,1100,28.84
20,30,AFTEK,EQ,107864,35736,33.13
20,31,AGCNET,EQ,8306,5705,68.69
20,32,AGRE,EQ,6958,6288,90.37
20,33,AGRODUTCH,EQ,14817,13301,89.77
20,34,AHLEAST,EQ,1243,710,57.12
20,35,AHLUCONT,EQ,538,395,73.42
20,36,AHLWEST,EQ,2171,1693,77.98
20,37,AHMEDFORGE,EQ,3449,2212,64.13
20,38,AIAENG,EQ,428,330,77.10
20,39,AJANTPHARM,EQ,5494,2025,36.86
20,40,AJMERA,EQ,5298,1904,35.94
20,41,AKSHOPTFBR,EQ,50520,38450,76.11
20,42,AKZOINDIA,EQ,5803,4850,83.58
20,43,ALBK,EQ,522196,231213,44.28
