Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30032017,1186404929,0001623
rade Date <30-MAR-2017>,Settlement Type <N>,Settlement No <2017061>,Settlement Date <03-APR-2017>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,24653,17008,68.99
20,2,3IINFOTECH,EQ,970600,498882,51.40
20,3,3MINDIA,EQ,1779,1634,91.85
20,4,63MOONS,EQ,72515,30624,42.23
20,5,8KMILES,EQ,48896,18942,38.74
20,6,A2ZINFRA,EQ,861278,352752,40.96
20,7,AARTIDRUGS,EQ,5333,1833,34.37
20,8,AARTIIND,BL,100000,100000,100.00
20,9,AARTIIND,EQ,296249,287016,96.88
20,10,AARVEEDEN,EQ,9022,8234,91.27
20,11,ABAN,EQ,602507,162625,26.99
20,12,ABB,EQ,270587,114264,42.23
20,13,ABBOTINDIA,EQ,14940,11723,78.47
20,14,ABFRL,EQ,551754,441070,79.94
20,15,ABIRLANUVO,EQ,568845,352538,61.97
20,16,ACC,EQ,405551,219116,54.03
20,17,ACCELYA,EQ,4162,2606,62.61
20,18,ACE,EQ,564180,249876,44.29
20,19,ADANIENT,EQ,7405888,3913307,52.84
20,20,ADANIPORTS,EQ,9728166,3532683,36.31
20,21,ADANIPOWER,EQ,14718463,7293659,49.55
20,22,ADANITRANS,EQ,610629,399707,65.46
20,23,ADFFOODS,EQ,163894,54646,33.34
20,24,ADHUNIK,EQ,67239,50161,74.60
20,25,ADHUNIKIND,EQ,27623,1074,3.89
20,26,ADLABS,EQ,403245,105814,26.24
20,27,ADORWELD,EQ,5195,3234,62.25
20,28,ADVANIHOTR,EQ,4946,3662,74.04
20,29,ADVENZYMES,EQ,94992,24092,25.36
20,30,AEGISCHEM,EQ,391293,268954,68.73
20,31,AFL,EQ,21030,16366,77.82
20,32,AGCNET,EQ,1641,1070,65.20
20,33,AGRITECH,EQ,6299,4833,76.73
20,34,AGROPHOS,SM,48000,42000,87.50
20,35,AHLEAST,EQ,3577,3164,88.45
20,36,AHLUCONT,EQ,70558,63717,90.30
20,37,AHLWEST,EQ,3246,3016,92.91
20,38,AIAENG,EQ,77877,45094,57.90
20,39,AIFL,EQ,120196,62087,51.65
20,40,AIRAN,SM,591000,333000,56.35
20,41,AJANTPHARM,EQ,179186,81152,45.29
20,42,AJMERA,EQ,226136,60685,26.84
20,43,AKASH,SM,3000,3000,100.00
20,44,AKSHARCHEM,EQ,9465,6697,70.76
20,45,AKSHOPTFBR,EQ,1535649,810297,52.77
20,46,AKZOINDIA,EQ,64195,39238,61.12
20,47,ALANKIT,EQ,353467,194863,55.13
20,48,ALBERTDAVD,EQ,4767,3848,80.72
20,49,ALBK,EQ,2402168,572595,23.84
20,50,ALCHEM,EQ,61434,43550,70.89
20,51,ALEMBICLTD,EQ,875609,548054,62.59
20,52,ALICON,EQ,4062,2981,73.39
20,53,ALKALI,EQ,16508,7772,47.08
20,54,ALKEM,EQ,53826,19108,35.50
20,55,ALKYLAMINE,EQ,50238,31348,62.40
20,56,ALLCARGO,EQ,565091,336294,59.51
20,57,ALLSEC,EQ,12909,9625,74.56
20,58,ALMONDZ,EQ,6303,5496,87.20
20,59,ALOKTEXT,EQ,1504336,1181910,78.57
20,60,ALPHAGEO,EQ,19810,14241,71.89
20,61,ALPSINDUS,EQ,107347,97858,91.16
20,62,AMARAJABAT,EQ,351284,221766,63.13
20,63,AMBIKCO,EQ,7551,5123,67.85
20,64,AMBUJACEM,EQ,3539094,2666688,75.35
20,65,AMDIND,EQ,35556,24090,67.75
20,66,AMRUTANJAN,EQ,14853,8507,57.27
20,67,AMTEKAUTO,EQ,1145452,479556,41.87
20,68,AMTL,EQ,3229,2489,77.08
20,69,ANANDAMRUB,EQ,1440,1440,100.00
20,70,ANANTRAJ,EQ,1025712,488897,47.66
20,71,ANDHRABANK,EQ,26949393,6274096,23.28
20,72,ANDHRSUGAR,EQ,52194,26620,51.00
20,73,ANGIND,EQ,35899,31027,86.43
20,74,ANKITMETAL,EQ,172182,131152,76.17
20,75,ANSALAPI,EQ,181821,111687,61.43
20,76,ANSALHSG,EQ,32432,24829,76.56
20,77,APARINDS,BL,1700000,1700000,100.00
20,78,APARINDS,EQ,303748,221644,72.97
20,79,APCOTEXIND,EQ,5584,3442,61.64
20,80,APLAPOLLO,EQ,29948,20332,67.89
20,81,APLLTD,EQ,79925,38179,47.77
20,82,APOLLOHOSP,EQ,709342,502069,70.78
20,83,APOLLOTYRE,EQ,2759080,764292,27.70
20,84,APTECHT,EQ,557571,169060,30.32
20,85,ARCHIDPLY,EQ,63760,42957,67.37
20,86,ARCHIES,EQ,137129,72600,52.94
20,87,ARCOTECH,EQ,251216,95196,37.89
20,88,ARIES,EQ,43352,23610,54.46
20,89,ARIHANTSUP,EQ,878640,538650,61.30
20,90,ARMANFIN,EQ,21998,13994,63.61
20,91,AROGRANITE,EQ,42220,31612,74.87
20,92,ARROWGREEN,EQ,8638,5462,63.23
20,93,ARROWTEX,EQ,29007,21849,75.32
20,94,ARSSINFRA,EQ,309612,96149,31.05
20,95,ARVIND,EQ,943103,375450,39.81
20,96,ARVSMART,EQ,49135,35715,72.69
20,97,ASAHIINDIA,BL,1600000,1600000,100.00
20,98,ASAHIINDIA,EQ,181276,179665,99.11
20,99,ASAHISONG,EQ,61334,21498,35.05
20,100,ASAL,EQ,21255,13928,65.53
20,101,ASHAPURMIN,EQ,52702,44170,83.81
20,102,ASHIANA,EQ,49354,30326,61.45
20,103,ASHIMASYN,EQ,95621,71875,75.17
20,104,ASHOKA,EQ,124957,112481,90.02
20,105,ASHOKLEY,EQ,18429464,9837429,53.38
20,106,ASIANHOTNR,EQ,909,719,79.10
20,107,ASIANPAINT,EQ,1171200,823922,70.35
20,108,ASIANTILES,EQ,164435,99067,60.25
20,109,ASSAMCO,EQ,373753,225265,60.27
20,110,ASTEC,EQ,16767,8599,51.29
20,111,ASTRAL,EQ,75288,32115,42.66
20,112,ASTRAMICRO,EQ,268571,146144,54.42
20,113,ASTRAZEN,EQ,10312,8072,78.28
20,114,ATFL,EQ,7165,5533,77.22
20,115,ATLANTA,EQ,67051,36603,54.59
20,116,ATUL,EQ,28735,17889,62.26
20,117,ATULAUTO,EQ,124484,65416,52.55
20,118,AURIONPRO,EQ,103830,24702,23.79
20,119,AUROPHARMA,EQ,4173662,2789600,66.84
20,120,AUSOMENT,EQ,4093,3793,92.67
20,121,AUSTRAL,EQ,52300,52300,100.00
20,122,AUTOAXLES,EQ,24082,16892,70.14
20,123,AUTOIND,EQ,43145,22081,51.18
20,124,AUTOLITIND,EQ,9847,5845,59.36
20,125,AVANTIFEED,EQ,12659,7686,60.72
20,126,AVTNPL,EQ,111935,67734,60.51
20,127,AXISBANK,EQ,8454772,4074523,48.19
20,128,AXISCADES,EQ,131276,70886,54.00
20,129,AXISGOLD,EQ,18,11,61.11
20,130,AYMSYNTEX,EQ,35333,25625,72.52
20,131,BAFNAPHARM,EQ,22469,16763,74.61
20,132,BAGFILMS,EQ,121621,99484,81.80
20,133,BAJAJ-AUTO,EQ,369748,210132,56.83
20,134,BAJAJCORP,EQ,121651,77639,63.82
20,135,BAJAJELEC,EQ,556310,224385,40.33
20,136,BAJAJFINSV,EQ,79777,42115,52.79
20,137,BAJAJHIND,EQ,3516405,1654883,47.06
20,138,BAJAJHLDNG,EQ,102065,90518,88.69
20,139,BAJFINANCE,EQ,657966,323705,49.20
20,140,BALAJITELE,EQ,207624,120466,58.02
20,141,BALAMINES,EQ,19340,10578,54.69
20,142,BALKRISHNA,EQ,92709,40224,43.39
20,143,BALKRISIND,EQ,109828,66203,60.28
20,144,BALLARPUR,EQ,1596966,709672,44.44
20,145,BALMLAWRIE,EQ,83945,45057,53.67
20,146,BALPHARMA,EQ,11651,8585,73.68
20,147,BALRAMCHIN,EQ,474848,224702,47.32
20,148,BANARISUG,EQ,13290,13033,98.07
20,149,BANCOINDIA,EQ,153752,77706,50.54
20,150,BANKBARODA,EQ,19317655,13516448,69.97
20,151,BANKBEES,EQ,25529,24603,96.37
20,152,BANKINDIA,EQ,7554582,2782796,36.84
20,153,BANSWRAS,EQ,6958,5929,85.21
20,154,BARTRONICS,EQ,87580,62878,71.79
