Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30102015,376677146,0001537
Trade Date <30-OCT-2015>,Settlement Type <N>,Settlement No <2015206>,Settlement Date <03-NOV-2015>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,706206,197861,28.02
20,2,3IINFOTECH,EQ,1598589,740235,46.31
20,3,3MINDIA,EQ,1674,848,50.66
20,4,8KMILES,EQ,198013,35455,17.91
20,5,A2ZINFRA,EQ,139316,77854,55.88
20,6,AARTIDRUGS,EQ,9120,5606,61.47
20,7,AARTIIND,EQ,19430,9500,48.89
20,8,AARVEEDEN,EQ,10378,6856,66.06
20,9,ABAN,EQ,1060373,485036,45.74
20,10,ABB,EQ,14972,4904,32.75
20,11,ABBOTINDIA,EQ,3295,1755,53.26
20,12,ABCIL,EQ,16957,12811,75.55
20,13,ABGSHIP,EQ,94026,57887,61.56
20,14,ABIRLANUVO,EQ,137243,78037,56.86
20,15,ACC,EQ,256703,160398,62.48
20,16,ACCELYA,EQ,2254,2012,89.26
20,17,ACE,EQ,142608,70152,49.19
20,18,ACROPETAL,EQ,19209,14073,73.26
20,19,ADANIENT,EQ,4393195,741824,16.89
20,20,ADANIPORTS,EQ,3247944,1892279,58.26
20,21,ADANIPOWER,EQ,11209672,2320212,20.70
20,22,ADANITRANS,EQ,2251527,1101299,48.91
20,23,ADFFOODS,EQ,529054,146751,27.74
20,24,ADHUNIK,EQ,26244,21775,82.97
20,25,ADI,EQ,2224,1804,81.12
20,26,ADLABS,EQ,70057,39015,55.69
20,27,ADORWELD,EQ,10751,6397,59.50
20,28,ADSL,EQ,193765,88736,45.80
20,29,ADVANIHOTR,EQ,9,6,66.67
20,30,ADVANTA,EQ,23181,11853,51.13
20,31,AEGISCHEM,EQ,1078157,621392,57.63
20,32,AFL,EQ,13131,10973,83.57
20,33,AGARIND,EQ,39444,14763,37.43
20,34,AGCNET,EQ,3547,2616,73.75
20,35,AGRODUTCH,EQ,1605,823,51.28
20,36,AHIMSA,SM,6000,6000,100.00
20,37,AHLEAST,EQ,1659,1327,79.99
20,38,AHLUCONT,EQ,8793,7454,84.77
20,39,AHLWEST,EQ,600,100,16.67
20,40,AIAENG,EQ,18221,11420,62.67
20,41,AIL,EQ,25092,22471,89.55
20,42,AJANTPHARM,EQ,645200,75784,11.75
20,43,AJMERA,EQ,93851,59123,63.00
20,44,AKSHOPTFBR,EQ,864835,381193,44.08
20,45,AKZOINDIA,EQ,4008,2545,63.50
20,46,ALANKIT,EQ,537092,115055,21.42
20,47,ALBK,EQ,2121005,914622,43.12
20,48,ALCHEM,EQ,2040,1847,90.54
20,49,ALEMBICLTD,EQ,325620,157957,48.51
20,50,ALICON,EQ,1438,844,58.69
20,51,ALKALI,EQ,4947,2402,48.55
20,52,ALKYLAMINE,EQ,1325,1251,94.42
20,53,ALLCARGO,EQ,75376,42962,57.00
20,54,ALLSEC,EQ,6480,4872,75.19
20,55,ALMONDZ,EQ,2521,10,0.40
20,56,ALOKTEXT,EQ,2271233,1047969,46.14
20,57,ALPHAGEO,EQ,6056,4793,79.14
20,58,ALPSINDUS,EQ,32200,28900,89.75
20,59,ALSTOMT&D,EQ,113261,63490,56.06
20,60,AMARAJABAT,EQ,451680,182638,40.44
20,61,AMBIKCO,EQ,4611,2989,64.82
20,62,AMBUJACEM,EQ,2865884,2165325,75.56
20,63,AMDIND,EQ,15891,12719,80.04
20,64,AMRUTANJAN,EQ,5356,2121,39.60
20,65,AMTEKAUTO,EQ,3847701,1614951,41.97
20,66,AMTL,EQ,87292,73891,84.65
20,67,ANANTRAJ,EQ,417201,262377,62.89
20,68,ANDHRABANK,EQ,2042341,992264,48.58
20,69,ANDHRACEMT,EQ,566256,321876,56.84
20,70,ANDHRSUGAR,EQ,107571,69755,64.85
20,71,ANGIND,EQ,26799,23015,85.88
20,72,ANKITMETAL,EQ,42628,33170,77.81
20,73,ANSALAPI,EQ,61416,48401,78.81
20,74,ANSALHSG,EQ,32497,21279,65.48
20,75,APARINDS,EQ,32083,23084,71.95
20,76,APCOTEXIND,EQ,3316,2551,76.93
20,77,APLAPOLLO,EQ,6811,4836,71.00
20,78,APLLTD,EQ,235153,158520,67.41
20,79,APOLLOHOSP,EQ,166319,75042,45.12
20,80,APOLLOTYRE,EQ,5702135,1448232,25.40
20,81,APTECHT,EQ,185116,89708,48.46
20,82,ARCHIDPLY,EQ,95267,48136,50.53
20,83,ARCHIES,EQ,752286,227019,30.18
20,84,ARCOTECH,EQ,146072,28488,19.50
20,85,ARIES,EQ,11739,8807,75.02
20,86,ARIHANT,EQ,698,579,82.95
20,87,AROGRANITE,EQ,2967,2075,69.94
20,88,ARROWCOAT,EQ,7670,2409,31.41
20,89,ARROWTEX,EQ,48241,35156,72.88
20,90,ARSHIYA,EQ,268648,144536,53.80
