Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30112016,664321687,0001613
Trade Date <30-NOV-2016>,Settlement Type <N>,Settlement No <2016225>,Settlement Date <02-DEC-2016>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,91455,67914,74.26
20,2,3IINFOTECH,EQ,972510,508805,52.32
20,3,3MINDIA,EQ,262,229,87.40
20,4,8KMILES,EQ,24197,7988,33.01
20,5,A2ZINFRA,EQ,613755,216858,35.33
20,6,AARTIDRUGS,EQ,7536,4870,64.62
20,7,AARTIIND,EQ,55290,36870,66.68
20,8,AARVEEDEN,EQ,15272,7045,46.13
20,9,ABAN,EQ,4407571,642573,14.58
20,10,ABB,EQ,21135,14243,67.39
20,11,ABBOTINDIA,EQ,3398,2446,71.98
20,12,ABFRL,EQ,261077,183366,70.23
20,13,ABGSHIP,EQ,383205,124679,32.54
20,14,ABIRLANUVO,EQ,309252,90803,29.36
20,15,ACC,EQ,358245,129160,36.05
20,16,ACCELYA,EQ,887,489,55.13
20,17,ACE,EQ,739266,224246,30.33
20,18,ADANIENT,EQ,1786277,516876,28.94
20,19,ADANIPORTS,EQ,4877016,2679002,54.93
20,20,ADANIPOWER,EQ,16057621,6437155,40.09
20,21,ADANITRANS,EQ,2582348,1374823,53.24
20,22,ADFFOODS,EQ,134746,31750,23.56
20,23,ADHUNIK,EQ,25162,21356,84.87
20,24,ADHUNIKIND,EQ,12110,319,2.63
20,25,ADI,EQ,3698,2856,77.23
20,26,ADLABS,EQ,394469,179532,45.51
20,27,ADORWELD,EQ,7852,4205,53.55
20,28,ADSL,EQ,446504,190092,42.57
20,29,ADVANIHOTR,EQ,1663,1663,100.00
20,30,ADVENZYMES,EQ,210688,68641,32.58
20,31,AEGISCHEM,EQ,196023,107145,54.66
20,32,AFL,EQ,7341,4013,54.67
20,33,AGARIND,EQ,36578,18956,51.82
20,34,AGCNET,EQ,6610,4401,66.58
20,35,AGROPHOS,SM,84000,66000,78.57
20,36,AHLEAST,EQ,746,726,97.32
20,37,AHLUCONT,EQ,7542,3353,44.46
20,38,AHLWEST,EQ,4339,4339,100.00
20,39,AIAENG,EQ,16361,12178,74.43
20,40,AIFL,EQ,40675,16152,39.71
20,41,AJANTPHARM,EQ,97840,55376,56.60
20,42,AJMERA,EQ,1521754,420387,27.63
20,43,AKSHOPTFBR,EQ,2047940,718424,35.08
20,44,AKZOINDIA,EQ,10309,8342,80.92
20,45,ALANKIT,EQ,1303788,66152,5.07
20,46,ALBERTDAVD,EQ,1047,737,70.39
20,47,ALBK,EQ,3471260,862357,24.84
20,48,ALCHEM,EQ,8154,6897,84.58
20,49,ALEMBICLTD,EQ,136596,98300,71.96
20,50,ALICON,EQ,2741,1905,69.50
20,51,ALKALI,EQ,5643,3209,56.87
20,52,ALKEM,EQ,59770,54102,90.52
20,53,ALKYLAMINE,EQ,5830,4426,75.92
20,54,ALLCARGO,EQ,59044,36402,61.65
20,55,ALLSEC,EQ,19744,9453,47.88
20,56,ALMONDZ,EQ,3810,2660,69.82
20,57,ALOKTEXT,EQ,6801242,3475350,51.10
20,58,ALPHAGEO,EQ,34164,18321,53.63
20,59,ALPSINDUS,EQ,54884,40382,73.58
20,60,AMARAJABAT,EQ,269972,145357,53.84
20,61,AMBIKCO,EQ,2094,1288,61.51
20,62,AMBUJACEM,EQ,5187692,3823292,73.70
20,63,AMDIND,EQ,3439,2906,84.50
20,64,AMRUTANJAN,EQ,7854,3820,48.64
20,65,AMTEKAUTO,EQ,6967837,1719505,24.68
20,66,AMTL,EQ,1389,1312,94.46
20,67,ANANDAMRUB,EQ,4070,4070,100.00
20,68,ANANTRAJ,EQ,1056231,386530,36.60
