Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30112017,1002419307,0001648
rade Date <30-NOV-2017>,Settlement Type <N>,Settlement No <2017228>,Settlement Date <05-DEC-2017>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,300002,164658,54.89
20,2,3IINFOTECH,EQ,2000320,1093286,54.66
20,3,3MINDIA,EQ,663,511,77.07
20,4,5PAISA,EQ,4761,4761,100.00
20,5,63MOONS,EQ,800759,295991,36.96
20,6,8KMILES,EQ,430590,117311,27.24
20,7,A2ZINFRA,EQ,2024733,887305,43.82
20,8,AARTIDRUGS,EQ,5889,3715,63.08
20,9,AARTIIND,EQ,17334,15770,90.98
20,10,AARVEEDEN,EQ,49056,38211,77.89
20,11,AARVI,SM,12000,10000,83.33
20,12,ABAN,EQ,807592,147078,18.21
20,13,ABB,EQ,65578,46595,71.05
20,14,ABBOTINDIA,EQ,14913,12406,83.19
20,15,ABCAPITAL,EQ,4826787,3750172,77.69
20,16,ABFRL,EQ,583593,381272,65.33
20,17,ACC,EQ,338546,127290,37.60
20,18,ACCELYA,EQ,2036,1591,78.14
20,19,ACE,EQ,2136303,807940,37.82
20,20,ADANIENT,EQ,2702060,406693,15.05
20,21,ADANIPORTS,EQ,5552149,4047659,72.90
20,22,ADANIPOWER,EQ,6720465,1897902,28.24
20,23,ADANITRANS,EQ,4420320,3773390,85.36
20,24,ADFFOODS,EQ,1111293,250960,22.58
20,25,ADHUNIK,EQ,57483,52013,90.48
20,26,ADORWELD,EQ,17313,9523,55.00
20,27,ADSL,EQ,274707,168002,61.16
20,28,ADVANIHOTR,EQ,77326,41331,53.45
20,29,ADVENZYMES,EQ,423373,234481,55.38
20,30,AEGISCHEM,EQ,377907,278083,73.59
20,31,AGCNET,EQ,2534,1240,48.93
20,32,AGLSL,EQ,23755,23328,98.20
20,33,AGRITECH,EQ,23135,16871,72.92
20,34,AGROPHOS,SM,66000,66000,100.00
20,35,AHLEAST,EQ,1177,1081,91.84
20,36,AHLUCONT,EQ,17974,15762,87.69
20,37,AIAENG,EQ,123584,111682,90.37
20,38,AIFL,EQ,118955,23909,20.10
20,39,AIRAN,SM,8000,8000,100.00
20,40,AIROLAM,SM,33000,30000,90.91
20,41,AISL,SM,211200,172800,81.82
20,42,AJANTPHARM,EQ,203040,98769,48.65
20,43,AJMERA,EQ,228258,69975,30.66
20,44,AKASH,SM,2000,2000,100.00
20,45,AKSHARCHEM,EQ,7839,4073,51.96
20,46,AKZOINDIA,EQ,4417,3387,76.68
20,47,ALANKIT,EQ,318273,173353,54.47
