Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31012017,896643402,0001634
Trade Date <31-JAN-2017>,Settlement Type <N>,Settlement No <2017021>,Settlement Date <02-FEB-2017>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,67161,37816,56.31
20,2,3IINFOTECH,EQ,2791739,1703181,61.01
20,3,3MINDIA,EQ,551,407,73.87
20,4,63MOONS,EQ,82223,46993,57.15
20,5,8KMILES,EQ,35021,20989,59.93
20,6,A2ZINFRA,EQ,485558,293113,60.37
20,7,AARTIDRUGS,EQ,8450,7483,88.56
20,8,AARTIIND,EQ,26477,21221,80.15
20,9,AARVEEDEN,EQ,20997,9107,43.37
20,10,ABAN,EQ,1423755,234064,16.44
20,11,ABB,EQ,45631,26842,58.82
20,12,ABBOTINDIA,EQ,3351,2405,71.77
20,13,ABFRL,EQ,495073,326111,65.87
20,14,ABIRLANUVO,EQ,880056,419005,47.61
20,15,ACC,EQ,186852,57731,30.90
20,16,ACCELYA,EQ,9891,6202,62.70
20,17,ACE,EQ,106666,36351,34.08
20,18,ADANIENT,EQ,10535197,3661418,34.75
20,19,ADANIPORTS,EQ,3859712,1935581,50.15
20,20,ADANIPOWER,EQ,13522484,4055500,29.99
20,21,ADANITRANS,EQ,988858,625818,63.29
20,22,ADFFOODS,EQ,70590,35064,49.67
20,23,ADHUNIK,EQ,93907,64069,68.23
20,24,ADHUNIKIND,EQ,32140,819,2.55
20,25,ADLABS,EQ,188610,105394,55.88
20,26,ADORWELD,EQ,4845,3282,67.74
20,27,ADVANIHOTR,EQ,19218,6418,33.40
20,28,ADVENZYMES,EQ,112017,42642,38.07
20,29,AEGISCHEM,EQ,325647,233098,71.58
20,30,AFL,EQ,5861,4002,68.28
20,31,AGARIND,EQ,18848,14378,76.28
20,32,AGCNET,EQ,8482,5261,62.03
20,33,AGRITECH,EQ,4838,4142,85.61
20,34,AGROPHOS,SM,78000,60000,76.92
20,35,AHLEAST,EQ,2311,1457,63.05
20,36,AHLUCONT,EQ,10067,8587,85.30
20,37,AHLWEST,EQ,2165,1700,78.52
20,38,AIAENG,EQ,17975,9000,50.07
20,39,AIFL,EQ,65305,20439,31.30
20,40,AJANTPHARM,EQ,146204,55014,37.63
20,41,AJMERA,EQ,109741,52362,47.71
20,42,AKSHOPTFBR,EQ,1596262,511815,32.06
20,43,AKZOINDIA,EQ,28916,12168,42.08
20,44,ALANKIT,EQ,2195382,365071,16.63
20,45,ALBERTDAVD,EQ,3042,2250,73.96
20,46,ALBK,EQ,1816392,269645,14.85
20,47,ALCHEM,EQ,11683,10784,92.31
20,48,ALEMBICLTD,EQ,180417,139241,77.18
20,49,ALICON,EQ,9486,5720,60.30
20,50,ALKALI,EQ,25814,18243,70.67
20,51,ALKEM,EQ,25421,20428,80.36
20,52,ALKYLAMINE,EQ,2241,1737,77.51
20,53,ALLCARGO,EQ,47321,30943,65.39
20,54,ALLSEC,EQ,39160,25065,64.01
20,55,ALMONDZ,EQ,4274,3764,88.07
20,56,ALOKTEXT,EQ,3569593,1173848,32.88
20,57,ALPHAGEO,EQ,16048,11274,70.25
20,58,ALPSINDUS,EQ,65305,44362,67.93
20,59,AMARAJABAT,EQ,172868,52410,30.32
20,60,AMBIKCO,EQ,7879,5197,65.96
20,61,AMBUJACEM,EQ,1633654,711107,43.53
20,62,AMDIND,EQ,21251,18612,87.58
20,63,AMRUTANJAN,EQ,8266,6019,72.82
20,64,AMTEKAUTO,EQ,920950,383220,41.61
20,65,AMTL,EQ,3834,3482,90.82
20,66,ANANTRAJ,EQ,473601,258788,54.64
20,67,ANDHRABANK,EQ,1866034,556689,29.83
20,68,ANDHRACEMT,EQ,222442,169711,76.29
20,69,ANDHRSUGAR,EQ,101319,51037,50.37
20,70,ANGIND,EQ,23967,20641,86.12
20,71,ANKITMETAL,EQ,69701,57611,82.65
20,72,ANSALAPI,EQ,173823,139419,80.21
20,73,ANSALHSG,EQ,40162,26012,64.77
20,74,APARINDS,EQ,13128,8290,63.15
20,75,APCOTEXIND,EQ,2272,2018,88.82
20,76,APLAPOLLO,EQ,16157,12190,75.45
20,77,APLLTD,EQ,41408,35023,84.58
20,78,APOLLOHOSP,EQ,136631,79079,57.88
20,79,APOLLOTYRE,EQ,2025683,463654,22.89
20,80,APTECHT,EQ,316625,106593,33.67
20,81,ARCHIDPLY,EQ,67378,47970,71.20
20,82,ARCHIES,EQ,96951,47168,48.65
20,83,ARCOTECH,EQ,101155,26548,26.24
20,84,ARIES,EQ,74944,35740,47.69
20,85,ARMANFIN,EQ,16901,13261,78.46
20,86,AROGRANITE,EQ,36908,18851,51.08
20,87,ARROWGREEN,EQ,26609,18992,71.37
20,88,ARROWTEX,EQ,21735,13455,61.90
20,89,ARSHIYA,EQ,83259,59052,70.93
20,90,ARSSINFRA,EQ,91724,43902,47.86
20,91,ARVIND,EQ,1773838,447278,25.22
20,92,ARVSMART,EQ,17952,13664,76.11
20,93,ASAHIINDIA,EQ,6614,4478,67.70
20,94,ASAHISONG,EQ,50364,23314,46.29
20,95,ASAL,EQ,25253,18956,75.06
20,96,ASHAPURMIN,EQ,80270,44171,55.03
20,97,ASHIANA,EQ,64894,48576,74.85
20,98,ASHIMASYN,EQ,71977,55673,77.35
20,99,ASHOKA,EQ,253538,152516,60.16
20,100,ASHOKLEY,EQ,10318662,4811820,46.63
20,101,ASIANHOTNR,EQ,1411,1010,71.58
20,102,ASIANPAINT,EQ,603928,312931,51.82
20,103,ASIANTILES,EQ,278560,138201,49.61
20,104,ASTEC,EQ,47919,20730,43.26
20,105,ASTRAL,EQ,48004,34264,71.38
20,106,ASTRAMICRO,EQ,272999,129455,47.42
20,107,ASTRAZEN,EQ,2278,1801,79.06
20,108,ATFL,EQ,8896,4683,52.64
20,109,ATLANTA,EQ,97281,43654,44.87
20,110,ATUL,EQ,11776,5784,49.12
20,111,ATULAUTO,EQ,11850,8512,71.83
20,112,AURDIS,SM,12000,8000,66.67
20,113,AURIONPRO,EQ,40327,25957,64.37
20,114,AUROPHARMA,EQ,999332,337555,33.78
20,115,AUSOMENT,EQ,73,71,97.26
20,116,AUSTRAL,EQ,4502,4501,99.98
20,117,AUTOAXLES,EQ,4173,2507,60.08
20,118,AUTOIND,EQ,16774,11604,69.18
20,119,AUTOLITIND,EQ,5180,3944,76.14
20,120,AVANTIFEED,EQ,38456,25063,65.17
20,121,AVTNPL,EQ,177275,82683,46.64
20,122,AXISBANK,EQ,10629001,8600223,80.91
20,123,AXISCADES,EQ,95866,40333,42.07
20,124,AXISGOLD,EQ,29,25,86.21
20,125,AYMSYNTEX,EQ,210009,105903,50.43
20,126,BAFNAPHARM,EQ,35229,25887,73.48
20,127,BAGFILMS,EQ,424062,230020,54.24
20,128,BAJAJ-AUTO,EQ,902056,236935,26.27
20,129,BAJAJCORP,EQ,34428,24293,70.56
20,130,BAJAJELEC,EQ,92635,67428,72.79
20,131,BAJAJFINSV,EQ,184606,92187,49.94
20,132,BAJAJHIND,EQ,3478867,2391813,68.75
20,133,BAJAJHLDNG,EQ,137779,76729,55.69
20,134,BAJFINANCE,EQ,2304584,749152,32.51
20,135,BALAJITELE,EQ,18444,9871,53.52
20,136,BALAMINES,EQ,39461,24288,61.55
20,137,BALKRISHNA,EQ,15536,7455,47.99
20,138,BALKRISIND,EQ,26984,20789,77.04
20,139,BALLARPUR,EQ,662009,373856,56.47
20,140,BALMLAWRIE,EQ,158382,105567,66.65
20,141,BALPHARMA,EQ,16873,11320,67.09
20,142,BALRAMCHIN,EQ,1213956,868139,71.51
20,143,BANARBEADS,EQ,6701,3168,47.28
20,144,BANARISUG,EQ,536,413,77.05
20,145,BANCOINDIA,EQ,43578,24031,55.14
20,146,BANG,EQ,2721,2094,76.96
20,147,BANKBARODA,EQ,4227883,1113102,26.33
20,148,BANKBEES,EQ,3098,872,28.15
20,149,BANKINDIA,EQ,2200898,415644,18.89
20,150,BANSWRAS,EQ,3343,2036,60.90
20,151,BASF,EQ,15498,6655,42.94
20,152,BASML,EQ,504,300,59.52
20,153,BATAINDIA,EQ,229772,66241,28.83
20,154,BAYERCROP,EQ,2881,1859,64.53
20,155,BBL,EQ,8979,5034,56.06
20,156,BBTC,EQ,309753,113468,36.63
20,157,BEARDSELL,EQ,987,656,66.46
20,158,BEDMUTHA,EQ,10094,6318,62.59
20,159,BEL,EQ,1427709,760688,53.28
20,160,BEML,EQ,367768,63533,17.28
20,161,BEPL,EQ,395938,285671,72.15
20,162,BERGEPAINT,EQ,142905,87187,61.01
20,163,BFINVEST,EQ,10678,6338,59.36
20,164,BFUTILITIE,EQ,261525,135303,51.74
20,165,BGRENERGY,EQ,169574,94438,55.69
20,166,BHAGERIA,EQ,28870,19537,67.67
20,167,BHAGYNAGAR,EQ,35000,31018,88.62
20,168,BHANDARI,EQ,746260,445430,59.69
20,169,BHARATFIN,EQ,3390154,635743,18.75
20,170,BHARATFORG,EQ,388620,142157,36.58
20,171,BHARATGEAR,EQ,5754,2358,40.98
20,172,BHARATRAS,EQ,1388,1014,73.05
20,173,BHARTIARTL,EQ,10573672,5281756,49.95
20,174,BHEL,EQ,6697709,1708065,25.50
20,175,BHUSANSTL,EQ,2904931,861180,29.65
20,176,BIGBLOC,EQ,32808,5741,17.50
20,177,BIL,EQ,19764,6997,35.40
20,178,BILENERGY,EQ,84125,80000,95.10
20,179,BILPOWER,EQ,1000,1000,100.00
20,180,BINANIIND,EQ,24913,12826,51.48
20,181,BINDALAGRO,EQ,66226,45645,68.92
20,182,BIOCON,EQ,767221,247540,32.26
20,183,BIRLACABLE,EQ,15257,12811,83.97
20,184,BIRLACORPN,EQ,48889,44004,90.01
20,185,BIRLAMONEY,EQ,56919,38736,68.05
20,186,BLBLIMITED,EQ,2291,1946,84.94
20,187,BLISSGVS,EQ,119189,52407,43.97
20,188,BLKASHYAP,EQ,110342,66794,60.53
20,189,BLS,EQ,50442,5014,9.94
20,190,BLUEBLENDS,EQ,5130,3385,65.98
20,191,BLUECOAST,EQ,1,1,100.00
20,192,BLUEDART,EQ,2753,1983,72.03
20,193,BLUESTARCO,EQ,138383,130062,93.99
