Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31052018,1191357867,0001699
rade Date <31-MAY-2018>,Settlement Type <N>,Settlement No <2018103>,Settlement Date <04-JUN-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,139193,84831,60.94
20,2,21STCENMGM,EQ,2666,2566,96.25
20,3,3IINFOTECH,EQ,1103902,551089,49.92
20,4,3MINDIA,EQ,2512,2070,82.40
20,5,3PLAND,EQ,1127,1001,88.82
20,6,5PAISA,EQ,11710,7456,63.67
20,7,63MOONS,EQ,149159,59653,39.99
20,8,8KMILES,EQ,153913,66159,42.98
20,9,A2ZINFRA,EQ,478728,147145,30.74
20,10,AARTIDRUGS,EQ,3721,2451,65.87
20,11,AARTIIND,EQ,31226,21135,67.68
20,12,AARVEEDEN,EQ,50919,47802,93.88
20,13,ABAN,EQ,1275349,336942,26.42
20,14,ABB,EQ,41589,18606,44.74
20,15,ABBOTINDIA,EQ,5992,3582,59.78
20,16,ABCAPITAL,EQ,988712,600998,60.79
20,17,ABFRL,EQ,266120,157095,59.03
20,18,ACC,EQ,3873328,2701718,69.75
20,19,ACCELYA,EQ,2632,1917,72.83
20,20,ACE,EQ,406576,207126,50.94
20,21,ADANIENT,EQ,4584277,1844952,40.25
20,22,ADANIPORTS,EQ,11133305,8250136,74.10
20,23,ADANIPOWER,EQ,13337604,4805381,36.03
20,24,ADANITRANS,EQ,421790,146818,34.81
20,25,ADFFOODS,EQ,89088,34751,39.01
20,26,ADHUNIK,EQ,49171,46776,95.13
20,27,ADHUNIKIND,EQ,104504,23601,22.58
20,28,ADLABS,EQ,62058,39218,63.20
20,29,ADORWELD,EQ,10568,5087,48.14
20,30,ADROITINFO,EQ,68329,35236,51.57
20,31,ADSL,EQ,15042,9671,64.29
20,32,ADVANIHOTR,EQ,5497,3853,70.09
20,33,ADVENZYMES,EQ,463209,303481,65.52
20,34,AEGISCHEM,EQ,107595,64758,60.19
20,35,AFL,EQ,2573,1828,71.05
20,36,AGARIND,EQ,12136,11883,97.92
20,37,AGCNET,EQ,29339,14485,49.37
20,38,AGLSL,EQ,10358,9149,88.33
20,39,AGRITECH,EQ,93210,38134,40.91
20,40,AGROPHOS,SM,24000,0,0.00
20,41,AHLEAST,EQ,5560,5270,94.78
20,42,AHLUCONT,EQ,7009,3333,47.55
20,43,AIAENG,EQ,33910,25995,76.66
20,44,AIFL,EQ,120983,79967,66.10
20,45,AIRAN,SM,1500,1500,100.00
20,46,AIROLAM,SM,3000,3000,100.00
20,47,AISL,SM,13200,12000,90.91
20,48,AJANTPHARM,EQ,442907,221849,50.09
20,49,AJMERA,EQ,69291,52652,75.99
20,50,AJOONI,SM,8000,4000,50.00
20,51,AKASH,SM,1000,1000,100.00
20,52,AKSHARCHEM,EQ,26795,17094,63.80
20,53,AKSHOPTFBR,EQ,1715832,1102171,64.24
20,54,AKZOINDIA,EQ,21350,20614,96.55
20,55,ALANKIT,EQ,115202,76584,66.48
20,56,ALBERTDAVD,EQ,1001,1000,99.90
20,57,ALBK,EQ,3067446,365981,11.93
20,58,ALEMBICLTD,EQ,333770,205055,61.44
20,59,ALICON,EQ,1054,647,61.39
20,60,ALKALI,EQ,3151,2820,89.50
20,61,ALKEM,EQ,32983,21357,64.75
20,62,ALKYLAMINE,EQ,2472,2132,86.25
20,63,ALLCARGO,EQ,163546,88940,54.38
20,64,ALLSEC,EQ,16055,9697,60.40
20,65,ALOKTEXT,EQ,348455,348455,100.00
20,66,ALPA,EQ,21684,14073,64.90
20,67,ALPHAGEO,EQ,9610,4684,48.74
20,68,AMARAJABAT,EQ,496070,150985,30.44
20,69,AMBER,EQ,13885,4279,30.82
20,70,AMBIKCO,EQ,8361,6523,78.02
20,71,AMBUJACEM,EQ,6571778,4728699,71.95
20,72,AMDIND,EQ,37790,16397,43.39
20,73,AMJLAND,EQ,26536,14517,54.71
20,74,AMRUTANJAN,EQ,4690,3373,71.92
20,75,ANANTRAJ,EQ,402456,157537,39.14
20,76,ANDHRABANK,EQ,4561240,1832583,40.18
20,77,ANDHRACEMT,EQ,65386,61602,94.21
20,78,ANDHRSUGAR,EQ,105158,61517,58.50
20,79,ANSALAPI,EQ,96819,64582,66.70
20,80,ANSALHSG,EQ,28969,20696,71.44
20,81,APARINDS,EQ,20060,13687,68.23
20,82,APCL,EQ,216,156,72.22
20,83,APCOTEXIND,EQ,9379,6105,65.09
20,84,APEX,EQ,162251,68847,42.43
20,85,APLAPOLLO,EQ,12494,9545,76.40
20,86,APLLTD,EQ,30286,25250,83.37
20,87,APOLLO,EQ,51349,33391,65.03
20,88,APOLLOHOSP,EQ,883312,399835,45.27
20,89,APOLLOTYRE,EQ,2039549,661324,32.43
20,90,APOLSINHOT,EQ,576,432,75.00
20,91,APTECHT,EQ,472682,144603,30.59
20,92,ARCHIDPLY,EQ,272671,128917,47.28
20,93,ARCOTECH,EQ,243370,140891,57.89
20,94,ARIES,EQ,7951,5505,69.24
20,95,ARIHANTSUP,EQ,84150,30803,36.60
20,96,AROGRANITE,EQ,14558,7692,52.84
20,97,ARROWGREEN,EQ,5985,5979,99.90
20,98,ARROWTEX,EQ,28176,16994,60.31
20,99,ARSHIYA,EQ,82452,73072,88.62
20,100,ARVIND,EQ,1184705,339111,28.62
20,101,ARVSMART,EQ,51193,39541,77.24
20,102,ASAHIINDIA,EQ,49395,39004,78.96
20,103,ASAHISONG,EQ,12573,8758,69.66
20,104,ASAL,EQ,7598,3888,51.17
20,105,ASHAPURMIN,EQ,63353,28150,44.43
20,106,ASHIANA,EQ,33498,23013,68.70
20,107,ASHIMASYN,EQ,50996,35378,69.37
20,108,ASHOKA,EQ,467448,352898,75.49
20,109,ASHOKLEY,EQ,15790863,6523503,41.31
20,110,ASIANHOTNR,EQ,302,151,50.00
20,111,ASIANPAINT,EQ,1400776,896878,64.03
20,112,ASIANTILES,EQ,32091,23972,74.70
20,113,ASPINWALL,EQ,4794,4556,95.04
20,114,ASSAMCO,EQ,293280,177331,60.46
20,115,ASTEC,EQ,41219,20745,50.33
20,116,ASTERDM,EQ,125800,106876,84.96
20,117,ASTRAL,EQ,65741,32226,49.02
20,118,ASTRAMICRO,EQ,354743,123114,34.71
20,119,ASTRAZEN,EQ,5620,3674,65.37
20,120,ASTRON,EQ,93746,62204,66.35
20,121,ATFL,EQ,11261,8655,76.86
20,122,ATLANTA,EQ,1246139,708716,56.87
20,123,ATUL,EQ,38373,36314,94.63
20,124,ATULAUTO,EQ,6605,3404,51.54
20,125,AUBANK,EQ,138884,49373,35.55
20,126,AURDIS,SM,2000,2000,100.00
20,127,AURIONPRO,EQ,20097,13494,67.14
20,128,AUROPHARMA,EQ,4280622,2083800,48.68
20,129,AUSOMENT,EQ,7016,7016,100.00
20,130,AUTOAXLES,EQ,23920,18274,76.40
20,131,AUTOIND,EQ,25334,15543,61.35
20,132,AUTOLITIND,EQ,6403,3943,61.58
20,133,AVADHSUGAR,EQ,35809,14923,41.67
20,134,AVANTIFEED,EQ,654297,215814,32.98
20,135,AVTNPL,EQ,26811,18159,67.73
20,136,AXISBANK,EQ,15652651,9377565,59.91
20,137,AXISCADES,EQ,38974,19586,50.25
20,138,AXISGOLD,EQ,12,9,75.00
20,139,AXISNIFTY,EQ,33,33,100.00
20,140,AYMSYNTEX,EQ,21675,20239,93.37
20,141,BAFNAPHARM,EQ,15250,11501,75.42
20,142,BAGFILMS,EQ,508988,192926,37.90
20,143,BAJAJ-AUTO,EQ,447005,290642,65.02
20,144,BAJAJCORP,EQ,34728,30158,86.84
20,145,BAJAJELEC,EQ,426598,142657,33.44
20,146,BAJAJFINSV,EQ,264768,115200,43.51
20,147,BAJAJHIND,EQ,1268631,609989,48.08
20,148,BAJAJHLDNG,EQ,9574,4584,47.88
20,149,BAJFINANCE,EQ,1323397,493442,37.29
20,150,BALAJITELE,EQ,45565,29564,64.88
20,151,BALAMINES,EQ,18164,8180,45.03
20,152,BALKRISHNA,EQ,8275,8273,99.98
20,153,BALKRISIND,EQ,320097,172162,53.78
20,154,BALLARPUR,EQ,535869,288649,53.87
20,155,BALMLAWRIE,EQ,155165,71070,45.80
20,156,BALPHARMA,EQ,11753,5720,48.67
20,157,BALRAMCHIN,EQ,7574117,2802893,37.01
20,158,BANARBEADS,EQ,1961,1310,66.80
20,159,BANARISUG,EQ,274,212,77.37
