Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31072013,340410790,0001316
Trade Date <31-JUL-2013>,Settlement Type <N>,Settlement No <2013147>,Settlement Date <02-AUG-2013>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,23536,11670,49.58
20,2,3IINFOTECH,EQ,1003111,672335,67.02
20,3,3MINDIA,EQ,729,702,96.30
20,4,A2ZMES,EQ,55465,43000,77.53
20,5,AANJANEYA,EQ,232255,118498,51.02
20,6,AARTIDRUGS,EQ,6855,3659,53.38
20,7,AARTIIND,EQ,8432,7377,87.49
20,8,AARVEEDEN,EQ,265,258,97.36
20,9,ABAN,EQ,605570,164326,27.14
20,10,ABB,EQ,25960,9598,36.97
20,11,ABBOTINDIA,EQ,1446,1130,78.15
20,12,ABCIL,EQ,74046,22739,30.71
20,13,ABGSHIP,EQ,54591,43884,80.39
20,14,ABIRLANUVO,EQ,247675,116288,46.95
20,15,ACC,EQ,299123,146134,48.85
20,16,ACCELYA,EQ,9403,3493,37.15
20,17,ACE,EQ,192741,104052,53.99
20,18,ACROPETAL,EQ,34512,21167,61.33
20,19,ADANIENT,EQ,1494389,412027,27.57
20,20,ADANIPORTS,EQ,5120681,3485405,68.07
20,21,ADANIPOWER,EQ,3048315,734232,24.09
20,22,ADFFOODS,EQ,4860,4519,92.98
20,23,ADHUNIK,EQ,172152,101480,58.95
20,24,ADORWELD,EQ,5558,4505,81.05
20,25,ADVANIHOTR,EQ,500,500,100.00
20,26,ADVANTA,EQ,28830,15752,54.64
20,27,AEGISCHEM,EQ,26550,21365,80.47
20,28,AFL,EQ,5396,4931,91.38
20,29,AFTEK,EQ,78620,61162,77.79
20,30,AGRODUTCH,EQ,180053,180053,100.00
20,31,AHMEDFORGE,EQ,4853,3106,64.00
20,32,AIAENG,EQ,5316,5059,95.17
20,33,AIL,EQ,21366,13207,61.81
20,34,AJANTPHARM,EQ,44913,8086,18.00
20,35,AJMERA,EQ,9186,7516,81.82
20,36,AKSHOPTFBR,EQ,31098,21747,69.93
20,37,AKZOINDIA,EQ,6595,3670,55.65
20,38,ALBK,EQ,4246444,1470991,34.64
20,39,ALCHEM,EQ,5244,3168,60.41
20,40,ALEMBICLTD,EQ,27753,19693,70.96
20,41,ALKALI,EQ,2954,1951,66.05
20,42,ALLCARGO,EQ,1486,1197,80.55
20,43,ALOKTEXT,EQ,13927898,7597537,54.55
20,44,ALPA,EQ,1000,1000,100.00
20,45,ALPHAGEO,EQ,399,371,92.98
20,46,ALSTOMT&D,EQ,21688,16138,74.41
20,47,AMAR,EQ,3217,3217,100.00
20,48,AMARAJABAT,EQ,108138,80977,74.88
20,49,AMBIKCO,EQ,115,115,100.00
20,50,AMBUJACEM,EQ,2935707,884176,30.12
20,51,AMDIND,EQ,492,492,100.00
20,52,AMRUTANJAN,EQ,14245,8138,57.13
20,53,AMTEKAUTO,EQ,104590,28020,26.79
20,54,AMTEKINDIA,EQ,20775,11329,54.53
20,55,ANANTRAJ,EQ,449294,211447,47.06
20,56,ANDHRABANK,EQ,4864478,1931490,39.71
20,57,ANDHRACEMT,EQ,1550,1300,83.87
20,58,ANDHRSUGAR,EQ,20146,17428,86.51
20,59,ANIKINDS,EQ,2702,2572,95.19
20,60,ANKITMETAL,EQ,26,1,3.85
20,61,ANKURDRUGS,EQ,2041,2040,99.95
20,62,ANSALAPI,EQ,132957,74170,55.78
20,63,ANSALHSG,EQ,19687,10035,50.97
20,64,ANTGRAPHIC,EQ,25468,25466,99.99
20,65,APARINDS,EQ,11051,8020,72.57
20,66,APCOTEXIND,EQ,590,529,89.66
20,67,APLAPOLLO,EQ,264,244,92.42
20,68,APLLTD,EQ,103156,59808,57.98
20,69,APOLLOHOSP,EQ,129025,94455,73.21
20,70,APOLLOTYRE,EQ,3864040,1248454,32.31
20,71,APPAPER,EQ,14103,3426,24.29
20,72,APTECHT,EQ,152148,59960,39.41
20,73,AQUA,EQ,24920,6650,26.69
20,74,ARCHIDPLY,EQ,799,799,100.00
20,75,ARCHIES,EQ,43904,35046,79.82
20,76,ARIES,EQ,11813,10094,85.45
20,77,ARSHIYA,EQ,29728,23277,78.30
20,78,ARSSINFRA,EQ,91683,56378,61.49
20,79,ARVIND,EQ,944034,229996,24.36
20,80,ARVINDREM,EQ,56027,36343,64.87
20,81,ASAHIINDIA,EQ,1679,756,45.03
20,82,ASAHISONG,EQ,3264,2718,83.27
20,83,ASHAPURMIN,EQ,53857,38041,70.63
20,84,ASHIANA,EQ,1807,1455,80.52
20,85,ASHOKA,EQ,9993,8535,85.41
20,86,ASHOKLEY,EQ,12383177,6845386,55.28
20,87,ASIANELEC,EQ,6058,4900,80.88
20,88,ASIANHOTNR,EQ,3,3,100.00
20,89,ASIANPAINT,EQ,800891,439674,54.90
20,90,ASIANTILES,EQ,327,326,99.69
20,91,ASIL,EQ,500,500,100.00
20,92,ASSAMCO,EQ,455084,321341,70.61
20,93,ASTEC,EQ,1150,1150,100.00
20,94,ASTERSILI,EQ,240,240,100.00
20,95,ASTRAL,EQ,5077,3435,67.66
20,96,ASTRAMICRO,EQ,26571,18685,70.32
20,97,ASTRAZEN,EQ,29194,9770,33.47
20,98,ATFL,EQ,16457,15463,93.96
20,99,ATLANTA,EQ,6765,4280,63.27
20,100,ATLASCYCLE,EQ,5097,2289,44.91
20,101,ATUL,EQ,6749,4783,70.87
20,102,ATULAUTO,EQ,835,657,78.68
20,103,AUROPHARMA,EQ,1957284,501039,25.60
20,104,AUSTRAL,EQ,166142,116097,69.88
20,105,AUTOAXLES,EQ,1347,917,68.08
20,106,AUTOIND,EQ,54300,26595,48.98
20,107,AVTNPL,EQ,141736,73154,51.61
20,108,AXIS-IT&T,EQ,5721,4126,72.12
20,109,AXISBANK,EQ,4999833,3091914,61.84
20,110,AXISGOLD,EQ,610,454,74.43
20,111,BAFNAPHARM,EQ,40424,28714,71.03
20,112,BAGFILMS,EQ,66314,59747,90.10
20,113,BAJAJ-AUTO,EQ,1000215,814969,81.48
20,114,BAJAJCORP,EQ,267473,231486,86.55
20,115,BAJAJELEC,EQ,56051,35454,63.25
20,116,BAJAJFINSV,EQ,78103,59331,75.97
20,117,BAJAJHIND,EQ,471815,243893,51.69
20,118,BAJAJHLDNG,EQ,11368,7793,68.55
20,119,BAJFINANCE,EQ,41404,30193,72.92
20,120,BALAJITELE,EQ,59995,39100,65.17
20,121,BALAMINES,EQ,16844,15374,91.27
20,122,BALKRISIND,EQ,37827,33609,88.85
20,123,BALLARPUR,EQ,178584,133541,74.78
20,124,BALMLAWRIE,EQ,9182,6111,66.55
20,125,BALPHARMA,EQ,36,36,100.00
20,126,BALRAMCHIN,EQ,1292314,878624,67.99
20,127,BANARISUG,EQ,300,300,100.00
20,128,BANCOINDIA,EQ,6481,4049,62.47
20,129,BANKBARODA,EQ,1635434,757716,46.33
20,130,BANKBEES,EQ,3098,1904,61.46
20,131,BANKINDIA,EQ,2359209,623467,26.43
