Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31082015,373659150,0001507
Trade Date <31-AUG-2015>,Settlement Type <N>,Settlement No <2015166>,Settlement Date <02-SEP-2015>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,24392,11433,46.87
20,2,3IINFOTECH,EQ,1396004,694246,49.73
20,3,3MINDIA,EQ,609,385,63.22
20,4,8KMILES,EQ,34684,9966,28.73
20,5,A2ZINFRA,EQ,93706,53671,57.28
20,6,AARTIDRUGS,EQ,10652,4296,40.33
20,7,AARTIIND,EQ,26745,8263,30.90
20,8,AARVEEDEN,EQ,4137,1892,45.73
20,9,ABAN,EQ,1410688,401202,28.44
20,10,ABB,EQ,33317,19900,59.73
20,11,ABBOTINDIA,EQ,62568,61634,98.51
20,12,ABCIL,EQ,19158,11412,59.57
20,13,ABGSHIP,EQ,167928,70053,41.72
20,14,ABIRLANUVO,EQ,162438,68482,42.16
20,15,ACC,EQ,423911,229144,54.05
20,16,ACCELYA,EQ,1471,852,57.92
20,17,ACE,EQ,197527,76497,38.73
20,18,ACROPETAL,EQ,6870,4900,71.32
20,19,ADANIENT,EQ,3313017,567587,17.13
20,20,ADANIPORTS,EQ,30058587,22416516,74.58
20,21,ADANIPOWER,EQ,5448679,1863144,34.19
20,22,ADANITRANS,EQ,1032304,824345,79.85
20,23,ADFFOODS,EQ,41524,31603,76.11
20,24,ADHUNIK,EQ,27533,18269,66.35
20,25,ADI,EQ,3206,2461,76.76
20,26,ADLABS,EQ,65825,27381,41.60
20,27,ADORWELD,EQ,1047,890,85.00
20,28,ADSL,EQ,46947,30668,65.32
20,29,ADVANIHOTR,EQ,675,675,100.00
20,30,ADVANTA,EQ,172412,145444,84.36
20,31,AEGISCHEM,EQ,15995,7184,44.91
20,32,AFL,EQ,4524,2989,66.07
20,33,AGARIND,EQ,8556,7620,89.06
20,34,AGCNET,EQ,10045,3186,31.72
20,35,AGRITECH,EQ,1000,1000,100.00
20,36,AGRODUTCH,EQ,3787,3686,97.33
20,37,AHLEAST,EQ,317,100,31.55
20,38,AHLUCONT,EQ,42513,32969,77.55
20,39,AHLWEST,EQ,227,216,95.15
20,40,AIAENG,EQ,20207,14659,72.54
20,41,AIL,EQ,21651,14324,66.16
20,42,AJANTPHARM,EQ,350277,102964,29.40
20,43,AJMERA,EQ,16644,7915,47.55
20,44,AKSHOPTFBR,EQ,1609280,539878,33.55
20,45,AKZOINDIA,EQ,8760,5128,58.54
20,46,ALANKIT,EQ,109917,32524,29.59
20,47,ALBK,EQ,2759266,530431,19.22
20,48,ALCHEM,EQ,5992,4049,67.57
20,49,ALEMBICLTD,EQ,459239,153071,33.33
20,50,ALICON,EQ,4518,2721,60.23
20,51,ALKALI,EQ,10988,5719,52.05
20,52,ALKYLAMINE,EQ,3914,3434,87.74
20,53,ALLCARGO,EQ,45826,20988,45.80
20,54,ALLSEC,EQ,4962,4625,93.21
20,55,ALMONDZ,EQ,1561,1541,98.72
20,56,ALOKTEXT,EQ,3938874,937839,23.81
20,57,ALPHAGEO,EQ,56568,35511,62.78
20,58,ALPSINDUS,EQ,1100,600,54.55
20,59,ALSTOMT&D,EQ,41934,28644,68.31
20,60,AMARAJABAT,EQ,325981,144265,44.26
20,61,AMBIKCO,EQ,4900,2492,50.86
20,62,AMBUJACEM,EQ,2519792,1290867,51.23
20,63,AMDIND,EQ,13049,7903,60.56
20,64,AMRUTANJAN,EQ,5942,3936,66.24
20,65,AMTEKAUTO,EQ,3065733,939127,30.63
20,66,AMTL,EQ,10300,8834,85.77
20,67,ANANTRAJ,EQ,489209,222765,45.54
20,68,ANDHRABANK,EQ,2534670,870223,34.33
20,69,ANDHRACEMT,EQ,1998364,1480162,74.07
20,70,ANDHRSUGAR,EQ,1967,1367,69.50
20,71,ANGIND,EQ,21723,15747,72.49
20,72,ANKITMETAL,EQ,22593,22593,100.00
20,73,ANSALAPI,EQ,81185,61466,75.71
20,74,ANSALHSG,EQ,2733,2046,74.86
20,75,APARINDS,EQ,12921,5903,45.69
20,76,APCOTEXIND,EQ,4495,2697,60.00
20,77,APLAPOLLO,EQ,36687,35608,97.06
