Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
08-AUG-2013,20MICRONS,30.25,30.30,-0.0017,0.0073,0.0071,0.1356
08-AUG-2013,3IINFOTECH,3.80,3.75,0.0132,0.0379,0.0369,0.7050
08-AUG-2013,3MINDIA,3404.35,3404.95,-0.0002,0.0109,0.0106,0.2025
08-AUG-2013,A2ZMES,8.90,8.50,0.0460,0.0341,0.0349,0.6668
08-AUG-2013,AANJANEYA,37.10,39.35,-0.0589,0.0395,0.0409,0.7814
08-AUG-2013,AARTIDRUGS,191.25,189.25,0.0105,0.0363,0.0353,0.6744
08-AUG-2013,AARTIIND,72.15,70.25,0.0267,0.0249,0.0250,0.4776
08-AUG-2013,AARVEEDEN,31.35,29.50,0.0608,0.0516,0.0522,0.9973
08-AUG-2013,ABAN,234.15,222.30,0.0519,0.0469,0.0472,0.9018
08-AUG-2013,ABB,494.95,477.10,0.0367,0.0221,0.0232,0.4432
08-AUG-2013,ABBOTINDIA,1360.30,1348.60,0.0086,0.0132,0.0130,0.2484
08-AUG-2013,ABCIL,66.75,64.45,0.0351,0.0283,0.0288,0.5502
08-AUG-2013,ABGSHIP,281.45,280.00,0.0052,0.0140,0.0136,0.2598
08-AUG-2013,ABHISHEK,4.50,4.50,0.0000,0.0040,0.0039,0.0745
08-AUG-2013,ABIRLANUVO,1127.10,1117.65,0.0084,0.0220,0.0214,0.4088
08-AUG-2013,ACC,1161.40,1159.95,0.0012,0.0150,0.0145,0.2770
08-AUG-2013,ACCELYA,604.20,546.05,0.1012,0.0262,0.0355,0.6782
08-AUG-2013,ACE,9.35,9.25,0.0108,0.0379,0.0368,0.7031
08-AUG-2013,ACROPETAL,4.05,4.00,0.0124,0.0353,0.0344,0.6572
08-AUG-2013,ADANIENT,166.40,167.15,-0.0045,0.0369,0.0358,0.6840
08-AUG-2013,ADANIPORTS,142.20,134.20,0.0579,0.0454,0.0462,0.8826
08-AUG-2013,ADANIPOWER,34.70,34.35,0.0101,0.0428,0.0416,0.7948
08-AUG-2013,ADFFOODS,40.95,40.25,0.0172,0.0313,0.0306,0.5846
08-AUG-2013,ADHUNIK,21.30,20.90,0.0190,0.0273,0.0269,0.5139
08-AUG-2013,ADORWELD,89.95,87.90,0.0231,0.0306,0.0302,0.5770
08-AUG-2013,ADSL,12.00,11.50,0.0426,0.0356,0.0361,0.6897
08-AUG-2013,ADVANIHOTR,28.50,28.50,0.0000,0.0065,0.0063,0.1204
08-AUG-2013,ADVANTA,97.65,88.80,0.0950,0.0503,0.0540,1.0317
08-AUG-2013,AEGISCHEM,115.20,113.20,0.0175,0.0258,0.0254,0.4853
08-AUG-2013,AFL,19.55,19.75,-0.0102,0.0239,0.0233,0.4451
08-AUG-2013,AFTEK,3.50,3.35,0.0438,0.0374,0.0378,0.7222
