Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365),,,
09-Nov-15,20MICRONS,30,29.55,0.0151,0.0324,0.0316,0.6037,,,#N/A
09-Nov-15,3IINFOTECH,3.9,3.9,0,0.0352,0.0341,0.6515,,,#N/A
09-Nov-15,3MINDIA,11631.55,11322.8,0.0269,0.021,0.0214,0.4088,,,#N/A
09-Nov-15,8KMILES,1762.05,1775.55,-0.0076,0.0318,0.0309,0.5903,,,#N/A
09-Nov-15,A2ZINFRA,24.3,23.3,0.042,0.0266,0.0278,0.5311,,,#N/A
09-Nov-15,AARTIDRUGS,525.3,558.1,-0.0606,0.0189,0.0236,0.4509,,,#N/A
09-Nov-15,AARTIIND,516.95,510.5,0.0126,0.0196,0.0193,0.3687,,,#N/A
09-Nov-15,AARVEEDEN,51.6,50.95,0.0127,0.0277,0.027,0.5158,,,#N/A
09-Nov-15,ABAN,214.4,218.7,-0.0199,0.019,0.0191,0.3649,,,#N/A
09-Nov-15,ABB,1248.75,1241.55,0.0058,0.0195,0.019,0.363,,,#N/A
09-Nov-15,ABBOTINDIA,5128.15,5337.2,-0.04,0.0139,0.0167,0.3191,,,#N/A
09-Nov-15,ABCIL,224.05,224.4,-0.0016,0.0098,0.0095,0.1815,,,#N/A
09-Nov-15,ABGSHIP,91.85,92.95,-0.0119,0.0523,0.0508,0.9705,,,#N/A
09-Nov-15,ABHISHEK,4.5,4.5,0,0.0016,0.0016,0.0306,,,#N/A
09-Nov-15,ABIRLANUVO,1998.3,2047.8,-0.0245,0.0142,0.015,0.2866,,,#N/A
09-Nov-15,ACC,1367.7,1384.05,-0.0119,0.0114,0.0114,0.2178,,,#N/A
09-Nov-15,ACCELYA,921.05,916.1,0.0054,0.0132,0.0129,0.2465,,,#N/A
09-Nov-15,ACE,43.6,43.3,0.0069,0.0301,0.0292,0.5579,,,#N/A
09-Nov-15,ACROPETAL,2.75,2.8,-0.018,0.0321,0.0314,0.5999,,,#N/A
09-Nov-15,ADANIENT,79.45,79.05,0.005,0.0346,0.0336,0.6419,,,#N/A
09-Nov-15,ADANIPORTS,276.05,285.05,-0.0321,0.0181,0.0192,0.3668,,,#N/A
09-Nov-15,ADANIPOWER,27.4,28.75,-0.0481,0.032,0.0332,0.6343,,,#N/A
09-Nov-15,ADANITRANS,35.15,34.35,0.023,0.0421,0.0412,0.7871,,,#N/A
09-Nov-15,ADFFOODS,89.65,88,0.0186,0.0317,0.0311,0.5942,,,#N/A
09-Nov-15,ADHUNIK,14.65,14.65,0,0.0206,0.02,0.3821,,,#N/A
