,Company Name,Symbol,daily_percent%,yearly %,Industry
77,Punjab National Bank,PNB,3.73,71.26,FINANCIAL SERVICES
47,Idea Cellular Ltd.,IDEA,3.2099999999999995,61.33,TELECOM
5,Ashok Leyland Ltd.,ASHOKLEY,3.09,59.03,AUTOMOBILE
12,Bank of Baroda,BANKBARODA,2.77,52.92,FINANCIAL SERVICES
48,InterGlobe Aviation Ltd.,INDIGO,2.76,52.73,SERVICES
81,Steel Authority of India Ltd.,SAIL,2.7,51.580000000000005,METALS
88,Sun TV Network Ltd.,SUNTV,2.67,51.01,MEDIA & ENTERTAINMENT
73,Petronet LNG Ltd.,PETRONET,2.53,48.339999999999996,ENERGY
40,Hindalco Industries Ltd.,HINDALCO,2.35,44.9,METALS
11,Bajaj Finance Ltd.,BAJFINANCE,2.32,44.32,FINANCIAL SERVICES
27,Avenue Supermarts Ltd.,DMART,2.3,43.94,CONSUMER GOODS
87,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,2.29,43.75,PHARMA
45,ICICI Bank Ltd.,ICICIBANK,2.2399999999999998,42.8,FINANCIAL SERVICES
26,DLF Ltd.,DLF,2.18,41.65,CONSTRUCTION
99,Yes Bank Ltd.,YESBANK,2.17,41.46,FINANCIAL SERVICES
13,Bharat Electronics Ltd.,BEL,2.17,41.46,INDUSTRIAL MANUFACTURING
90,Tata Motors Ltd DVR,TATAMTRDVR,2.16,41.27,AUTOMOBILE
8,Axis Bank Ltd.,AXISBANK,2.1399999999999997,40.88,FINANCIAL SERVICES
97,Vedanta Ltd.,VEDL,2.1399999999999997,40.88,METALS
36,HCL Technologies Ltd.,HCLTECH,2.12,40.5,IT
46,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,2.11,40.31,FINANCIAL SERVICES
74,Power Finance Corporation Ltd.,PFC,2.07,39.550000000000004,FINANCIAL SERVICES
89,Tata Motors Ltd.,TATAMOTORS,2.04,38.97,AUTOMOBILE
41,Hindustan Petroleum Corporation Ltd.,HINDPETRO,2.04,38.97,ENERGY
17,Bharat Petroleum Corporation Ltd.,BPCL,2.03,38.78,ENERGY
19,Cadila Healthcare Ltd.,CADILAHC,2.02,38.59,PHARMA
91,Tata Steel Ltd.,TATASTEEL,2.01,38.4,METALS
14,Bharti Airtel Ltd.,BHARTIARTL,2.0,38.21,TELECOM
56,L&T Finance Holdings Ltd.,L&TFH,1.9800000000000002,37.830000000000005,FINANCIAL SERVICES
70,Oil India Ltd.,OIL,1.97,37.64,ENERGY
54,JSW Steel Ltd.,JSWSTEEL,1.9300000000000002,36.870000000000005,METALS
86,Shriram Transport Finance Co. Ltd.,SRTRANSFIN,1.8800000000000001,35.92,FINANCIAL SERVICES
15,Bharat Heavy Electricals Ltd.,BHEL,1.8399999999999999,35.15,INDUSTRIAL MANUFACTURING
96,UPL Ltd.,UPL,1.81,34.58,FERTILISERS & PESTICIDES
10,Bajaj Finserv Ltd.,BAJAJFINSV,1.7999999999999998,34.39,FINANCIAL SERVICES
69,Oracle Financial Services Software Ltd.,OFSS,1.79,34.2,IT
75,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,1.79,34.2,CONSUMER GOODS
44,Indiabulls Housing Finance Ltd.,IBULHSGFIN,1.77,33.82,FINANCIAL SERVICES
7,Aurobindo Pharma Ltd.,AUROPHARMA,1.77,33.82,PHARMA
