SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 22-May-2018, 41.45, 41.30, 43.15, 41.10, 41.10, 41.25, 41.75, 64131, 26.77, 539, 38669, 60.30
21STCENMGM, EQ, 22-May-2018, 39.90, 39.15, 39.15, 39.15, 39.15, 39.15, 39.15, 201, 0.08, 4, 201, 100.00
3IINFOTECH, EQ, 22-May-2018, 4.50, 4.50, 4.70, 4.50, 4.70, 4.70, 4.66, 892587, 41.58, 429, 598547, 67.06
3MINDIA, EQ, 22-May-2018, 19251.75, 19800.00, 19800.00, 19198.70, 19588.90, 19494.95, 19376.90, 802, 155.40, 270, 654, 81.55
3PLAND, EQ, 22-May-2018, 13.30, 13.70, 14.00, 13.45, 14.00, 13.95, 13.81, 3700, 0.51, 13, 2300, 62.16
5PAISA, EQ, 22-May-2018, 392.45, 373.50, 397.45, 373.50, 391.90, 390.55, 387.10, 9327, 36.10, 380, 4723, 50.64
63MOONS, EQ, 22-May-2018, 81.65, 80.25, 81.85, 76.00, 76.75, 76.55, 77.95, 320581, 249.88, 4760, 171031, 53.35
8KMILES, EQ, 22-May-2018, 528.70, 529.85, 634.40, 511.20, 634.40, 633.90, 598.82, 1443694, 8645.08, 45407, 190145, 13.17
A2ZINFRA, EQ, 22-May-2018, 20.15, 20.25, 21.35, 19.90, 21.00, 20.90, 20.82, 473406, 98.56, 3218, 183292, 38.72
AAKASH, SM, 22-May-2018, 49.05, 45.00, 45.00, 44.00, 45.00, 45.00, 44.67, 6000, 2.68, 3, 4000, 66.67
AARTIDRUGS, EQ, 22-May-2018, 540.00, 532.60, 544.60, 530.00, 540.00, 542.55, 538.75, 2070, 11.15, 204, 1512, 73.04
AARTIIND, EQ, 22-May-2018, 1222.55, 1225.05, 1271.00, 1225.05, 1267.00, 1264.70, 1253.88, 16973, 212.82, 1064, 12783, 75.31
AARVEEDEN, EQ, 22-May-2018, 39.00, 38.50, 41.90, 38.50, 39.50, 39.20, 39.22, 6336, 2.48, 59, 4360, 68.81
ABAN, EQ, 22-May-2018, 156.55, 157.10, 160.60, 154.25, 158.40, 158.40, 157.94, 635626, 1003.89, 8381, 115647, 18.19
ABB, EQ, 22-May-2018, 1200.20, 1195.00, 1212.00, 1186.20, 1210.00, 1208.65, 1200.41, 14191, 170.35, 1199, 6082, 42.86
ABBOTINDIA, EQ, 22-May-2018, 6606.60, 6659.00, 6659.00, 6521.00, 6551.10, 6563.60, 6569.86, 1321, 86.79, 368, 953, 72.14
ABCAPITAL, EQ, 22-May-2018, 143.85, 144.00, 145.85, 143.40, 145.00, 144.90, 144.66, 972098, 1406.23, 10059, 506084, 52.06
ABFRL, EQ, 22-May-2018, 140.40, 140.25, 144.85, 139.35, 143.50, 143.85, 142.61, 484605, 691.11, 3245, 403739, 83.31
ABGSHIP, BZ, 22-May-2018, 5.40, 5.50, 5.65, 5.50, 5.65, 5.65, 5.64, 14062, 0.79, 43, -, -
ABMINTLTD, BE, 22-May-2018, 22.55, 21.65, 21.65, 21.65, 21.65, 21.65, 21.65, 160, 0.03, 4, -, -
ACC, EQ, 22-May-2018, 1344.10, 1342.20, 1343.90, 1313.05, 1320.25, 1325.30, 1325.34, 534896, 7089.18, 29477, 197415, 36.91
ACCELYA, EQ, 22-May-2018, 1212.65, 1215.15, 1249.00, 1210.10, 1242.00, 1242.75, 1227.57, 2396, 29.41, 343, 1752, 73.12
ACCORD, SM, 22-May-2018, 44.80, 43.00, 43.00, 41.00, 41.00, 41.00, 42.33, 6000, 2.54, 3, 6000, 100.00
ACE, EQ, 22-May-2018, 163.80, 169.00, 172.00, 163.80, 172.00, 170.60, 167.82, 1120899, 1881.09, 14444, 285141, 25.44
ADANIENT, EQ, 22-May-2018, 118.20, 119.90, 123.50, 118.25, 122.20, 122.25, 120.87, 3700083, 4472.46, 22426, 390371, 10.55
ADANIPORTS, EQ, 22-May-2018, 383.70, 382.70, 389.05, 377.75, 381.35, 379.75, 379.68, 1861819, 7068.88, 37554, 871288, 46.80
ADANIPOWER, EQ, 22-May-2018, 20.70, 20.80, 21.00, 20.00, 20.25, 20.20, 20.43, 13814458, 2822.69, 19068, 3944397, 28.55
ADANITRANS, EQ, 22-May-2018, 125.30, 125.40, 127.00, 122.10, 123.00, 123.75, 124.22, 653579, 811.89, 5668, 130646, 19.99
ADFFOODS, EQ, 22-May-2018, 257.65, 259.80, 264.80, 251.30, 254.05, 254.60, 256.11, 107963, 276.51, 2657, 30310, 28.07
ADHUNIK, EQ, 22-May-2018, 3.30, 3.35, 3.40, 3.25, 3.30, 3.35, 3.35, 5214, 0.17, 45, 5059, 97.03
ADHUNIKIND, EQ, 22-May-2018, 66.80, 65.00, 65.00, 63.50, 63.50, 63.50, 63.55, 6406, 4.07, 30, 6406, 100.00
