Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
17-MAY-2018,20MICRONS,43.30,44.30,-0.0228,0.0260,0.0258,0.4929
17-MAY-2018,21STCENMGM,41.50,40.70,0.0195,0.0614,0.0597,1.1406
17-MAY-2018,3IINFOTECH,4.10,3.95,0.0373,0.0332,0.0335,0.6400
17-MAY-2018,3MINDIA,20030.00,20234.20,-0.0101,0.0105,0.0105,0.2006
17-MAY-2018,3PLAND,13.45,13.30,0.0112,0.0339,0.0330,0.6305
17-MAY-2018,5PAISA,434.80,443.00,-0.0187,0.0305,0.0299,0.5712
17-MAY-2018,63MOONS,81.55,81.15,0.0049,0.0320,0.0310,0.5923
17-MAY-2018,8KMILES,629.05,627.10,0.0031,0.0247,0.0240,0.4585
17-MAY-2018,A2ZINFRA,21.85,20.10,0.0835,0.0351,0.0397,0.7585
17-MAY-2018,AARTIDRUGS,562.25,566.80,-0.0081,0.0196,0.0191,0.3649
17-MAY-2018,AARTIIND,1280.05,1301.10,-0.0163,0.0134,0.0136,0.2598
17-MAY-2018,AARVEEDEN,41.45,39.45,0.0495,0.0279,0.0296,0.5655
17-MAY-2018,ABAN,165.10,158.55,0.0405,0.0220,0.0235,0.4490
17-MAY-2018,ABB,1228.55,1234.60,-0.0049,0.0131,0.0128,0.2445
17-MAY-2018,ABBOTINDIA,6752.65,6792.40,-0.0059,0.0169,0.0164,0.3133
17-MAY-2018,ABCAPITAL,147.30,145.80,0.0102,0.0139,0.0137,0.2617
17-MAY-2018,ABFRL,145.70,148.80,-0.0211,0.0172,0.0175,0.3343
17-MAY-2018,ABGSHIP,5.80,5.70,0.0174,0.0322,0.0315,0.6018
17-MAY-2018,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
17-MAY-2018,ABMINTLTD,24.90,24.90,0.0000,0.0347,0.0336,0.6419
17-MAY-2018,ACC,1400.50,1395.80,0.0034,0.0127,0.0123,0.2350
17-MAY-2018,ACCELYA,1278.40,1308.45,-0.0232,0.0139,0.0146,0.2789
17-MAY-2018,ACE,179.70,181.35,-0.0091,0.0224,0.0218,0.4165
17-MAY-2018,ADANIENT,123.40,123.10,0.0024,0.0292,0.0283,0.5407
17-MAY-2018,ADANIPORTS,397.90,403.10,-0.0130,0.0144,0.0143,0.2732
17-MAY-2018,ADANIPOWER,22.35,21.80,0.0249,0.0290,0.0288,0.5502
17-MAY-2018,ADANITRANS,131.70,130.05,0.0126,0.0382,0.0372,0.7107
17-MAY-2018,ADFFOODS,269.90,257.10,0.0486,0.0255,0.0274,0.5235
17-MAY-2018,ADHUNIK,3.15,3.20,-0.0157,0.0313,0.0306,0.5846
17-MAY-2018,ADHUNIKIND,70.15,69.00,0.0165,0.0329,0.0322,0.6152
17-MAY-2018,ADLABS,45.55,45.65,-0.0022,0.0264,0.0256,0.4891
17-MAY-2018,ADORWELD,367.15,366.85,0.0008,0.0176,0.0171,0.3267
17-MAY-2018,ADROITINFO,30.40,29.95,0.0149,0.0240,0.0236,0.4509
17-MAY-2018,ADSL,17.00,17.05,-0.0029,0.0296,0.0287,0.5483
17-MAY-2018,ADVANIHOTR,59.35,56.80,0.0439,0.0337,0.0344,0.6572
17-MAY-2018,ADVENZYMES,230.55,232.65,-0.0091,0.0207,0.0202,0.3859
17-MAY-2018,AEGISCHEM,269.55,266.15,0.0127,0.0186,0.0183,0.3496
17-MAY-2018,AFL,47.35,47.75,-0.0084,0.0346,0.0336,0.6419
17-MAY-2018,AGARIND,254.95,260.15,-0.0202,0.0291,0.0286,0.5464
17-MAY-2018,AGCNET,112.50,112.00,0.0045,0.0306,0.0297,0.5674
17-MAY-2018,AGLSL,95.45,95.65,-0.0021,0.0249,0.0241,0.4604
17-MAY-2018,AGRITECH,123.90,123.35,0.0044,0.0283,0.0275,0.5254
17-MAY-2018,AHLEAST,311.35,304.40,0.0226,0.0299,0.0295,0.5636
17-MAY-2018,AHLUCONT,386.60,390.50,-0.0100,0.0190,0.0186,0.3554
17-MAY-2018,AHLWEST,287.00,299.95,-0.0441,0.0337,0.0344,0.6572
17-MAY-2018,AIAENG,1566.85,1510.25,0.0368,0.0132,0.0157,0.2999
17-MAY-2018,AICHAMP,26.20,27.55,-0.0502,0.0275,0.0294,0.5617
17-MAY-2018,AIFL,455.50,453.35,0.0047,0.0176,0.0171,0.3267
17-MAY-2018,AJANTPHARM,1052.05,1059.15,-0.0067,0.0225,0.0219,0.4184
17-MAY-2018,AJMERA,259.35,248.65,0.0421,0.0204,0.0223,0.4260
17-MAY-2018,AKSHARCHEM,605.10,594.55,0.0176,0.0193,0.0192,0.3668
17-MAY-2018,AKSHOPTFBR,34.30,32.90,0.0417,0.0298,0.0306,0.5846
17-MAY-2018,AKZOINDIA,1934.50,1945.60,-0.0057,0.0117,0.0114,0.2178
17-MAY-2018,ALANKIT,34.90,35.50,-0.0170,0.0431,0.0420,0.8024
17-MAY-2018,ALBERTDAVD,377.95,377.50,0.0012,0.0146,0.0142,0.2713
17-MAY-2018,ALBK,39.75,38.95,0.0203,0.0310,0.0305,0.5827
17-MAY-2018,ALCHEM,7.15,7.35,-0.0276,0.0328,0.0325,0.6209
17-MAY-2018,ALEMBICLTD,53.35,51.00,0.0450,0.0249,0.0265,0.5063
17-MAY-2018,ALICON,613.05,613.70,-0.0011,0.0175,0.0170,0.3248
17-MAY-2018,ALKALI,78.30,78.10,0.0026,0.0409,0.0397,0.7585
17-MAY-2018,ALKEM,2005.75,2036.60,-0.0153,0.0162,0.0161,0.3076
17-MAY-2018,ALKYLAMINE,624.00,620.65,0.0054,0.0255,0.0248,0.4738
17-MAY-2018,ALLCARGO,132.20,128.10,0.0315,0.0174,0.0186,0.3554
17-MAY-2018,ALLSEC,370.60,360.30,0.0282,0.0220,0.0224,0.4280
17-MAY-2018,ALMONDZ,30.70,31.00,-0.0097,0.0353,0.0343,0.6553
17-MAY-2018,ALOKTEXT,1.65,1.60,0.0308,0.0439,0.0432,0.8253
17-MAY-2018,ALPA,33.25,33.80,-0.0164,0.0283,0.0277,0.5292
17-MAY-2018,ALPHAGEO,814.30,792.05,0.0277,0.0189,0.0195,0.3725
17-MAY-2018,ALPSINDUS,2.15,2.15,0.0000,0.0338,0.0328,0.6266
17-MAY-2018,AMARAJABAT,869.10,861.45,0.0088,0.0157,0.0154,0.2942
17-MAY-2018,AMBER,1152.90,1142.75,0.0088,0.0194,0.0189,0.3611
17-MAY-2018,AMBIKCO,1356.65,1369.45,-0.0094,0.0128,0.0126,0.2407
17-MAY-2018,AMBUJACEM,217.65,211.80,0.0272,0.0150,0.0160,0.3057
17-MAY-2018,AMDIND,26.50,26.30,0.0076,0.0238,0.0231,0.4413
17-MAY-2018,AMJLAND,29.30,28.80,0.0172,0.0568,0.0552,1.0546
17-MAY-2018,AMRUTANJAN,280.65,280.55,0.0004,0.0194,0.0188,0.3592
17-MAY-2018,AMTEKAUTO,9.85,10.35,-0.0495,0.0440,0.0444,0.8483
17-MAY-2018,ANANTRAJ,41.40,39.90,0.0369,0.0247,0.0256,0.4891
17-MAY-2018,ANDHRABANK,35.35,35.15,0.0057,0.0254,0.0247,0.4719
17-MAY-2018,ANDHRACEMT,10.05,9.90,0.0150,0.0291,0.0285,0.5445
17-MAY-2018,ANDHRSUGAR,399.95,379.75,0.0518,0.0321,0.0336,0.6419
17-MAY-2018,ANGIND,2.70,2.80,-0.0364,0.0320,0.0323,0.6171
17-MAY-2018,ANIKINDS,33.20,32.95,0.0076,0.0500,0.0485,0.9266
17-MAY-2018,ANSALAPI,18.55,19.90,-0.0702,0.0236,0.0286,0.5464
17-MAY-2018,ANSALHSG,17.25,17.00,0.0146,0.0245,0.0240,0.4585
17-MAY-2018,ANTGRAPHIC,0.75,0.75,0.0000,0.0408,0.0396,0.7566
17-MAY-2018,APARINDS,750.70,760.60,-0.0131,0.0129,0.0129,0.2465
17-MAY-2018,APCL,190.95,183.85,0.0379,0.0215,0.0228,0.4356
17-MAY-2018,APCOTEXIND,550.10,542.25,0.0144,0.0194,0.0191,0.3649
17-MAY-2018,APEX,609.45,600.50,0.0148,0.0354,0.0345,0.6591
17-MAY-2018,APLAPOLLO,1998.35,2037.90,-0.0196,0.0151,0.0154,0.2942
17-MAY-2018,APLLTD,475.90,482.25,-0.0133,0.0147,0.0146,0.2789
17-MAY-2018,APOLLO,204.40,200.65,0.0185,0.0243,0.0240,0.4585
17-MAY-2018,APOLLOHOSP,1017.80,1029.45,-0.0114,0.0185,0.0182,0.3477
17-MAY-2018,APOLLOTYRE,288.45,294.05,-0.0192,0.0162,0.0164,0.3133
17-MAY-2018,APOLSINHOT,1785.60,1785.50,0.0001,0.0366,0.0355,0.6782
17-MAY-2018,APTECHT,251.10,249.20,0.0076,0.0277,0.0269,0.5139
17-MAY-2018,ARCHIDPLY,85.90,86.35,-0.0052,0.0239,0.0232,0.4432
17-MAY-2018,ARCHIES,32.50,32.90,-0.0122,0.0346,0.0337,0.6438
17-MAY-2018,ARCOTECH,23.60,23.30,0.0128,0.0606,0.0588,1.1234
17-MAY-2018,ARENTERP,14.95,14.25,0.0480,0.0191,0.0219,0.4184
17-MAY-2018,ARIES,181.00,183.50,-0.0137,0.0206,0.0203,0.3878
17-MAY-2018,ARIHANT,39.35,38.55,0.0205,0.0290,0.0286,0.5464
17-MAY-2018,ARIHANTSUP,132.75,132.90,-0.0011,0.0379,0.0367,0.7012
17-MAY-2018,ARMANFIN,395.75,400.80,-0.0127,0.0253,0.0247,0.4719
17-MAY-2018,AROGRANITE,61.70,63.15,-0.0232,0.0452,0.0442,0.8444
17-MAY-2018,ARROWGREEN,280.60,282.60,-0.0071,0.0359,0.0348,0.6649
17-MAY-2018,ARROWTEX,33.35,31.15,0.0682,0.0272,0.0312,0.5961
17-MAY-2018,ARSHIYA,64.55,64.65,-0.0015,0.0391,0.0379,0.7241
17-MAY-2018,ARSSINFRA,31.65,33.30,-0.0508,0.0331,0.0344,0.6572
17-MAY-2018,ARVIND,420.55,422.60,-0.0049,0.0192,0.0187,0.3573
17-MAY-2018,ARVSMART,182.70,178.20,0.0249,0.0221,0.0223,0.4260
17-MAY-2018,ASAHIINDIA,349.55,355.85,-0.0179,0.0149,0.0151,0.2885
17-MAY-2018,ASAHISONG,332.85,332.75,0.0003,0.0172,0.0167,0.3191
17-MAY-2018,ASAL,71.65,70.85,0.0112,0.0245,0.0239,0.4566
17-MAY-2018,ASHAPURMIN,62.05,59.05,0.0496,0.0373,0.0381,0.7279
17-MAY-2018,ASHIANA,156.10,156.85,-0.0048,0.0170,0.0165,0.3152
17-MAY-2018,ASHIMASYN,27.20,26.40,0.0299,0.0270,0.0272,0.5197
17-MAY-2018,ASHOKA,265.80,267.75,-0.0073,0.0156,0.0152,0.2904
17-MAY-2018,ASHOKLEY,154.30,152.70,0.0104,0.0179,0.0175,0.3343
