SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 17-May-2018, 44.30, 44.20, 45.45, 42.25, 42.60, 43.30, 43.59, 75482, 32.90, 596, 57624, 76.34
21STCENMGM, EQ, 17-May-2018, 40.70, 41.50, 41.50, 40.35, 41.50, 41.50, 41.31, 742, 0.31, 11, 734, 98.92
3IINFOTECH, EQ, 17-May-2018, 3.95, 4.00, 4.10, 3.90, 4.10, 4.10, 3.98, 2710626, 107.91, 2960, 1587094, 58.55
3MINDIA, EQ, 17-May-2018, 20234.20, 20360.00, 20409.95, 19950.00, 20050.00, 20030.00, 20093.52, 2649, 532.28, 515, 1719, 64.89
3PLAND, EQ, 17-May-2018, 13.30, 13.35, 14.30, 13.35, 13.40, 13.45, 13.55, 1974, 0.27, 21, 1317, 66.72
5PAISA, EQ, 17-May-2018, 443.00, 448.00, 452.05, 424.70, 437.00, 434.80, 437.80, 4105, 17.97, 244, 2319, 56.49
63MOONS, EQ, 17-May-2018, 81.15, 81.50, 83.55, 81.10, 81.25, 81.55, 82.14, 135319, 111.15, 2542, 42239, 31.21
8KMILES, EQ, 17-May-2018, 627.10, 629.05, 638.90, 618.00, 629.00, 629.05, 627.92, 144938, 910.09, 4145, 69894, 48.22
A2ZINFRA, EQ, 17-May-2018, 20.10, 20.10, 22.40, 20.10, 21.85, 21.85, 21.17, 877424, 185.73, 3418, 346050, 39.44
AAKASH, SM, 17-May-2018, 55.95, 54.00, 54.00, 54.00, 54.00, 54.00, 54.00, 2000, 1.08, 1, 2000, 100.00
AARTIDRUGS, EQ, 17-May-2018, 566.80, 569.45, 580.00, 555.35, 564.00, 562.25, 567.77, 6088, 34.57, 556, 2448, 40.21
AARTIIND, EQ, 17-May-2018, 1301.10, 1306.30, 1310.90, 1270.20, 1290.00, 1280.05, 1289.16, 12042, 155.24, 1950, 7040, 58.46
AARVEEDEN, EQ, 17-May-2018, 39.45, 41.25, 45.25, 39.40, 41.80, 41.45, 43.05, 143104, 61.61, 1030, 28658, 20.03
ABAN, EQ, 17-May-2018, 158.55, 160.10, 168.00, 159.00, 167.20, 165.10, 162.87, 1031415, 1679.88, 11313, 292928, 28.40
ABB, EQ, 17-May-2018, 1234.60, 1228.40, 1242.95, 1222.05, 1226.05, 1228.55, 1230.71, 62647, 771.00, 5043, 32621, 52.07
ABBOTINDIA, EQ, 17-May-2018, 6792.40, 6790.00, 6890.00, 6701.00, 6799.90, 6752.65, 6793.38, 8941, 607.40, 1389, 5081, 56.83
ABCAPITAL, EQ, 17-May-2018, 145.80, 146.55, 148.50, 144.35, 147.20, 147.30, 146.11, 1556375, 2274.03, 14541, 873035, 56.09
ABFRL, EQ, 17-May-2018, 148.80, 149.60, 150.65, 145.20, 145.50, 145.70, 146.72, 446046, 654.43, 2297, 287589, 64.48
ABGSHIP, BZ, 17-May-2018, 5.70, 5.45, 5.95, 5.45, 5.80, 5.80, 5.59, 13973, 0.78, 58, -, -
ABMINTLTD, BE, 17-May-2018, 24.90, 24.90, 24.90, 24.90, 24.90, 24.90, 24.90, 80, 0.02, 1, -, -
ACC, EQ, 17-May-2018, 1410.80, 1401.00, 1420.00, 1397.00, 1398.15, 1400.50, 1406.25, 331066, 4655.62, 17635, 80071, 24.19
ACCELYA, EQ, 17-May-2018, 1308.45, 1325.00, 1325.00, 1270.00, 1272.15, 1278.40, 1279.66, 4299, 55.01, 1088, 2732, 63.55
ACE, EQ, 17-May-2018, 181.35, 182.30, 184.65, 177.10, 178.85, 179.70, 180.23, 1659652, 2991.12, 19603, 560271, 33.76
ADANIENT, EQ, 17-May-2018, 123.10, 124.40, 125.60, 121.80, 123.20, 123.40, 123.58, 3158060, 3902.80, 16003, 239873, 7.60
ADANIPORTS, EQ, 17-May-2018, 403.10, 404.00, 405.50, 395.60, 396.15, 397.90, 400.26, 1614257, 6461.23, 46414, 844430, 52.31
ADANIPOWER, EQ, 17-May-2018, 21.80, 21.80, 22.75, 21.30, 22.50, 22.35, 22.10, 9330813, 2062.21, 12189, 1257579, 13.48
ADANITRANS, EQ, 17-May-2018, 130.05, 130.80, 139.65, 130.55, 131.35, 131.70, 134.41, 7049064, 9474.60, 35357, 4590254, 65.12
